Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
L1_DL_Abeta_0  (L1_DL),node1051[38],0.5724999999999933,9.3125
L1_DL_Abeta_1  (L1_DL),node1052[43],0.5574999999999937,10.8125
L1_DL_Abeta_10  (L1_DL),node1061[45],0.6224999999999923,16.5
L1_DL_Abeta_11  (L1_DL),node1062[39],0.5374999999999941,12.1875
L1_DL_Abeta_12  (L1_DL),node1063[47],0.5649999999999935,13.375
L1_DL_Abeta_13  (L1_DL),node1064[39],0.5099999999999947,10.5
L1_DL_Abeta_14  (L1_DL),node1065[44],0.6099999999999925,12.75
L1_DL_Abeta_15  (L1_DL),node1066[44],0.5299999999999943,11.75
L1_DL_Abeta_16  (L1_DL),node1067[71],0.5624999999999936,26.25
L1_DL_Abeta_17  (L1_DL),node1068[52],0.637499999999992,14.375
L1_DL_Abeta_18  (L1_DL),node1069[39],0.5624999999999936,9.6875
L1_DL_Abeta_19  (L1_DL),node1070[41],0.5849999999999931,9.5625
L1_DL_Abeta_2  (L1_DL),node1053[43],0.5274999999999943,10.9375
L1_DL_Abeta_20  (L1_DL),node1071[39],0.5449999999999939,6.625
L1_DL_Abeta_21  (L1_DL),node1072[42],0.5624999999999936,10.0625
L1_DL_Abeta_22  (L1_DL),node1073[51],0.542499999999994,16.5
L1_DL_Abeta_23  (L1_DL),node1074[38],0.634999999999992,10.0
L1_DL_Abeta_24  (L1_DL),node1075[49],0.6624999999999914,15.5
L1_DL_Abeta_25  (L1_DL),node1076[39],0.5599999999999936,10.8125
L1_DL_Abeta_26  (L1_DL),node1077[39],0.5074999999999947,13.0
L1_DL_Abeta_27  (L1_DL),node1078[44],0.539999999999994,14.5
L1_DL_Abeta_28  (L1_DL),node1079[42],0.5374999999999941,11.5625
L1_DL_Abeta_29  (L1_DL),node1080[43],0.4974999999999949,12.625
L1_DL_Abeta_3  (L1_DL),node1054[48],0.5924999999999929,13.5
L1_DL_Abeta_30  (L1_DL),node1081[43],0.5149999999999946,10.75
L1_DL_Abeta_31  (L1_DL),node1082[48],0.5949999999999929,14.125
L1_DL_Abeta_32  (L1_DL),node1083[47],0.5274999999999943,12.375
L1_DL_Abeta_33  (L1_DL),node1084[46],0.589999999999993,11.5625
L1_DL_Abeta_34  (L1_DL),node1085[44],0.5849999999999931,11.8125
L1_DL_Abeta_35  (L1_DL),node1086[44],0.5674999999999935,11.25
L1_DL_Abeta_36  (L1_DL),node1087[40],0.5274999999999943,7.6875
L1_DL_Abeta_37  (L1_DL),node1088[41],0.6399999999999919,10.875
L1_DL_Abeta_38  (L1_DL),node1089[46],0.5849999999999931,14.25
L1_DL_Abeta_39  (L1_DL),node1090[51],0.5524999999999938,20.875
L1_DL_Abeta_4  (L1_DL),node1055[49],0.5649999999999935,14.0
L1_DL_Abeta_40  (L1_DL),node1091[36],0.589999999999993,10.875
L1_DL_Abeta_41  (L1_DL),node1092[41],0.5149999999999946,13.25
L1_DL_Abeta_42  (L1_DL),node1093[47],0.5924999999999929,16.25
L1_DL_Abeta_43  (L1_DL),node1094[57],0.5324999999999942,20.25
L1_DL_Abeta_44  (L1_DL),node1095[39],0.5649999999999935,10.1875
L1_DL_Abeta_45  (L1_DL),node1096[45],0.5474999999999939,13.125
L1_DL_Abeta_46  (L1_DL),node1097[45],0.5224999999999944,11.5
L1_DL_Abeta_47  (L1_DL),node1098[42],0.539999999999994,10.3125
L1_DL_Abeta_48  (L1_DL),node1099[44],0.5499999999999938,11.375
L1_DL_Abeta_49  (L1_DL),node1100[50],0.5624999999999936,14.5
L1_DL_Abeta_5  (L1_DL),node1056[40],0.5124999999999946,7.5
L1_DL_Abeta_6  (L1_DL),node1057[48],0.5749999999999933,13.375
L1_DL_Abeta_7  (L1_DL),node1058[46],0.5574999999999937,13.0
L1_DL_Abeta_8  (L1_DL),node1059[49],0.6174999999999924,15.25
L1_DL_Abeta_9  (L1_DL),node1060[45],0.5549999999999937,15.875
