Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
L1_DL_Adelta_0  (L1_DL),internode1101[173],0.7799999999999889,147.0
L1_DL_Adelta_1  (L1_DL),internode1102[219],0.7849999999999888,226.0
L1_DL_Adelta_10  (L1_DL),internode1111[220],0.8099999999999883,142.0
L1_DL_Adelta_11  (L1_DL),node1112[212],0.8824999999999867,144.0
L1_DL_Adelta_12  (L1_DL),internode1113[166],0.7474999999999896,116.0
L1_DL_Adelta_13  (L1_DL),node1114[137],0.9024999999999863,101.0
L1_DL_Adelta_14  (L1_DL),internode1115[159],0.7999999999999885,123.0
L1_DL_Adelta_15  (L1_DL),internode1116[188],0.7674999999999892,175.0
L1_DL_Adelta_16  (L1_DL),node1117[131],0.5824999999999931,112.0
L1_DL_Adelta_17  (L1_DL),node1118[158],0.5499999999999938,152.0
L1_DL_Adelta_18  (L1_DL),node1119[165],0.5924999999999929,180.0
L1_DL_Adelta_19  (L1_DL),node1120[154],0.4349999999999962,156.0
L1_DL_Adelta_2  (L1_DL),node1103[139],0.5749999999999933,135.0
L1_DL_Adelta_20  (L1_DL),node1121[155],0.492499999999995,104.0
L1_DL_Adelta_21  (L1_DL),node1122[151],0.5299999999999943,88.5
L1_DL_Adelta_22  (L1_DL),node1123[164],0.49999999999999484,104.0
L1_DL_Adelta_23  (L1_DL),node1124[145],0.47999999999999526,88.0
L1_DL_Adelta_24  (L1_DL),internode1125[182],0.7599999999999894,118.0
L1_DL_Adelta_25  (L1_DL),internode1126[205],0.8174999999999881,131.0
L1_DL_Adelta_26  (L1_DL),internode1127[148],0.824999999999988,98.5
L1_DL_Adelta_27  (L1_DL),internode1128[146],0.7474999999999896,102.0
L1_DL_Adelta_28  (L1_DL),internode1129[146],0.7549999999999895,108.0
L1_DL_Adelta_29  (L1_DL),internode1130[162],0.7474999999999896,123.0
L1_DL_Adelta_3  (L1_DL),node1104[183],0.4274999999999964,224.0
L1_DL_Adelta_30  (L1_DL),internode1131[171],0.7674999999999892,148.0
L1_DL_Adelta_31  (L1_DL),node1132[116],0.5824999999999931,137.0
L1_DL_Adelta_32  (L1_DL),node1133[150],0.5924999999999929,180.0
L1_DL_Adelta_33  (L1_DL),node1134[143],0.5649999999999935,127.0
L1_DL_Adelta_34  (L1_DL),node1135[138],0.6474999999999917,143.0
L1_DL_Adelta_35  (L1_DL),node1136[126],0.4599999999999957,69.5
L1_DL_Adelta_36  (L1_DL),node1137[180],0.542499999999994,117.0
L1_DL_Adelta_37  (L1_DL),node1138[165],0.45249999999999585,112.0
L1_DL_Adelta_38  (L1_DL),internode1139[170],0.7399999999999898,116.0
L1_DL_Adelta_39  (L1_DL),node1140[150],0.539999999999994,91.5
L1_DL_Adelta_4  (L1_DL),node1105[141],0.5724999999999933,160.0
L1_DL_Adelta_40  (L1_DL),internode1141[162],0.7624999999999893,105.0
L1_DL_Adelta_41  (L1_DL),internode1142[199],0.8074999999999883,133.0
L1_DL_Adelta_42  (L1_DL),internode1143[187],0.7974999999999886,132.0
L1_DL_Adelta_43  (L1_DL),internode1144[167],0.8049999999999884,124.0
L1_DL_Adelta_44  (L1_DL),node1145[149],0.8924999999999865,115.0
L1_DL_Adelta_45  (L1_DL),node1146[115],0.4874999999999951,130.0
L1_DL_Adelta_46  (L1_DL),internode1147[225],0.7699999999999891,224.0
L1_DL_Adelta_47  (L1_DL),node1148[158],0.6024999999999927,183.0
L1_DL_Adelta_48  (L1_DL),node1149[140],0.5574999999999937,151.0
L1_DL_Adelta_49  (L1_DL),node1150[194],0.6949999999999907,262.0
L1_DL_Adelta_5  (L1_DL),node1106[175],0.5074999999999947,124.0
L1_DL_Adelta_6  (L1_DL),node1107[143],0.5199999999999945,83.0
L1_DL_Adelta_7  (L1_DL),node1108[122],0.47499999999999537,65.5
L1_DL_Adelta_8  (L1_DL),node1109[171],0.5224999999999944,106.0
L1_DL_Adelta_9  (L1_DL),internode1110[169],0.7899999999999887,113.0
