Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
L1_DR_Aalpha_0  (L1_DR),node801[35],0.684999999999991,7.8125
L1_DR_Aalpha_1  (L1_DR),node802[35],0.822499999999988,7.625
L1_DR_Aalpha_10  (L1_DR),node811[36],0.9549999999999852,9.1875
L1_DR_Aalpha_11  (L1_DR),node812[31],0.6649999999999914,6.375
L1_DR_Aalpha_12  (L1_DR),node813[38],0.9524999999999852,10.0
L1_DR_Aalpha_13  (L1_DR),node814[32],0.6599999999999915,7.125
L1_DR_Aalpha_14  (L1_DR),node815[39],0.7474999999999896,9.1875
L1_DR_Aalpha_15  (L1_DR),node816[36],0.869999999999987,8.0625
L1_DR_Aalpha_16  (L1_DR),node817[38],0.7424999999999897,8.25
L1_DR_Aalpha_17  (L1_DR),node818[34],0.6624999999999914,9.5625
L1_DR_Aalpha_18  (L1_DR),node819[36],0.6324999999999921,9.75
L1_DR_Aalpha_19  (L1_DR),node820[32],0.6699999999999913,7.9375
L1_DR_Aalpha_2  (L1_DR),node803[34],0.7574999999999894,6.875
L1_DR_Aalpha_20  (L1_DR),node821[30],0.634999999999992,3.78125
L1_DR_Aalpha_21  (L1_DR),node822[33],0.6024999999999927,4.84375
L1_DR_Aalpha_22  (L1_DR),node823[35],0.6749999999999912,6.625
L1_DR_Aalpha_23  (L1_DR),node824[36],0.6099999999999925,7.1875
L1_DR_Aalpha_24  (L1_DR),node825[33],0.72999999999999,6.8125
L1_DR_Aalpha_25  (L1_DR),node826[32],0.6899999999999908,6.875
L1_DR_Aalpha_26  (L1_DR),node827[37],0.72999999999999,9.75
L1_DR_Aalpha_27  (L1_DR),node828[33],0.6624999999999914,7.5
L1_DR_Aalpha_28  (L1_DR),node829[41],1.2299999999999793,10.25
L1_DR_Aalpha_29  (L1_DR),node830[36],0.7024999999999906,8.6875
L1_DR_Aalpha_3  (L1_DR),node804[35],0.8074999999999883,9.6875
L1_DR_Aalpha_30  (L1_DR),node831[36],0.7999999999999885,8.5
L1_DR_Aalpha_31  (L1_DR),node832[43],0.9424999999999855,10.0625
L1_DR_Aalpha_32  (L1_DR),node833[57],1.7299999999999687,14.0
L1_DR_Aalpha_33  (L1_DR),node834[35],0.8499999999999874,7.0
L1_DR_Aalpha_34  (L1_DR),node835[45],1.4124999999999754,10.4375
L1_DR_Aalpha_35  (L1_DR),node836[43],0.6949999999999907,8.1875
L1_DR_Aalpha_36  (L1_DR),node837[33],0.6099999999999925,5.0
L1_DR_Aalpha_37  (L1_DR),node838[31],0.634999999999992,4.53125
L1_DR_Aalpha_38  (L1_DR),node839[38],0.6949999999999907,9.6875
L1_DR_Aalpha_39  (L1_DR),node840[32],0.6524999999999916,6.0625
L1_DR_Aalpha_4  (L1_DR),node805[33],0.637499999999992,8.3125
L1_DR_Aalpha_40  (L1_DR),node841[34],0.6999999999999906,7.75
L1_DR_Aalpha_41  (L1_DR),node842[35],0.72749999999999,8.75
L1_DR_Aalpha_42  (L1_DR),node843[38],0.7574999999999894,10.1875
L1_DR_Aalpha_43  (L1_DR),node844[36],0.6549999999999916,10.0625
L1_DR_Aalpha_44  (L1_DR),node845[33],0.7099999999999904,7.4375
L1_DR_Aalpha_45  (L1_DR),node846[35],0.872499999999987,7.5625
L1_DR_Aalpha_46  (L1_DR),node847[41],0.869999999999987,10.1875
L1_DR_Aalpha_47  (L1_DR),node848[37],0.9749999999999848,7.4375
L1_DR_Aalpha_48  (L1_DR),node849[40],1.2749999999999784,8.3125
L1_DR_Aalpha_49  (L1_DR),node850[33],0.7099999999999904,8.5
L1_DR_Aalpha_5  (L1_DR),node806[31],0.6649999999999914,4.09375
L1_DR_Aalpha_6  (L1_DR),node807[32],0.8124999999999882,4.25
L1_DR_Aalpha_7  (L1_DR),node808[37],0.6649999999999914,7.5
L1_DR_Aalpha_8  (L1_DR),node809[30],0.634999999999992,4.75
L1_DR_Aalpha_9  (L1_DR),node810[31],0.6574999999999915,5.625
