Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
L1_DR_Abeta_0  (L1_DR),node851[39],0.5074999999999947,19.0
L1_DR_Abeta_1  (L1_DR),node852[43],0.5499999999999938,21.25
L1_DR_Abeta_10  (L1_DR),node861[45],0.5349999999999941,25.75
L1_DR_Abeta_11  (L1_DR),node862[39],0.5474999999999939,19.25
L1_DR_Abeta_12  (L1_DR),node863[47],0.5549999999999937,24.625
L1_DR_Abeta_13  (L1_DR),node864[40],0.5199999999999945,18.875
L1_DR_Abeta_14  (L1_DR),node865[45],0.5349999999999941,21.75
L1_DR_Abeta_15  (L1_DR),node866[45],0.5299999999999943,22.625
L1_DR_Abeta_16  (L1_DR),node867[84],1.7049999999999692,48.5
L1_DR_Abeta_17  (L1_DR),node868[52],0.5374999999999941,32.0
L1_DR_Abeta_18  (L1_DR),node869[40],0.5574999999999937,18.0
L1_DR_Abeta_19  (L1_DR),node870[41],0.5374999999999941,20.125
L1_DR_Abeta_2  (L1_DR),node853[44],0.5924999999999929,22.25
L1_DR_Abeta_20  (L1_DR),node871[40],0.539999999999994,12.0
L1_DR_Abeta_21  (L1_DR),node872[42],0.5299999999999943,15.0
L1_DR_Abeta_22  (L1_DR),node873[51],0.5749999999999933,30.5
L1_DR_Abeta_23  (L1_DR),node874[38],0.587499999999993,16.0
L1_DR_Abeta_24  (L1_DR),node875[45],0.542499999999994,26.25
L1_DR_Abeta_25  (L1_DR),node876[39],0.5599999999999936,17.375
L1_DR_Abeta_26  (L1_DR),node877[39],0.5374999999999941,21.25
L1_DR_Abeta_27  (L1_DR),node878[45],0.5199999999999945,23.375
L1_DR_Abeta_28  (L1_DR),node879[42],0.5574999999999937,20.875
L1_DR_Abeta_29  (L1_DR),node880[44],0.5674999999999935,23.875
L1_DR_Abeta_3  (L1_DR),node854[48],0.5824999999999931,26.75
L1_DR_Abeta_30  (L1_DR),node881[43],0.5174999999999945,21.875
L1_DR_Abeta_31  (L1_DR),node882[49],0.5349999999999941,26.5
L1_DR_Abeta_32  (L1_DR),node883[48],0.5274999999999943,25.5
L1_DR_Abeta_33  (L1_DR),node884[46],0.5274999999999943,25.25
L1_DR_Abeta_34  (L1_DR),node885[44],0.5299999999999943,24.0
L1_DR_Abeta_35  (L1_DR),node886[44],0.5749999999999933,15.625
L1_DR_Abeta_36  (L1_DR),node887[41],0.5324999999999942,15.625
L1_DR_Abeta_37  (L1_DR),node888[41],0.5849999999999931,16.625
L1_DR_Abeta_38  (L1_DR),node889[46],0.6024999999999927,24.5
L1_DR_Abeta_39  (L1_DR),node890[51],0.5074999999999947,33.25
L1_DR_Abeta_4  (L1_DR),node855[50],0.5274999999999943,29.5
L1_DR_Abeta_40  (L1_DR),node891[37],0.5199999999999945,17.625
L1_DR_Abeta_41  (L1_DR),node892[41],0.5149999999999946,22.875
L1_DR_Abeta_42  (L1_DR),node893[48],0.5199999999999945,26.0
L1_DR_Abeta_43  (L1_DR),node894[58],0.5199999999999945,34.5
L1_DR_Abeta_44  (L1_DR),node895[39],0.5249999999999944,19.5
L1_DR_Abeta_45  (L1_DR),node896[46],0.5299999999999943,24.625
L1_DR_Abeta_46  (L1_DR),node897[45],0.634999999999992,24.625
L1_DR_Abeta_47  (L1_DR),node898[43],0.589999999999993,21.25
L1_DR_Abeta_48  (L1_DR),node899[44],0.6024999999999927,23.375
L1_DR_Abeta_49  (L1_DR),node900[50],0.5549999999999937,29.5
L1_DR_Abeta_5  (L1_DR),node856[40],0.5174999999999945,11.0
L1_DR_Abeta_6  (L1_DR),node857[48],0.6099999999999925,21.5
L1_DR_Abeta_7  (L1_DR),node858[46],0.5549999999999937,20.625
L1_DR_Abeta_8  (L1_DR),node859[46],0.5024999999999948,26.25
L1_DR_Abeta_9  (L1_DR),node860[44],0.5099999999999947,25.25
