Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
L1_VL_Adelta_0  (L1_VL),node1501[146],0.5124999999999946,336.0
L1_VL_Adelta_1  (L1_VL),node1502[182],0.492499999999995,532.0
L1_VL_Adelta_10  (L1_VL),node1511[188],0.5624999999999936,716.0
L1_VL_Adelta_11  (L1_VL),node1512[186],0.45249999999999585,544.0
L1_VL_Adelta_12  (L1_VL),node1513[156],0.4399999999999961,412.0
L1_VL_Adelta_13  (L1_VL),node1514[131],0.5599999999999936,314.0
L1_VL_Adelta_14  (L1_VL),node1515[150],0.5024999999999948,404.0
L1_VL_Adelta_15  (L1_VL),node1516[160],0.5999999999999928,480.0
L1_VL_Adelta_16  (L1_VL),node1517[133],0.5749999999999933,320.0
L1_VL_Adelta_17  (L1_VL),node1518[161],0.539999999999994,476.0
L1_VL_Adelta_18  (L1_VL),node1519[154],0.6224999999999923,604.0
L1_VL_Adelta_19  (L1_VL),node1520[186],0.8624999999999872,528.0
L1_VL_Adelta_2  (L1_VL),node1503[148],0.5574999999999937,322.0
L1_VL_Adelta_20  (L1_VL),node1521[153],0.6024999999999927,592.0
L1_VL_Adelta_21  (L1_VL),node1522[163],0.45249999999999585,496.0
L1_VL_Adelta_22  (L1_VL),internode1523[213],0.7724999999999891,632.0
L1_VL_Adelta_23  (L1_VL),node1524[153],0.46749999999999553,464.0
L1_VL_Adelta_24  (L1_VL),node1525[174],0.4349999999999962,620.0
L1_VL_Adelta_25  (L1_VL),node1526[232],0.8749999999999869,716.0
L1_VL_Adelta_26  (L1_VL),node1527[128],0.47999999999999526,73.0
L1_VL_Adelta_27  (L1_VL),node1528[123],0.46249999999999564,77.0
L1_VL_Adelta_28  (L1_VL),node1529[121],0.45249999999999585,71.5
L1_VL_Adelta_29  (L1_VL),node1530[136],0.4649999999999956,86.5
L1_VL_Adelta_3  (L1_VL),node1504[176],0.42499999999999644,440.0
L1_VL_Adelta_30  (L1_VL),node1531[140],0.4399999999999961,94.0
L1_VL_Adelta_31  (L1_VL),node1532[123],0.47999999999999526,84.0
L1_VL_Adelta_32  (L1_VL),internode1533[164],0.39999999999999697,124.0
L1_VL_Adelta_33  (L1_VL),node1534[135],0.4549999999999958,103.0
L1_VL_Adelta_34  (L1_VL),node1535[129],0.45749999999999574,104.0
L1_VL_Adelta_35  (L1_VL),node1536[131],0.44749999999999596,140.0
L1_VL_Adelta_36  (L1_VL),node1537[185],0.46249999999999564,160.0
L1_VL_Adelta_37  (L1_VL),node1538[175],0.46249999999999564,141.0
L1_VL_Adelta_38  (L1_VL),node1539[164],0.49999999999999484,148.0
L1_VL_Adelta_39  (L1_VL),node1540[148],0.45249999999999585,212.0
L1_VL_Adelta_4  (L1_VL),node1505[142],0.5249999999999944,388.0
L1_VL_Adelta_40  (L1_VL),node1541[154],0.4549999999999958,198.0
L1_VL_Adelta_41  (L1_VL),node1542[185],0.4599999999999957,268.0
L1_VL_Adelta_42  (L1_VL),node1543[161],0.5224999999999944,464.0
L1_VL_Adelta_43  (L1_VL),node1544[145],0.5599999999999936,262.0
L1_VL_Adelta_44  (L1_VL),node1545[130],0.48499999999999516,238.0
L1_VL_Adelta_45  (L1_VL),node1546[124],0.5124999999999946,274.0
L1_VL_Adelta_46  (L1_VL),node1547[198],0.4274999999999964,412.0
L1_VL_Adelta_47  (L1_VL),node1548[167],0.4774999999999953,524.0
L1_VL_Adelta_48  (L1_VL),node1549[144],0.4649999999999956,308.0
L1_VL_Adelta_49  (L1_VL),node1550[173],0.6074999999999926,624.0
L1_VL_Adelta_5  (L1_VL),node1506[180],0.44249999999999606,548.0
L1_VL_Adelta_6  (L1_VL),node1507[147],0.542499999999994,368.0
L1_VL_Adelta_7  (L1_VL),node1508[126],0.5674999999999935,294.0
L1_VL_Adelta_8  (L1_VL),node1509[173],0.49499999999999494,504.0
L1_VL_Adelta_9  (L1_VL),node1510[156],0.444999999999996,432.0
