Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
L2_DR_Abeta_0  (L2_DR),node1651[60],0.5124999999999946,7.75
L2_DR_Abeta_1  (L2_DR),node1652[67],0.49999999999999484,8.75
L2_DR_Abeta_10  (L2_DR),node1661[76],0.5499999999999938,11.25
L2_DR_Abeta_11  (L2_DR),node1662[60],0.48999999999999505,8.25
L2_DR_Abeta_12  (L2_DR),node1663[73],0.5049999999999948,10.3125
L2_DR_Abeta_13  (L2_DR),node1664[62],0.5799999999999932,8.1875
L2_DR_Abeta_14  (L2_DR),node1665[70],0.5124999999999946,9.25
L2_DR_Abeta_15  (L2_DR),node1666[69],0.49499999999999494,8.9375
L2_DR_Abeta_16  (L2_DR),node1667[113],0.6999999999999906,17.5
L2_DR_Abeta_17  (L2_DR),node1668[82],0.5549999999999937,11.1875
L2_DR_Abeta_18  (L2_DR),node1669[63],0.5049999999999948,7.625
L2_DR_Abeta_19  (L2_DR),node1670[65],0.5024999999999948,7.75
L2_DR_Abeta_2  (L2_DR),node1653[68],0.5074999999999947,8.6875
L2_DR_Abeta_20  (L2_DR),node1671[66],0.49999999999999484,8.4375
L2_DR_Abeta_21  (L2_DR),node1672[69],0.5149999999999946,9.0625
L2_DR_Abeta_22  (L2_DR),node1673[82],0.539999999999994,12.375
L2_DR_Abeta_23  (L2_DR),node1674[60],0.5124999999999946,7.25
L2_DR_Abeta_24  (L2_DR),node1675[70],0.5049999999999948,9.9375
L2_DR_Abeta_25  (L2_DR),node1676[56],0.492499999999995,7.375
L2_DR_Abeta_26  (L2_DR),node1677[62],0.49999999999999484,8.125
L2_DR_Abeta_27  (L2_DR),node1678[70],0.49499999999999494,9.25
L2_DR_Abeta_28  (L2_DR),node1679[66],0.5324999999999942,8.4375
L2_DR_Abeta_29  (L2_DR),node1680[70],0.5024999999999948,8.875
L2_DR_Abeta_3  (L2_DR),node1654[75],0.5774999999999932,9.625
L2_DR_Abeta_30  (L2_DR),node1681[69],0.5474999999999939,8.625
L2_DR_Abeta_31  (L2_DR),node1682[78],0.5174999999999945,10.4375
L2_DR_Abeta_32  (L2_DR),node1683[76],0.5524999999999938,10.0
L2_DR_Abeta_33  (L2_DR),node1684[75],0.5274999999999943,10.5
L2_DR_Abeta_34  (L2_DR),node1685[71],0.5274999999999943,9.25
L2_DR_Abeta_35  (L2_DR),node1686[73],0.5074999999999947,9.8125
L2_DR_Abeta_36  (L2_DR),node1687[67],0.4974999999999949,8.75
L2_DR_Abeta_37  (L2_DR),node1688[61],0.5174999999999945,8.3125
L2_DR_Abeta_38  (L2_DR),node1689[68],0.5024999999999948,9.375
L2_DR_Abeta_39  (L2_DR),node1690[80],0.5074999999999947,11.25
L2_DR_Abeta_4  (L2_DR),node1655[78],0.5349999999999941,10.0
L2_DR_Abeta_40  (L2_DR),node1691[58],0.5249999999999944,7.25
L2_DR_Abeta_41  (L2_DR),node1692[65],0.6324999999999921,8.1875
L2_DR_Abeta_42  (L2_DR),node1693[76],0.5099999999999947,9.8125
L2_DR_Abeta_43  (L2_DR),node1694[92],0.5074999999999947,12.5
L2_DR_Abeta_44  (L2_DR),node1695[63],0.49999999999999484,7.5
L2_DR_Abeta_45  (L2_DR),node1696[74],0.5024999999999948,9.9375
L2_DR_Abeta_46  (L2_DR),node1697[73],0.5224999999999944,9.375
L2_DR_Abeta_47  (L2_DR),node1698[69],0.5699999999999934,8.6875
L2_DR_Abeta_48  (L2_DR),node1699[72],0.5149999999999946,9.625
L2_DR_Abeta_49  (L2_DR),node1700[82],0.5024999999999948,12.75
L2_DR_Abeta_5  (L2_DR),node1656[66],0.539999999999994,8.125
L2_DR_Abeta_6  (L2_DR),node1657[77],0.5049999999999948,9.8125
L2_DR_Abeta_7  (L2_DR),node1658[74],0.5299999999999943,10.125
L2_DR_Abeta_8  (L2_DR),node1659[77],0.5099999999999947,11.3125
L2_DR_Abeta_9  (L2_DR),node1660[75],0.5374999999999941,10.9375
