Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
L2_VR_Aalpha_0  (L2_VR),node2001[47],0.5974999999999928,4.75
L2_VR_Aalpha_1  (L2_VR),node2002[46],0.634999999999992,4.875
L2_VR_Aalpha_10  (L2_VR),node2011[53],0.5774999999999932,5.53125
L2_VR_Aalpha_11  (L2_VR),node2012[45],0.5749999999999933,4.53125
L2_VR_Aalpha_12  (L2_VR),node2013[55],0.6074999999999926,5.875
L2_VR_Aalpha_13  (L2_VR),node2014[46],0.6549999999999916,4.625
L2_VR_Aalpha_14  (L2_VR),node2015[54],0.6499999999999917,5.8125
L2_VR_Aalpha_15  (L2_VR),node2016[50],0.7449999999999897,4.96875
L2_VR_Aalpha_16  (L2_VR),node2017[52],0.6074999999999926,5.25
L2_VR_Aalpha_17  (L2_VR),node2018[55],0.5824999999999931,5.84375
L2_VR_Aalpha_18  (L2_VR),node2019[57],0.6624999999999914,6.375
L2_VR_Aalpha_19  (L2_VR),node2020[51],0.6099999999999925,5.3125
L2_VR_Aalpha_2  (L2_VR),node2003[44],0.7349999999999899,4.40625
L2_VR_Aalpha_20  (L2_VR),node2021[49],0.589999999999993,5.125
L2_VR_Aalpha_21  (L2_VR),node2022[54],0.7249999999999901,5.6875
L2_VR_Aalpha_22  (L2_VR),node2023[56],0.7249999999999901,5.90625
L2_VR_Aalpha_23  (L2_VR),node2024[57],0.6574999999999915,6.15625
L2_VR_Aalpha_24  (L2_VR),node2025[51],0.5999999999999928,5.375
L2_VR_Aalpha_25  (L2_VR),node2026[48],0.6049999999999927,4.96875
L2_VR_Aalpha_26  (L2_VR),node2027[55],0.6749999999999912,6.25
L2_VR_Aalpha_27  (L2_VR),node2028[49],0.6799999999999911,5.09375
L2_VR_Aalpha_28  (L2_VR),node2029[59],0.6424999999999919,6.6875
L2_VR_Aalpha_29  (L2_VR),node2030[52],0.5999999999999928,5.5
L2_VR_Aalpha_3  (L2_VR),node2004[54],0.5949999999999929,5.90625
L2_VR_Aalpha_30  (L2_VR),node2031[52],0.5999999999999928,5.59375
L2_VR_Aalpha_31  (L2_VR),node2032[60],0.5599999999999936,6.8125
L2_VR_Aalpha_32  (L2_VR),node2033[78],0.6024999999999927,9.625
L2_VR_Aalpha_33  (L2_VR),node2034[48],0.6224999999999923,5.03125
L2_VR_Aalpha_34  (L2_VR),node2035[54],0.6224999999999923,6.21875
L2_VR_Aalpha_35  (L2_VR),node2036[65],0.6599999999999915,7.4375
L2_VR_Aalpha_36  (L2_VR),node2037[49],0.6674999999999913,5.34375
L2_VR_Aalpha_37  (L2_VR),node2038[46],0.6149999999999924,4.84375
L2_VR_Aalpha_38  (L2_VR),node2039[55],0.5824999999999931,6.15625
L2_VR_Aalpha_39  (L2_VR),node2040[46],0.6099999999999925,4.875
L2_VR_Aalpha_4  (L2_VR),node2005[51],0.5924999999999929,5.21875
L2_VR_Aalpha_40  (L2_VR),node2041[47],0.5774999999999932,5.15625
L2_VR_Aalpha_41  (L2_VR),node2042[49],0.6774999999999911,5.125
L2_VR_Aalpha_42  (L2_VR),node2043[53],0.5849999999999931,5.625
L2_VR_Aalpha_43  (L2_VR),node2044[55],0.5949999999999929,6.0
L2_VR_Aalpha_44  (L2_VR),node2045[44],0.5749999999999933,4.53125
L2_VR_Aalpha_45  (L2_VR),node2046[45],0.6224999999999923,4.8125
L2_VR_Aalpha_46  (L2_VR),node2047[54],0.6449999999999918,5.65625
L2_VR_Aalpha_47  (L2_VR),node2048[47],0.6099999999999925,4.9375
L2_VR_Aalpha_48  (L2_VR),node2049[50],0.589999999999993,5.3125
L2_VR_Aalpha_49  (L2_VR),node2050[51],0.637499999999992,5.28125
L2_VR_Aalpha_5  (L2_VR),node2006[49],0.6174999999999924,5.0625
L2_VR_Aalpha_6  (L2_VR),node2007[51],0.5999999999999928,5.1875
L2_VR_Aalpha_7  (L2_VR),node2008[57],0.6224999999999923,6.03125
L2_VR_Aalpha_8  (L2_VR),node2009[46],0.589999999999993,4.53125
L2_VR_Aalpha_9  (L2_VR),node2010[47],0.5824999999999931,4.78125
