Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
L2_VR_Adelta_0  (L2_VR),node2101[224],0.44749999999999596,56.5
L2_VR_Adelta_1  (L2_VR),node2102[279],0.4724999999999954,66.0
L2_VR_Adelta_10  (L2_VR),node2111[316],0.44749999999999596,66.5
L2_VR_Adelta_11  (L2_VR),node2112[305],0.444999999999996,63.0
L2_VR_Adelta_12  (L2_VR),node2113[230],0.46749999999999553,48.25
L2_VR_Adelta_13  (L2_VR),node2114[191],0.47499999999999537,46.5
L2_VR_Adelta_14  (L2_VR),node2115[213],0.47499999999999537,48.5
L2_VR_Adelta_15  (L2_VR),node2116[250],0.4499999999999959,52.0
L2_VR_Adelta_16  (L2_VR),node2117[197],0.4324999999999963,45.25
L2_VR_Adelta_17  (L2_VR),node2118[238],0.45749999999999574,49.25
L2_VR_Adelta_18  (L2_VR),internode2119[259],0.38249999999999734,53.0
L2_VR_Adelta_19  (L2_VR),node2120[246],0.4974999999999949,49.75
L2_VR_Adelta_2  (L2_VR),node2103[228],0.4649999999999956,54.0
L2_VR_Adelta_20  (L2_VR),node2121[254],0.44249999999999606,52.5
L2_VR_Adelta_21  (L2_VR),node2122[242],0.47499999999999537,49.75
L2_VR_Adelta_22  (L2_VR),node2123[274],0.44249999999999606,55.0
L2_VR_Adelta_23  (L2_VR),node2124[240],0.4499999999999959,47.0
L2_VR_Adelta_24  (L2_VR),node2125[274],0.4649999999999956,53.5
L2_VR_Adelta_25  (L2_VR),node2126[303],0.4649999999999956,58.5
L2_VR_Adelta_26  (L2_VR),node2127[217],0.4399999999999961,45.0
L2_VR_Adelta_27  (L2_VR),node2128[209],0.4874999999999951,43.25
L2_VR_Adelta_28  (L2_VR),node2129[206],0.4549999999999958,42.25
L2_VR_Adelta_29  (L2_VR),node2130[226],0.4974999999999949,44.5
L2_VR_Adelta_3  (L2_VR),node2104[277],0.45249999999999585,61.5
L2_VR_Adelta_30  (L2_VR),node2131[235],0.44749999999999596,47.0
L2_VR_Adelta_31  (L2_VR),node2132[206],0.444999999999996,44.0
L2_VR_Adelta_32  (L2_VR),node2133[264],0.4824999999999952,55.5
L2_VR_Adelta_33  (L2_VR),node2134[222],0.45249999999999585,48.75
L2_VR_Adelta_34  (L2_VR),node2135[193],0.45749999999999574,55.0
L2_VR_Adelta_35  (L2_VR),internode2136[193],0.397499999999997,56.0
L2_VR_Adelta_36  (L2_VR),node2137[269],0.5124999999999946,74.5
L2_VR_Adelta_37  (L2_VR),node2138[256],0.4549999999999958,71.0
L2_VR_Adelta_38  (L2_VR),internode2139[245],0.4024999999999969,67.0
L2_VR_Adelta_39  (L2_VR),internode2140[217],0.3899999999999972,60.5
L2_VR_Adelta_4  (L2_VR),internode2105[237],0.3899999999999972,52.0
L2_VR_Adelta_40  (L2_VR),node2141[223],0.4974999999999949,61.0
L2_VR_Adelta_41  (L2_VR),node2142[268],0.44749999999999596,72.0
L2_VR_Adelta_42  (L2_VR),internode2143[252],0.39999999999999697,66.0
L2_VR_Adelta_43  (L2_VR),internode2144[223],0.397499999999997,56.5
L2_VR_Adelta_44  (L2_VR),node2145[197],0.4599999999999957,51.5
L2_VR_Adelta_45  (L2_VR),node2146[189],0.44749999999999596,53.0
L2_VR_Adelta_46  (L2_VR),node2147[284],0.46249999999999564,68.5
L2_VR_Adelta_47  (L2_VR),node2148[258],0.46749999999999553,65.0
L2_VR_Adelta_48  (L2_VR),node2149[227],0.444999999999996,55.0
L2_VR_Adelta_49  (L2_VR),internode2150[295],0.397499999999997,69.0
L2_VR_Adelta_5  (L2_VR),node2106[295],0.45749999999999574,63.5
L2_VR_Adelta_6  (L2_VR),internode2107[225],0.39999999999999697,54.0
L2_VR_Adelta_7  (L2_VR),node2108[189],0.444999999999996,44.75
L2_VR_Adelta_8  (L2_VR),node2109[271],0.4499999999999959,59.5
L2_VR_Adelta_9  (L2_VR),node2110[245],0.46249999999999564,54.5
