Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
L2_VR_C_0  (L2_VR),section2151[1516],0.4024999999999969,772.0
L2_VR_C_1  (L2_VR),section2152[1514],0.4024999999999969,872.0
L2_VR_C_10  (L2_VR),section2161[1540],0.40999999999999676,960.0
L2_VR_C_11  (L2_VR),section2162[1548],0.4274999999999964,944.0
L2_VR_C_12  (L2_VR),section2163[1550],0.4024999999999969,840.0
L2_VR_C_13  (L2_VR),section2164[1548],0.4024999999999969,692.0
L2_VR_C_14  (L2_VR),section2165[1550],0.4024999999999969,700.0
L2_VR_C_15  (L2_VR),section2166[1562],0.4024999999999969,856.0
L2_VR_C_16  (L2_VR),section2167[1562],0.4024999999999969,740.0
L2_VR_C_17  (L2_VR),section2168[1562],0.4024999999999969,712.0
L2_VR_C_18  (L2_VR),section2169[1572],0.4024999999999969,728.0
L2_VR_C_19  (L2_VR),section2170[1576],0.4024999999999969,780.0
L2_VR_C_2  (L2_VR),section2153[1512],0.4024999999999969,772.0
L2_VR_C_20  (L2_VR),section2171[1574],0.4024999999999969,708.0
L2_VR_C_21  (L2_VR),section2172[1576],0.4024999999999969,708.0
L2_VR_C_22  (L2_VR),section2173[1586],0.41999999999999654,800.0
L2_VR_C_23  (L2_VR),section2174[1586],0.4024999999999969,692.0
L2_VR_C_24  (L2_VR),section2175[1584],0.4024999999999969,760.0
L2_VR_C_25  (L2_VR),section2176[1584],0.4024999999999969,808.0
L2_VR_C_26  (L2_VR),section2177[1600],0.4024999999999969,636.0
L2_VR_C_27  (L2_VR),section2178[1596],0.4024999999999969,680.0
L2_VR_C_28  (L2_VR),section2179[1596],0.4024999999999969,636.0
L2_VR_C_29  (L2_VR),section2180[1598],0.4024999999999969,696.0
L2_VR_C_3  (L2_VR),section2154[1526],0.4024999999999969,832.0
L2_VR_C_30  (L2_VR),section2181[1610],0.4024999999999969,764.0
L2_VR_C_31  (L2_VR),section2182[1608],0.4024999999999969,720.0
L2_VR_C_32  (L2_VR),section2183[1610],0.4024999999999969,744.0
L2_VR_C_33  (L2_VR),section2184[1612],0.4024999999999969,724.0
L2_VR_C_34  (L2_VR),section2185[1470],0.4024999999999969,904.0
L2_VR_C_35  (L2_VR),section2186[1466],0.4024999999999969,920.0
L2_VR_C_36  (L2_VR),section2187[1466],0.4124999999999967,1088.0
L2_VR_C_37  (L2_VR),section2188[1466],0.4024999999999969,1072.0
L2_VR_C_38  (L2_VR),section2189[1480],0.4024999999999969,920.0
L2_VR_C_39  (L2_VR),section2190[1478],0.4024999999999969,904.0
L2_VR_C_4  (L2_VR),section2155[1524],0.4024999999999969,760.0
L2_VR_C_40  (L2_VR),section2191[1480],0.4024999999999969,888.0
L2_VR_C_41  (L2_VR),section2192[1476],0.4024999999999969,1040.0
L2_VR_C_42  (L2_VR),section2193[1490],0.4024999999999969,936.0
L2_VR_C_43  (L2_VR),section2194[1490],0.4024999999999969,832.0
L2_VR_C_44  (L2_VR),section2195[1490],0.4024999999999969,784.0
L2_VR_C_45  (L2_VR),section2196[1490],0.4024999999999969,760.0
L2_VR_C_46  (L2_VR),section2197[1502],0.4024999999999969,936.0
L2_VR_C_47  (L2_VR),section2198[1500],0.4024999999999969,872.0
L2_VR_C_48  (L2_VR),section2199[1502],0.4024999999999969,816.0
L2_VR_C_49  (L2_VR),section2200[1502],0.4074999999999968,960.0
L2_VR_C_5  (L2_VR),section2156[1526],0.4024999999999969,880.0
L2_VR_C_6  (L2_VR),section2157[1528],0.4024999999999969,732.0
L2_VR_C_7  (L2_VR),section2158[1538],0.4024999999999969,692.0
L2_VR_C_8  (L2_VR),section2159[1536],0.4024999999999969,840.0
L2_VR_C_9  (L2_VR),section2160[1536],0.4024999999999969,768.0
