Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
L3_DL_Aalpha_0  (L3_DL),node2601[57],0.5649999999999935,3.75
L3_DL_Aalpha_1  (L3_DL),node2602[57],0.5999999999999928,3.90625
L3_DL_Aalpha_10  (L3_DL),node2611[59],0.6549999999999916,5.90625
L3_DL_Aalpha_11  (L3_DL),node2612[50],0.6024999999999927,4.90625
L3_DL_Aalpha_12  (L3_DL),node2613[60],0.6449999999999918,6.5
L3_DL_Aalpha_13  (L3_DL),node2614[50],0.7699999999999891,5.375
L3_DL_Aalpha_14  (L3_DL),node2615[59],0.5724999999999933,7.0625
L3_DL_Aalpha_15  (L3_DL),node2616[59],0.5774999999999932,3.875
L3_DL_Aalpha_16  (L3_DL),node2617[61],0.5949999999999929,4.1875
L3_DL_Aalpha_17  (L3_DL),node2618[64],0.6074999999999926,4.71875
L3_DL_Aalpha_18  (L3_DL),node2619[67],0.6574999999999915,5.375
L3_DL_Aalpha_19  (L3_DL),node2620[58],0.6399999999999919,4.46875
L3_DL_Aalpha_2  (L3_DL),node2603[53],0.7024999999999906,3.65625
L3_DL_Aalpha_20  (L3_DL),node2621[56],0.587499999999993,4.46875
L3_DL_Aalpha_21  (L3_DL),node2622[61],0.6299999999999921,5.28125
L3_DL_Aalpha_22  (L3_DL),node2623[62],0.6649999999999914,5.53125
L3_DL_Aalpha_23  (L3_DL),node2624[63],0.6499999999999917,5.9375
L3_DL_Aalpha_24  (L3_DL),node2625[56],0.6074999999999926,5.25
L3_DL_Aalpha_25  (L3_DL),node2626[53],0.5949999999999929,5.125
L3_DL_Aalpha_26  (L3_DL),node2627[59],0.5824999999999931,6.15625
L3_DL_Aalpha_27  (L3_DL),node2628[52],0.5999999999999928,5.4375
L3_DL_Aalpha_28  (L3_DL),node2629[63],0.6999999999999906,7.25
L3_DL_Aalpha_29  (L3_DL),node2630[54],0.6224999999999923,6.15625
L3_DL_Aalpha_3  (L3_DL),node2604[65],0.5999999999999928,5.09375
L3_DL_Aalpha_30  (L3_DL),node2631[60],0.5649999999999935,4.03125
L3_DL_Aalpha_31  (L3_DL),node2632[69],0.6024999999999927,5.09375
L3_DL_Aalpha_32  (L3_DL),node2633[89],0.5924999999999929,7.4375
L3_DL_Aalpha_33  (L3_DL),node2634[54],0.5724999999999933,3.96875
L3_DL_Aalpha_34  (L3_DL),node2635[67],0.5799999999999932,5.4375
L3_DL_Aalpha_35  (L3_DL),node2636[80],0.6099999999999925,7.375
L3_DL_Aalpha_36  (L3_DL),node2637[60],0.5824999999999931,5.0625
L3_DL_Aalpha_37  (L3_DL),node2638[55],0.5824999999999931,4.75
L3_DL_Aalpha_38  (L3_DL),node2639[66],0.5724999999999933,6.375
L3_DL_Aalpha_39  (L3_DL),node2640[54],0.5999999999999928,5.09375
L3_DL_Aalpha_4  (L3_DL),node2605[60],0.587499999999993,4.625
L3_DL_Aalpha_40  (L3_DL),node2641[56],0.6774999999999911,5.4375
L3_DL_Aalpha_41  (L3_DL),node2642[57],0.6649999999999914,5.8125
L3_DL_Aalpha_42  (L3_DL),node2643[60],0.6774999999999911,6.5
L3_DL_Aalpha_43  (L3_DL),node2644[62],0.5674999999999935,7.125
L3_DL_Aalpha_44  (L3_DL),node2645[49],0.6024999999999927,5.5625
L3_DL_Aalpha_45  (L3_DL),node2646[57],0.8324999999999878,3.71875
L3_DL_Aalpha_46  (L3_DL),node2647[66],0.5724999999999933,4.75
L3_DL_Aalpha_47  (L3_DL),node2648[58],0.5699999999999934,4.1875
L3_DL_Aalpha_48  (L3_DL),node2649[61],0.6474999999999917,4.59375
L3_DL_Aalpha_49  (L3_DL),node2650[61],0.6424999999999919,4.6875
L3_DL_Aalpha_5  (L3_DL),node2606[58],0.6249999999999922,4.6875
L3_DL_Aalpha_6  (L3_DL),node2607[59],0.6524999999999916,4.9375
L3_DL_Aalpha_7  (L3_DL),node2608[65],0.7349999999999899,5.875
L3_DL_Aalpha_8  (L3_DL),node2609[52],0.5699999999999934,4.65625
L3_DL_Aalpha_9  (L3_DL),node2610[53],0.6099999999999925,4.9375
