Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
L3_DL_C_0  (L3_DL),section2751[1850],1.5424999999999727,4128.0
L3_DL_C_1  (L3_DL),section2752[1838],0.4024999999999969,4864.0
L3_DL_C_10  (L3_DL),section2761[1726],0.41999999999999654,3616.0
L3_DL_C_11  (L3_DL),section2762[1718],0.4074999999999968,4352.0
L3_DL_C_12  (L3_DL),section2763[1702],0.4024999999999969,2976.0
L3_DL_C_13  (L3_DL),section2764[1688],0.4024999999999969,2688.0
L3_DL_C_14  (L3_DL),section2765[1678],0.4024999999999969,3056.0
L3_DL_C_15  (L3_DL),section2766[1850],1.5599999999999723,4608.0
L3_DL_C_16  (L3_DL),section2767[1791],5.764999999999924,4128.0
L3_DL_C_17  (L3_DL),section2768[1824],0.4024999999999969,2944.0
L3_DL_C_18  (L3_DL),section2769[1792],3.857500000000253,3088.0
L3_DL_C_19  (L3_DL),section2770[1802],0.4024999999999969,2736.0
L3_DL_C_2  (L3_DL),section2753[1803],3.9500000000002675,2432.0
L3_DL_C_20  (L3_DL),section2771[1788],0.4399999999999961,3520.0
L3_DL_C_21  (L3_DL),section2772[1778],0.4024999999999969,3616.0
L3_DL_C_22  (L3_DL),section2773[1766],0.4024999999999969,3552.0
L3_DL_C_23  (L3_DL),section2774[1752],0.4024999999999969,3104.0
L3_DL_C_24  (L3_DL),section2775[1742],0.4024999999999969,3968.0
L3_DL_C_25  (L3_DL),section2776[1730],0.4174999999999966,4064.0
L3_DL_C_26  (L3_DL),section2777[1718],0.4024999999999969,3232.0
L3_DL_C_27  (L3_DL),section2778[1700],0.4024999999999969,2736.0
L3_DL_C_28  (L3_DL),section2779[1690],0.4024999999999969,3152.0
L3_DL_C_29  (L3_DL),section2780[1680],0.4024999999999969,3424.0
L3_DL_C_3  (L3_DL),section2754[1812],0.7124999999999904,2288.0
L3_DL_C_30  (L3_DL),section2781[1848],0.6399999999999919,4256.0
L3_DL_C_31  (L3_DL),section2782[1839],0.7074999999999905,4064.0
L3_DL_C_32  (L3_DL),section2783[1826],0.6324999999999921,3168.0
L3_DL_C_33  (L3_DL),section2784[1811],0.6399999999999919,2208.0
L3_DL_C_34  (L3_DL),section2785[1800],0.44749999999999596,2640.0
L3_DL_C_35  (L3_DL),section2786[1788],0.4024999999999969,2928.0
L3_DL_C_36  (L3_DL),section2787[1778],0.44249999999999606,4480.0
L3_DL_C_37  (L3_DL),section2788[1766],0.40499999999999686,4000.0
L3_DL_C_38  (L3_DL),section2789[1713],6.0899999999998595,3456.0
L3_DL_C_39  (L3_DL),section2790[1738],0.4024999999999969,2848.0
L3_DL_C_4  (L3_DL),section2755[1802],0.4024999999999969,2976.0
L3_DL_C_40  (L3_DL),section2791[1730],0.4024999999999969,3616.0
L3_DL_C_41  (L3_DL),section2792[1714],0.4024999999999969,3616.0
L3_DL_C_42  (L3_DL),section2793[1706],0.4024999999999969,3904.0
L3_DL_C_43  (L3_DL),section2794[1692],0.4024999999999969,3360.0
L3_DL_C_44  (L3_DL),section2795[1680],0.4024999999999969,3184.0
L3_DL_C_45  (L3_DL),section2796[1852],1.5474999999999726,3936.0
L3_DL_C_46  (L3_DL),section2797[1838],0.45249999999999585,4256.0
L3_DL_C_47  (L3_DL),section2798[1826],0.4024999999999969,3120.0
L3_DL_C_48  (L3_DL),section2799[1812],0.6649999999999914,2000.0
L3_DL_C_49  (L3_DL),section2800[1804],0.4024999999999969,3584.0
L3_DL_C_5  (L3_DL),section2756[1788],0.4024999999999969,3520.0
L3_DL_C_6  (L3_DL),section2757[1776],0.444999999999996,3072.0
L3_DL_C_7  (L3_DL),section2758[1764],0.4024999999999969,2864.0
L3_DL_C_8  (L3_DL),section2759[1752],0.4024999999999969,3936.0
L3_DL_C_9  (L3_DL),section2760[1738],0.4024999999999969,3136.0
