Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
L3_DR_C_0  (L3_DR),section2551[1810],0.4024999999999969,1504.0
L3_DR_C_1  (L3_DR),section2552[1826],0.4124999999999967,2032.0
L3_DR_C_10  (L3_DR),section2561[1748],0.4074999999999968,1808.0
L3_DR_C_11  (L3_DR),section2562[1764],0.40999999999999676,1792.0
L3_DR_C_12  (L3_DR),section2563[1772],0.4024999999999969,1456.0
L3_DR_C_13  (L3_DR),section2564[1786],0.4024999999999969,1336.0
L3_DR_C_14  (L3_DR),section2565[1800],0.4024999999999969,1504.0
L3_DR_C_15  (L3_DR),section2566[1810],0.4024999999999969,1512.0
L3_DR_C_16  (L3_DR),section2567[1822],0.4024999999999969,1368.0
L3_DR_C_17  (L3_DR),section2568[1836],0.4024999999999969,1480.0
L3_DR_C_18  (L3_DR),section2569[1850],0.4024999999999969,1824.0
L3_DR_C_19  (L3_DR),section2570[1864],0.4024999999999969,1920.0
L3_DR_C_2  (L3_DR),section2553[1834],0.4024999999999969,1344.0
L3_DR_C_20  (L3_DR),section2571[1690],0.44749999999999596,1968.0
L3_DR_C_21  (L3_DR),section2572[1702],0.4024999999999969,2064.0
L3_DR_C_22  (L3_DR),section2573[1716],0.4024999999999969,1952.0
L3_DR_C_23  (L3_DR),section2574[1724],0.4024999999999969,1584.0
L3_DR_C_24  (L3_DR),section2575[1742],0.4024999999999969,1920.0
L3_DR_C_25  (L3_DR),section2576[1746],0.4024999999999969,1680.0
L3_DR_C_26  (L3_DR),section2577[1762],0.4024999999999969,1568.0
L3_DR_C_27  (L3_DR),section2578[1772],0.4024999999999969,1416.0
L3_DR_C_28  (L3_DR),section2579[1788],0.4024999999999969,1648.0
L3_DR_C_29  (L3_DR),section2580[1798],0.4024999999999969,1528.0
L3_DR_C_3  (L3_DR),section2554[1848],0.4024999999999969,1888.0
L3_DR_C_30  (L3_DR),section2581[1810],0.39999999999999697,1616.0
L3_DR_C_31  (L3_DR),section2582[1826],0.4024999999999969,1416.0
L3_DR_C_32  (L3_DR),section2583[1836],0.4024999999999969,1664.0
L3_DR_C_33  (L3_DR),section2584[1850],0.4024999999999969,1480.0
L3_DR_C_34  (L3_DR),section2585[1860],0.4024999999999969,1328.0
L3_DR_C_35  (L3_DR),section2586[1688],0.4024999999999969,1648.0
L3_DR_C_36  (L3_DR),section2587[1702],0.4024999999999969,2320.0
L3_DR_C_37  (L3_DR),section2588[1716],0.4024999999999969,2016.0
L3_DR_C_38  (L3_DR),section2589[1724],0.4024999999999969,1632.0
L3_DR_C_39  (L3_DR),section2590[1736],0.4024999999999969,1696.0
L3_DR_C_4  (L3_DR),section2555[1860],0.4024999999999969,1576.0
L3_DR_C_40  (L3_DR),section2591[1752],0.4024999999999969,1648.0
L3_DR_C_41  (L3_DR),section2592[1760],0.4024999999999969,1616.0
L3_DR_C_42  (L3_DR),section2593[1778],0.4024999999999969,2000.0
L3_DR_C_43  (L3_DR),section2594[1788],0.4024999999999969,1520.0
L3_DR_C_44  (L3_DR),section2595[1800],0.4024999999999969,1504.0
L3_DR_C_45  (L3_DR),section2596[1810],0.4024999999999969,1416.0
L3_DR_C_46  (L3_DR),section2597[1824],0.41999999999999654,1792.0
L3_DR_C_47  (L3_DR),section2598[1836],0.4024999999999969,1560.0
L3_DR_C_48  (L3_DR),section2599[1848],0.4024999999999969,1536.0
L3_DR_C_49  (L3_DR),section2600[1862],0.41499999999999665,2064.0
L3_DR_C_5  (L3_DR),section2556[1690],0.4349999999999962,2304.0
L3_DR_C_6  (L3_DR),section2557[1704],0.4024999999999969,1760.0
L3_DR_C_7  (L3_DR),section2558[1710],0.4024999999999969,1352.0
L3_DR_C_8  (L3_DR),section2559[1726],0.4024999999999969,1792.0
L3_DR_C_9  (L3_DR),section2560[1738],0.4024999999999969,1632.0
