Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
L3_VL_Abeta_0  (L3_VL),node3051[70],0.5049999999999948,11.375
L3_VL_Abeta_1  (L3_VL),node3052[77],0.5574999999999937,12.875
L3_VL_Abeta_10  (L3_VL),node3061[83],0.48999999999999505,13.25
L3_VL_Abeta_11  (L3_VL),node3062[73],0.6774999999999911,11.125
L3_VL_Abeta_12  (L3_VL),node3063[87],0.48499999999999516,13.625
L3_VL_Abeta_13  (L3_VL),node3064[74],0.5124999999999946,11.0
L3_VL_Abeta_14  (L3_VL),node3065[83],0.6924999999999908,12.625
L3_VL_Abeta_15  (L3_VL),node3066[82],0.5349999999999941,12.375
L3_VL_Abeta_16  (L3_VL),node3067[132],0.6149999999999924,20.375
L3_VL_Abeta_17  (L3_VL),node3068[95],0.4824999999999952,14.5
L3_VL_Abeta_18  (L3_VL),node3069[73],0.5174999999999945,10.5
L3_VL_Abeta_19  (L3_VL),node3070[75],0.5349999999999941,10.8125
L3_VL_Abeta_2  (L3_VL),node3053[77],0.4874999999999951,13.0
L3_VL_Abeta_20  (L3_VL),node3071[75],0.5649999999999935,10.875
L3_VL_Abeta_21  (L3_VL),node3072[78],0.5274999999999943,11.375
L3_VL_Abeta_22  (L3_VL),node3073[92],0.5024999999999948,13.875
L3_VL_Abeta_23  (L3_VL),node3074[68],0.48999999999999505,9.375
L3_VL_Abeta_24  (L3_VL),node3075[87],0.5274999999999943,12.4375
L3_VL_Abeta_25  (L3_VL),node3076[69],0.5699999999999934,9.5625
L3_VL_Abeta_26  (L3_VL),node3077[76],0.5174999999999945,10.25
L3_VL_Abeta_27  (L3_VL),node3078[85],0.5149999999999946,11.8125
L3_VL_Abeta_28  (L3_VL),node3079[80],0.5549999999999937,11.0
L3_VL_Abeta_29  (L3_VL),node3080[84],0.5074999999999947,11.625
L3_VL_Abeta_3  (L3_VL),node3054[85],0.5249999999999944,14.125
L3_VL_Abeta_30  (L3_VL),node3081[74],0.5099999999999947,15.0
L3_VL_Abeta_31  (L3_VL),node3082[83],0.542499999999994,17.125
L3_VL_Abeta_32  (L3_VL),node3083[80],0.5649999999999935,16.5
L3_VL_Abeta_33  (L3_VL),node3084[79],0.5124999999999946,15.625
L3_VL_Abeta_34  (L3_VL),node3085[75],0.48999999999999505,14.75
L3_VL_Abeta_35  (L3_VL),node3086[76],0.5349999999999941,15.125
L3_VL_Abeta_36  (L3_VL),node3087[70],0.492499999999995,13.25
L3_VL_Abeta_37  (L3_VL),node3088[69],0.492499999999995,13.125
L3_VL_Abeta_38  (L3_VL),node3089[77],0.5599999999999936,14.625
L3_VL_Abeta_39  (L3_VL),node3090[91],0.5149999999999946,18.0
L3_VL_Abeta_4  (L3_VL),node3055[88],0.5099999999999947,14.625
L3_VL_Abeta_40  (L3_VL),node3091[65],0.5349999999999941,11.625
L3_VL_Abeta_41  (L3_VL),node3092[73],0.6174999999999924,13.25
L3_VL_Abeta_42  (L3_VL),node3093[85],0.4874999999999951,15.875
L3_VL_Abeta_43  (L3_VL),node3094[102],0.5099999999999947,19.125
L3_VL_Abeta_44  (L3_VL),node3095[69],0.5149999999999946,12.125
L3_VL_Abeta_45  (L3_VL),node3096[80],0.5099999999999947,14.375
L3_VL_Abeta_46  (L3_VL),node3097[80],0.5974999999999928,13.75
L3_VL_Abeta_47  (L3_VL),node3098[75],0.4774999999999953,12.875
L3_VL_Abeta_48  (L3_VL),node3099[78],0.5074999999999947,13.375
L3_VL_Abeta_49  (L3_VL),node3100[88],0.5124999999999946,15.375
L3_VL_Abeta_5  (L3_VL),node3056[74],0.5324999999999942,11.875
L3_VL_Abeta_6  (L3_VL),node3057[87],0.492499999999995,14.125
L3_VL_Abeta_7  (L3_VL),node3058[82],0.5649999999999935,13.125
L3_VL_Abeta_8  (L3_VL),node3059[85],0.7324999999999899,13.625
L3_VL_Abeta_9  (L3_VL),node3060[82],0.4774999999999953,13.25
