Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
L4_VL_C_0  (L4_VL),section3951[1564],0.4024999999999969,2480.0
L4_VL_C_1  (L4_VL),section3952[1566],0.41499999999999665,3008.0
L4_VL_C_10  (L4_VL),section3961[1592],0.4224999999999965,2688.0
L4_VL_C_11  (L4_VL),section3962[1594],0.4174999999999966,2880.0
L4_VL_C_12  (L4_VL),section3963[1590],0.4024999999999969,2256.0
L4_VL_C_13  (L4_VL),section3964[1600],0.4024999999999969,2016.0
L4_VL_C_14  (L4_VL),section3965[1600],0.4024999999999969,2176.0
L4_VL_C_15  (L4_VL),section3966[1600],0.4024999999999969,2400.0
L4_VL_C_16  (L4_VL),section3967[1600],0.4024999999999969,2112.0
L4_VL_C_17  (L4_VL),section3968[1604],0.4024999999999969,2320.0
L4_VL_C_18  (L4_VL),section3969[1612],0.4024999999999969,2400.0
L4_VL_C_19  (L4_VL),section3970[1610],0.4024999999999969,2304.0
L4_VL_C_2  (L4_VL),section3953[1564],0.4024999999999969,2640.0
L4_VL_C_20  (L4_VL),section3971[1616],0.4024999999999969,2304.0
L4_VL_C_21  (L4_VL),section3972[1614],0.4024999999999969,2096.0
L4_VL_C_22  (L4_VL),section3973[1628],0.4024999999999969,2288.0
L4_VL_C_23  (L4_VL),section3974[1624],0.4024999999999969,2160.0
L4_VL_C_24  (L4_VL),section3975[1628],0.4024999999999969,2448.0
L4_VL_C_25  (L4_VL),section3976[1624],0.4124999999999967,2560.0
L4_VL_C_26  (L4_VL),section3977[1628],0.4024999999999969,1936.0
L4_VL_C_27  (L4_VL),section3978[1636],0.4024999999999969,1872.0
L4_VL_C_28  (L4_VL),section3979[1634],0.4024999999999969,1888.0
L4_VL_C_29  (L4_VL),section3980[1634],0.4024999999999969,1984.0
L4_VL_C_3  (L4_VL),section3954[1566],0.4074999999999968,2944.0
L4_VL_C_30  (L4_VL),section3981[1638],0.4024999999999969,2032.0
L4_VL_C_31  (L4_VL),section3982[1650],0.4024999999999969,1856.0
L4_VL_C_32  (L4_VL),section3983[1646],0.4024999999999969,2048.0
L4_VL_C_33  (L4_VL),section3984[1648],0.4024999999999969,1808.0
L4_VL_C_34  (L4_VL),section3985[1646],0.4024999999999969,1808.0
L4_VL_C_35  (L4_VL),section3986[1648],0.4024999999999969,1856.0
L4_VL_C_36  (L4_VL),section3987[1662],0.4024999999999969,2080.0
L4_VL_C_37  (L4_VL),section3988[1660],0.4024999999999969,2096.0
L4_VL_C_38  (L4_VL),section3989[1662],0.4024999999999969,1920.0
L4_VL_C_39  (L4_VL),section3990[1664],0.4024999999999969,1968.0
L4_VL_C_4  (L4_VL),section3955[1574],0.4024999999999969,2448.0
L4_VL_C_40  (L4_VL),section3991[1658],0.4024999999999969,1872.0
L4_VL_C_41  (L4_VL),section3992[1544],0.41499999999999665,3184.0
L4_VL_C_42  (L4_VL),section3993[1540],0.4024999999999969,3008.0
L4_VL_C_43  (L4_VL),section3994[1540],0.4024999999999969,2752.0
L4_VL_C_44  (L4_VL),section3995[1542],0.4024999999999969,2576.0
L4_VL_C_45  (L4_VL),section3996[1552],0.4024999999999969,2336.0
L4_VL_C_46  (L4_VL),section3997[1550],0.42499999999999644,2960.0
L4_VL_C_47  (L4_VL),section3998[1556],0.4024999999999969,2944.0
L4_VL_C_48  (L4_VL),section3999[1556],0.4024999999999969,2560.0
L4_VL_C_49  (L4_VL),section4000[1558],0.4024999999999969,3264.0
L4_VL_C_5  (L4_VL),section3956[1578],0.41999999999999654,2832.0
L4_VL_C_6  (L4_VL),section3957[1576],0.4024999999999969,2368.0
L4_VL_C_7  (L4_VL),section3958[1580],0.4024999999999969,2240.0
L4_VL_C_8  (L4_VL),section3959[1576],0.4024999999999969,2704.0
L4_VL_C_9  (L4_VL),section3960[1588],0.4024999999999969,2432.0
