Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
L4_VR_Abeta_0  (L4_VR),node3651[61],0.48499999999999516,16.625
L4_VR_Abeta_1  (L4_VR),node3652[68],0.4974999999999949,19.0
L4_VR_Abeta_10  (L4_VR),node3661[73],0.5024999999999948,19.375
L4_VR_Abeta_11  (L4_VR),node3662[64],0.5074999999999947,16.375
L4_VR_Abeta_12  (L4_VR),node3663[77],0.5224999999999944,20.25
L4_VR_Abeta_13  (L4_VR),node3664[65],0.5599999999999936,16.125
L4_VR_Abeta_14  (L4_VR),node3665[73],0.5124999999999946,18.875
L4_VR_Abeta_15  (L4_VR),node3666[72],0.542499999999994,18.375
L4_VR_Abeta_16  (L4_VR),node3667[116],0.5574999999999937,34.25
L4_VR_Abeta_17  (L4_VR),node3668[84],0.5499999999999938,22.25
L4_VR_Abeta_18  (L4_VR),node3669[64],0.4874999999999951,15.5
L4_VR_Abeta_19  (L4_VR),node3670[66],0.49499999999999494,16.125
L4_VR_Abeta_2  (L4_VR),node3653[68],0.5024999999999948,18.875
L4_VR_Abeta_20  (L4_VR),node3671[66],0.5824999999999931,15.875
L4_VR_Abeta_21  (L4_VR),node3672[68],0.5024999999999948,16.625
L4_VR_Abeta_22  (L4_VR),node3673[81],0.5474999999999939,20.125
L4_VR_Abeta_23  (L4_VR),node3674[59],0.5724999999999933,13.625
L4_VR_Abeta_24  (L4_VR),node3675[76],0.5249999999999944,18.375
L4_VR_Abeta_25  (L4_VR),node3676[60],0.4824999999999952,14.0
L4_VR_Abeta_26  (L4_VR),node3677[66],0.4874999999999951,15.75
L4_VR_Abeta_27  (L4_VR),node3678[75],0.5699999999999934,17.625
L4_VR_Abeta_28  (L4_VR),node3679[70],0.5124999999999946,16.125
L4_VR_Abeta_29  (L4_VR),node3680[74],0.6474999999999917,17.5
L4_VR_Abeta_3  (L4_VR),node3654[75],0.49999999999999484,21.75
L4_VR_Abeta_30  (L4_VR),node3681[72],0.49999999999999484,16.875
L4_VR_Abeta_31  (L4_VR),node3682[80],0.5224999999999944,19.125
L4_VR_Abeta_32  (L4_VR),node3683[78],0.5074999999999947,17.75
L4_VR_Abeta_33  (L4_VR),node3684[76],0.5149999999999946,17.25
L4_VR_Abeta_34  (L4_VR),node3685[72],0.5699999999999934,16.125
L4_VR_Abeta_35  (L4_VR),node3686[74],0.492499999999995,16.875
L4_VR_Abeta_36  (L4_VR),node3687[68],0.49499999999999494,14.5
L4_VR_Abeta_37  (L4_VR),node3688[67],0.48499999999999516,14.375
L4_VR_Abeta_38  (L4_VR),node3689[74],0.5199999999999945,16.25
L4_VR_Abeta_39  (L4_VR),node3690[87],0.492499999999995,19.875
L4_VR_Abeta_4  (L4_VR),node3655[78],0.5024999999999948,21.75
L4_VR_Abeta_40  (L4_VR),node3691[62],0.5224999999999944,13.125
L4_VR_Abeta_41  (L4_VR),node3692[65],0.5049999999999948,19.125
L4_VR_Abeta_42  (L4_VR),node3693[75],0.542499999999994,22.75
L4_VR_Abeta_43  (L4_VR),node3694[91],0.5149999999999946,30.5
L4_VR_Abeta_44  (L4_VR),node3695[61],0.6424999999999919,17.5
L4_VR_Abeta_45  (L4_VR),node3696[71],0.49999999999999484,21.625
L4_VR_Abeta_46  (L4_VR),node3697[70],0.5774999999999932,20.125
L4_VR_Abeta_47  (L4_VR),node3698[66],0.5174999999999945,18.625
L4_VR_Abeta_48  (L4_VR),node3699[69],0.5149999999999946,20.375
L4_VR_Abeta_49  (L4_VR),node3700[78],0.5099999999999947,23.875
L4_VR_Abeta_5  (L4_VR),node3656[65],0.5374999999999941,17.25
L4_VR_Abeta_6  (L4_VR),node3657[76],0.5024999999999948,21.125
L4_VR_Abeta_7  (L4_VR),node3658[72],0.5199999999999945,19.625
L4_VR_Abeta_8  (L4_VR),node3659[75],0.5274999999999943,20.25
L4_VR_Abeta_9  (L4_VR),node3660[72],0.6074999999999926,19.0
