Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
L5_DR_Adelta_0  (L5_DR),node4101[225],0.4549999999999958,175.0
L5_DR_Adelta_1  (L5_DR),node4102[276],0.5274999999999943,242.0
L5_DR_Adelta_10  (L5_DR),node4111[278],0.4549999999999958,350.0
L5_DR_Adelta_11  (L5_DR),node4112[266],0.4549999999999958,374.0
L5_DR_Adelta_12  (L5_DR),node4113[197],0.46749999999999553,236.0
L5_DR_Adelta_13  (L5_DR),node4114[162],0.4774999999999953,206.0
L5_DR_Adelta_14  (L5_DR),node4115[179],0.4649999999999956,234.0
L5_DR_Adelta_15  (L5_DR),node4116[244],0.5024999999999948,200.0
L5_DR_Adelta_16  (L5_DR),node4117[189],0.46749999999999553,147.0
L5_DR_Adelta_17  (L5_DR),node4118[226],0.45749999999999574,194.0
L5_DR_Adelta_18  (L5_DR),node4119[238],0.5474999999999939,210.0
L5_DR_Adelta_19  (L5_DR),node4120[227],0.4349999999999962,218.0
L5_DR_Adelta_2  (L5_DR),node4103[224],0.4699999999999955,194.0
L5_DR_Adelta_20  (L5_DR),node4121[233],0.45249999999999585,244.0
L5_DR_Adelta_21  (L5_DR),node4122[219],0.4599999999999957,228.0
L5_DR_Adelta_22  (L5_DR),internode4123[246],0.4024999999999969,264.0
L5_DR_Adelta_23  (L5_DR),node4124[209],0.43749999999999617,210.0
L5_DR_Adelta_24  (L5_DR),node4125[237],0.4399999999999961,276.0
L5_DR_Adelta_25  (L5_DR),node4126[260],0.4399999999999961,332.0
L5_DR_Adelta_26  (L5_DR),node4127[181],0.46749999999999553,226.0
L5_DR_Adelta_27  (L5_DR),node4128[173],0.49999999999999484,204.0
L5_DR_Adelta_28  (L5_DR),node4129[169],0.47499999999999537,214.0
L5_DR_Adelta_29  (L5_DR),node4130[183],0.4874999999999951,282.0
L5_DR_Adelta_3  (L5_DR),node4104[266],0.5174999999999945,246.0
L5_DR_Adelta_30  (L5_DR),node4131[221],0.444999999999996,173.0
L5_DR_Adelta_31  (L5_DR),node4132[192],0.4824999999999952,152.0
L5_DR_Adelta_32  (L5_DR),node4133[243],0.47499999999999537,199.0
L5_DR_Adelta_33  (L5_DR),node4134[203],0.47499999999999537,187.0
L5_DR_Adelta_34  (L5_DR),node4135[191],0.4774999999999953,171.0
L5_DR_Adelta_35  (L5_DR),node4136[187],0.4774999999999953,176.0
L5_DR_Adelta_36  (L5_DR),internode4137[264],0.39999999999999697,274.0
L5_DR_Adelta_37  (L5_DR),node4138[246],0.4724999999999954,278.0
L5_DR_Adelta_38  (L5_DR),node4139[227],0.5199999999999945,250.0
L5_DR_Adelta_39  (L5_DR),node4140[200],0.46749999999999553,238.0
L5_DR_Adelta_4  (L5_DR),node4105[221],0.5474999999999939,194.0
L5_DR_Adelta_40  (L5_DR),node4141[205],0.44749999999999596,254.0
L5_DR_Adelta_41  (L5_DR),node4142[244],0.4549999999999958,316.0
L5_DR_Adelta_42  (L5_DR),node4143[223],0.49999999999999484,272.0
L5_DR_Adelta_43  (L5_DR),node4144[194],0.4499999999999959,276.0
L5_DR_Adelta_44  (L5_DR),node4145[170],0.5199999999999945,226.0
L5_DR_Adelta_45  (L5_DR),node4146[193],0.4549999999999958,149.0
L5_DR_Adelta_46  (L5_DR),node4147[284],0.5149999999999946,242.0
L5_DR_Adelta_47  (L5_DR),node4148[256],0.4699999999999955,234.0
L5_DR_Adelta_48  (L5_DR),node4149[222],0.4399999999999961,202.0
L5_DR_Adelta_49  (L5_DR),node4150[283],0.444999999999996,278.0
L5_DR_Adelta_5  (L5_DR),node4106[278],0.4399999999999961,282.0
L5_DR_Adelta_6  (L5_DR),node4107[208],0.44749999999999596,220.0
L5_DR_Adelta_7  (L5_DR),node4108[172],0.4549999999999958,169.0
L5_DR_Adelta_8  (L5_DR),node4109[246],0.4549999999999958,292.0
L5_DR_Adelta_9  (L5_DR),internode4110[223],0.39999999999999697,258.0
