Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
L5_VL_Aalpha_0  (L5_VL),node4601[41],0.6899999999999908,9.6875
L5_VL_Aalpha_1  (L5_VL),node4602[41],0.5849999999999931,9.625
L5_VL_Aalpha_10  (L5_VL),node4611[44],0.6399999999999919,12.0
L5_VL_Aalpha_11  (L5_VL),node4612[37],0.6899999999999908,9.8125
L5_VL_Aalpha_12  (L5_VL),node4613[45],0.6074999999999926,12.625
L5_VL_Aalpha_13  (L5_VL),node4614[37],0.5824999999999931,10.375
L5_VL_Aalpha_14  (L5_VL),node4615[44],0.6399999999999919,12.625
L5_VL_Aalpha_15  (L5_VL),node4616[40],0.72749999999999,11.0625
L5_VL_Aalpha_16  (L5_VL),node4617[41],0.5999999999999928,11.9375
L5_VL_Aalpha_17  (L5_VL),node4618[44],0.6874999999999909,12.875
L5_VL_Aalpha_18  (L5_VL),node4619[45],0.6049999999999927,13.625
L5_VL_Aalpha_19  (L5_VL),node4620[40],0.6574999999999915,11.625
L5_VL_Aalpha_2  (L5_VL),node4603[39],0.5774999999999932,8.9375
L5_VL_Aalpha_20  (L5_VL),node4621[47],0.634999999999992,7.625
L5_VL_Aalpha_21  (L5_VL),node4622[51],0.5674999999999935,8.75
L5_VL_Aalpha_22  (L5_VL),node4623[52],0.6424999999999919,9.125
L5_VL_Aalpha_23  (L5_VL),node4624[53],0.6174999999999924,9.4375
L5_VL_Aalpha_24  (L5_VL),node4625[48],0.634999999999992,8.125
L5_VL_Aalpha_25  (L5_VL),node4626[45],0.5649999999999935,7.6875
L5_VL_Aalpha_26  (L5_VL),node4627[50],0.637499999999992,9.3125
L5_VL_Aalpha_27  (L5_VL),node4628[45],0.5749999999999933,8.0
L5_VL_Aalpha_28  (L5_VL),node4629[54],0.5999999999999928,10.125
L5_VL_Aalpha_29  (L5_VL),node4630[47],0.6249999999999922,8.5625
L5_VL_Aalpha_3  (L5_VL),node4604[47],0.5849999999999931,11.9375
L5_VL_Aalpha_30  (L5_VL),node4631[46],0.7624999999999893,8.8125
L5_VL_Aalpha_31  (L5_VL),node4632[54],0.6099999999999925,10.375
L5_VL_Aalpha_32  (L5_VL),node4633[70],0.5624999999999936,14.125
L5_VL_Aalpha_33  (L5_VL),node4634[42],0.634999999999992,8.125
L5_VL_Aalpha_34  (L5_VL),node4635[53],0.7099999999999904,10.625
L5_VL_Aalpha_35  (L5_VL),node4636[63],0.5974999999999928,13.125
L5_VL_Aalpha_36  (L5_VL),node4637[47],0.6149999999999924,9.6875
L5_VL_Aalpha_37  (L5_VL),node4638[44],0.6299999999999921,8.8125
L5_VL_Aalpha_38  (L5_VL),node4639[52],0.6999999999999906,11.1875
L5_VL_Aalpha_39  (L5_VL),node4640[44],0.6549999999999916,8.75
L5_VL_Aalpha_4  (L5_VL),node4605[44],0.6049999999999927,10.9375
L5_VL_Aalpha_40  (L5_VL),node4641[45],0.6199999999999923,9.3125
L5_VL_Aalpha_41  (L5_VL),node4642[46],0.5849999999999931,9.75
L5_VL_Aalpha_42  (L5_VL),node4643[49],0.6624999999999914,10.75
L5_VL_Aalpha_43  (L5_VL),node4644[50],0.7424999999999897,11.6875
L5_VL_Aalpha_44  (L5_VL),node4645[40],0.6424999999999919,8.875
L5_VL_Aalpha_45  (L5_VL),node4646[42],0.8199999999999881,9.0625
L5_VL_Aalpha_46  (L5_VL),node4647[48],0.6674999999999913,11.4375
L5_VL_Aalpha_47  (L5_VL),node4648[43],0.5949999999999929,9.625
L5_VL_Aalpha_48  (L5_VL),node4649[45],0.6199999999999923,10.4375
L5_VL_Aalpha_49  (L5_VL),node4650[46],0.6024999999999927,10.5625
L5_VL_Aalpha_5  (L5_VL),node4606[42],0.7474999999999896,10.4375
L5_VL_Aalpha_6  (L5_VL),node4607[43],0.7474999999999896,11.0
L5_VL_Aalpha_7  (L5_VL),node4608[48],0.6274999999999922,12.75
L5_VL_Aalpha_8  (L5_VL),node4609[38],0.6149999999999924,9.875
L5_VL_Aalpha_9  (L5_VL),node4610[40],0.5824999999999931,10.0
