Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
L5_VL_Abeta_0  (L5_VL),node4651[53],0.5624999999999936,21.375
L5_VL_Abeta_1  (L5_VL),node4652[59],0.5024999999999948,24.125
L5_VL_Abeta_10  (L5_VL),node4661[60],0.4974999999999949,28.0
L5_VL_Abeta_11  (L5_VL),node4662[52],0.5024999999999948,23.875
L5_VL_Abeta_12  (L5_VL),node4663[62],0.5474999999999939,29.25
L5_VL_Abeta_13  (L5_VL),node4664[52],0.5274999999999943,24.5
L5_VL_Abeta_14  (L5_VL),node4665[58],0.5774999999999932,28.25
L5_VL_Abeta_15  (L5_VL),node4666[57],0.5299999999999943,27.5
L5_VL_Abeta_16  (L5_VL),node4667[91],0.5149999999999946,49.5
L5_VL_Abeta_17  (L5_VL),node4668[65],0.5074999999999947,34.25
L5_VL_Abeta_18  (L5_VL),node4669[50],0.5249999999999944,24.375
L5_VL_Abeta_19  (L5_VL),node4670[51],0.5124999999999946,25.25
L5_VL_Abeta_2  (L5_VL),node4653[59],0.5074999999999947,24.25
L5_VL_Abeta_20  (L5_VL),node4671[62],0.5374999999999941,17.375
L5_VL_Abeta_21  (L5_VL),node4672[64],0.5199999999999945,18.375
L5_VL_Abeta_22  (L5_VL),node4673[76],0.5074999999999947,22.25
L5_VL_Abeta_23  (L5_VL),node4674[55],0.5599999999999936,15.625
L5_VL_Abeta_24  (L5_VL),node4675[70],0.5249999999999944,21.125
L5_VL_Abeta_25  (L5_VL),node4676[56],0.48499999999999516,16.0
L5_VL_Abeta_26  (L5_VL),node4677[60],0.539999999999994,18.25
L5_VL_Abeta_27  (L5_VL),node4678[67],0.5024999999999948,21.125
L5_VL_Abeta_28  (L5_VL),node4679[63],0.542499999999994,19.625
L5_VL_Abeta_29  (L5_VL),node4680[66],0.539999999999994,20.75
L5_VL_Abeta_3  (L5_VL),node4654[64],0.4824999999999952,27.75
L5_VL_Abeta_30  (L5_VL),node4681[64],0.5574999999999937,20.25
L5_VL_Abeta_31  (L5_VL),node4682[71],0.5224999999999944,23.375
L5_VL_Abeta_32  (L5_VL),node4683[69],0.49999999999999484,22.625
L5_VL_Abeta_33  (L5_VL),node4684[67],0.5499999999999938,22.25
L5_VL_Abeta_34  (L5_VL),node4685[63],0.589999999999993,21.125
L5_VL_Abeta_35  (L5_VL),node4686[64],0.5649999999999935,21.75
L5_VL_Abeta_36  (L5_VL),node4687[58],0.5474999999999939,20.0
L5_VL_Abeta_37  (L5_VL),node4688[58],0.5174999999999945,19.5
L5_VL_Abeta_38  (L5_VL),node4689[64],0.5174999999999945,22.25
L5_VL_Abeta_39  (L5_VL),node4690[75],0.48499999999999516,27.25
L5_VL_Abeta_4  (L5_VL),node4655[66],0.492499999999995,29.0
L5_VL_Abeta_40  (L5_VL),node4691[53],0.5124999999999946,18.625
L5_VL_Abeta_41  (L5_VL),node4692[59],0.5349999999999941,21.5
L5_VL_Abeta_42  (L5_VL),node4693[69],0.49499999999999494,25.25
L5_VL_Abeta_43  (L5_VL),node4694[81],0.4874999999999951,33.0
L5_VL_Abeta_44  (L5_VL),node4695[55],0.5224999999999944,20.625
L5_VL_Abeta_45  (L5_VL),node4696[64],0.5449999999999939,24.375
L5_VL_Abeta_46  (L5_VL),node4697[62],0.5249999999999944,24.75
L5_VL_Abeta_47  (L5_VL),node4698[58],0.5249999999999944,23.125
L5_VL_Abeta_48  (L5_VL),node4699[61],0.5049999999999948,24.125
L5_VL_Abeta_49  (L5_VL),node4700[68],0.49499999999999494,27.75
L5_VL_Abeta_5  (L5_VL),node4656[55],0.6124999999999925,23.25
L5_VL_Abeta_6  (L5_VL),node4657[63],0.48999999999999505,29.0
L5_VL_Abeta_7  (L5_VL),node4658[60],0.492499999999995,27.0
L5_VL_Abeta_8  (L5_VL),node4659[62],0.5299999999999943,27.75
L5_VL_Abeta_9  (L5_VL),node4660[60],0.5024999999999948,27.0
