Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
S1_DL_Aalpha_0  (S1_DL),node5001[39],0.6124999999999925,10.875
S1_DL_Aalpha_1  (S1_DL),node5002[38],0.6274999999999922,11.1875
S1_DL_Aalpha_10  (S1_DL),node5011[39],0.8074999999999883,15.125
S1_DL_Aalpha_11  (S1_DL),node5012[33],0.6274999999999922,12.5
S1_DL_Aalpha_12  (S1_DL),node5013[40],0.587499999999993,16.5
S1_DL_Aalpha_13  (S1_DL),node5014[33],0.6599999999999915,13.375
S1_DL_Aalpha_14  (S1_DL),node5015[38],0.6124999999999925,17.125
S1_DL_Aalpha_15  (S1_DL),node5016[40],0.5924999999999929,11.25
S1_DL_Aalpha_16  (S1_DL),node5017[41],0.6574999999999915,12.25
S1_DL_Aalpha_17  (S1_DL),node5018[43],0.5774999999999932,13.375
S1_DL_Aalpha_18  (S1_DL),node5019[45],0.6049999999999927,14.25
S1_DL_Aalpha_19  (S1_DL),node5020[39],0.6249999999999922,12.625
S1_DL_Aalpha_2  (S1_DL),node5003[36],0.6024999999999927,10.4375
S1_DL_Aalpha_20  (S1_DL),node5021[37],0.6624999999999914,12.125
S1_DL_Aalpha_21  (S1_DL),node5022[40],0.5824999999999931,14.125
S1_DL_Aalpha_22  (S1_DL),node5023[41],0.5999999999999928,14.75
S1_DL_Aalpha_23  (S1_DL),node5024[42],0.5974999999999928,15.25
S1_DL_Aalpha_24  (S1_DL),node5025[37],0.5849999999999931,13.75
S1_DL_Aalpha_25  (S1_DL),node5026[35],0.5749999999999933,13.0
S1_DL_Aalpha_26  (S1_DL),node5027[39],0.7124999999999904,15.5
S1_DL_Aalpha_27  (S1_DL),node5028[34],0.5824999999999931,13.75
S1_DL_Aalpha_28  (S1_DL),node5029[41],0.6324999999999921,17.75
S1_DL_Aalpha_29  (S1_DL),node5030[35],0.6149999999999924,15.25
S1_DL_Aalpha_3  (S1_DL),node5004[44],0.6149999999999924,13.875
S1_DL_Aalpha_30  (S1_DL),node5031[41],0.6099999999999925,11.3125
S1_DL_Aalpha_31  (S1_DL),node5032[47],0.6249999999999922,14.0
S1_DL_Aalpha_32  (S1_DL),node5033[60],0.6149999999999924,19.75
S1_DL_Aalpha_33  (S1_DL),node5034[36],0.6099999999999925,11.0625
S1_DL_Aalpha_34  (S1_DL),node5035[45],0.5624999999999936,14.875
S1_DL_Aalpha_35  (S1_DL),node5036[54],0.6074999999999926,18.75
S1_DL_Aalpha_36  (S1_DL),node5037[40],0.5649999999999935,13.5
S1_DL_Aalpha_37  (S1_DL),node5038[37],0.6774999999999911,12.375
S1_DL_Aalpha_38  (S1_DL),node5039[43],0.5974999999999928,16.125
S1_DL_Aalpha_39  (S1_DL),node5040[36],0.6649999999999914,13.0
S1_DL_Aalpha_4  (S1_DL),node5005[41],0.5624999999999936,13.0
S1_DL_Aalpha_40  (S1_DL),node5041[37],0.5549999999999937,13.875
S1_DL_Aalpha_41  (S1_DL),node5042[37],0.5924999999999929,14.75
S1_DL_Aalpha_42  (S1_DL),node5043[39],0.6024999999999927,16.5
S1_DL_Aalpha_43  (S1_DL),node5044[41],0.6224999999999923,17.625
S1_DL_Aalpha_44  (S1_DL),node5045[32],0.6024999999999927,13.75
S1_DL_Aalpha_45  (S1_DL),node5046[39],0.6049999999999927,10.6875
S1_DL_Aalpha_46  (S1_DL),node5047[45],0.5549999999999937,13.5
S1_DL_Aalpha_47  (S1_DL),node5048[39],0.6899999999999908,11.5
S1_DL_Aalpha_48  (S1_DL),node5049[41],0.5599999999999936,12.625
S1_DL_Aalpha_49  (S1_DL),node5050[41],0.5699999999999934,13.125
S1_DL_Aalpha_5  (S1_DL),node5006[39],0.6574999999999915,12.375
S1_DL_Aalpha_6  (S1_DL),node5007[39],0.5649999999999935,13.5
S1_DL_Aalpha_7  (S1_DL),node5008[44],0.6649999999999914,15.625
S1_DL_Aalpha_8  (S1_DL),node5009[35],0.6124999999999925,11.9375
S1_DL_Aalpha_9  (S1_DL),node5010[35],0.6499999999999917,12.75
