Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
S1_DL_Abeta_0  (S1_DL),node5051[50],0.5024999999999948,24.25
S1_DL_Abeta_1  (S1_DL),node5052[55],0.4874999999999951,28.0
S1_DL_Abeta_10  (S1_DL),node5061[54],0.492499999999995,36.25
S1_DL_Abeta_11  (S1_DL),node5062[46],0.5099999999999947,30.75
S1_DL_Abeta_12  (S1_DL),node5063[54],0.5249999999999944,38.75
S1_DL_Abeta_13  (S1_DL),node5064[46],0.5074999999999947,32.75
S1_DL_Abeta_14  (S1_DL),node5065[51],0.5049999999999948,38.5
S1_DL_Abeta_15  (S1_DL),node5066[57],0.5349999999999941,28.0
S1_DL_Abeta_16  (S1_DL),node5067[92],0.5374999999999941,51.5
S1_DL_Abeta_17  (S1_DL),node5068[65],0.5049999999999948,35.5
S1_DL_Abeta_18  (S1_DL),node5069[49],0.5099999999999947,25.5
S1_DL_Abeta_19  (S1_DL),node5070[50],0.5149999999999946,27.25
S1_DL_Abeta_2  (S1_DL),node5053[55],0.48999999999999505,28.75
S1_DL_Abeta_20  (S1_DL),node5071[50],0.5199999999999945,28.0
S1_DL_Abeta_21  (S1_DL),node5072[51],0.48499999999999516,29.75
S1_DL_Abeta_22  (S1_DL),node5073[60],0.5049999999999948,38.0
S1_DL_Abeta_23  (S1_DL),node5074[43],0.5524999999999938,25.75
S1_DL_Abeta_24  (S1_DL),node5075[55],0.5074999999999947,35.75
S1_DL_Abeta_25  (S1_DL),node5076[43],0.4824999999999952,27.25
S1_DL_Abeta_26  (S1_DL),node5077[46],0.49999999999999484,31.0
S1_DL_Abeta_27  (S1_DL),node5078[52],0.5499999999999938,36.75
S1_DL_Abeta_28  (S1_DL),node5079[48],0.5099999999999947,34.5
S1_DL_Abeta_29  (S1_DL),node5080[50],0.5224999999999944,37.5
S1_DL_Abeta_3  (S1_DL),node5054[59],0.48999999999999505,32.25
S1_DL_Abeta_30  (S1_DL),node5081[56],0.492499999999995,27.0
S1_DL_Abeta_31  (S1_DL),node5082[62],0.492499999999995,32.0
S1_DL_Abeta_32  (S1_DL),node5083[59],0.48499999999999516,31.5
S1_DL_Abeta_33  (S1_DL),node5084[57],0.5199999999999945,31.0
S1_DL_Abeta_34  (S1_DL),node5085[54],0.5724999999999933,30.0
S1_DL_Abeta_35  (S1_DL),node5086[55],0.5124999999999946,31.25
S1_DL_Abeta_36  (S1_DL),node5087[49],0.47999999999999526,28.5
S1_DL_Abeta_37  (S1_DL),node5088[48],0.5024999999999948,28.25
S1_DL_Abeta_38  (S1_DL),node5089[53],0.6274999999999922,33.0
S1_DL_Abeta_39  (S1_DL),node5090[62],0.6274999999999922,42.0
S1_DL_Abeta_4  (S1_DL),node5055[61],0.5249999999999944,35.0
S1_DL_Abeta_40  (S1_DL),node5091[43],0.48999999999999505,27.5
S1_DL_Abeta_41  (S1_DL),node5092[48],0.5199999999999945,32.0
S1_DL_Abeta_42  (S1_DL),node5093[55],0.5249999999999944,39.75
S1_DL_Abeta_43  (S1_DL),node5094[66],0.5349999999999941,51.0
S1_DL_Abeta_44  (S1_DL),node5095[44],0.4874999999999951,32.5
S1_DL_Abeta_45  (S1_DL),node5096[59],0.5374999999999941,29.0
S1_DL_Abeta_46  (S1_DL),node5097[58],0.5574999999999937,29.5
S1_DL_Abeta_47  (S1_DL),node5098[54],0.5524999999999938,27.75
S1_DL_Abeta_48  (S1_DL),node5099[55],0.5674999999999935,29.5
S1_DL_Abeta_49  (S1_DL),node5100[61],0.5024999999999948,34.5
S1_DL_Abeta_5  (S1_DL),node5056[50],0.48499999999999516,28.0
S1_DL_Abeta_6  (S1_DL),node5057[58],0.542499999999994,35.0
S1_DL_Abeta_7  (S1_DL),node5058[55],0.5949999999999929,33.25
S1_DL_Abeta_8  (S1_DL),node5059[56],0.492499999999995,35.25
S1_DL_Abeta_9  (S1_DL),node5060[53],0.5199999999999945,33.75
