Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
S1_DL_Adelta_0  (S1_DL),node5101[188],0.44249999999999606,190.0
S1_DL_Adelta_1  (S1_DL),node5102[232],0.444999999999996,246.0
S1_DL_Adelta_10  (S1_DL),node5111[236],0.49499999999999494,362.0
S1_DL_Adelta_11  (S1_DL),node5112[225],0.44249999999999606,360.0
S1_DL_Adelta_12  (S1_DL),node5113[166],0.4399999999999961,254.0
S1_DL_Adelta_13  (S1_DL),internode5114[141],0.38749999999999724,216.0
S1_DL_Adelta_14  (S1_DL),node5115[152],0.48499999999999516,258.0
S1_DL_Adelta_15  (S1_DL),node5116[203],0.48499999999999516,208.0
S1_DL_Adelta_16  (S1_DL),node5117[158],0.4549999999999958,163.0
S1_DL_Adelta_17  (S1_DL),node5118[189],0.46249999999999564,208.0
S1_DL_Adelta_18  (S1_DL),node5119[200],0.46749999999999553,228.0
S1_DL_Adelta_19  (S1_DL),node5120[191],0.43749999999999617,230.0
S1_DL_Adelta_2  (S1_DL),node5103[187],0.4724999999999954,198.0
S1_DL_Adelta_20  (S1_DL),node5121[195],0.45249999999999585,246.0
S1_DL_Adelta_21  (S1_DL),node5122[183],0.4549999999999958,232.0
S1_DL_Adelta_22  (S1_DL),node5123[204],0.4599999999999957,264.0
S1_DL_Adelta_23  (S1_DL),node5124[177],0.5224999999999944,240.0
S1_DL_Adelta_24  (S1_DL),node5125[200],0.492499999999995,286.0
S1_DL_Adelta_25  (S1_DL),node5126[220],0.444999999999996,338.0
S1_DL_Adelta_26  (S1_DL),internode5127[155],0.397499999999997,226.0
S1_DL_Adelta_27  (S1_DL),node5128[147],0.44749999999999596,232.0
S1_DL_Adelta_28  (S1_DL),internode5129[146],0.397499999999997,222.0
S1_DL_Adelta_29  (S1_DL),internode5130[158],0.3949999999999971,252.0
S1_DL_Adelta_3  (S1_DL),node5104[224],0.4599999999999957,262.0
S1_DL_Adelta_30  (S1_DL),node5131[185],0.4499999999999959,186.0
S1_DL_Adelta_31  (S1_DL),node5132[161],0.4699999999999955,172.0
S1_DL_Adelta_32  (S1_DL),node5133[204],0.43749999999999617,220.0
S1_DL_Adelta_33  (S1_DL),node5134[169],0.46249999999999564,191.0
S1_DL_Adelta_34  (S1_DL),node5135[159],0.5624999999999936,187.0
S1_DL_Adelta_35  (S1_DL),node5136[157],0.4774999999999953,190.0
S1_DL_Adelta_36  (S1_DL),internode5137[222],0.4024999999999969,280.0
S1_DL_Adelta_37  (S1_DL),node5138[207],0.46249999999999564,280.0
S1_DL_Adelta_38  (S1_DL),node5139[192],0.49999999999999484,264.0
S1_DL_Adelta_39  (S1_DL),node5140[168],0.4399999999999961,232.0
S1_DL_Adelta_4  (S1_DL),node5105[187],0.5274999999999943,222.0
S1_DL_Adelta_40  (S1_DL),internode5141[176],0.397499999999997,258.0
S1_DL_Adelta_41  (S1_DL),node5142[206],0.5374999999999941,308.0
S1_DL_Adelta_42  (S1_DL),node5143[188],0.45749999999999574,288.0
S1_DL_Adelta_43  (S1_DL),node5144[163],0.4499999999999959,252.0
S1_DL_Adelta_44  (S1_DL),node5145[145],0.5099999999999947,242.0
S1_DL_Adelta_45  (S1_DL),node5146[162],0.4549999999999958,163.0
S1_DL_Adelta_46  (S1_DL),internode5147[241],0.4024999999999969,250.0
S1_DL_Adelta_47  (S1_DL),node5148[215],0.4699999999999955,242.0
S1_DL_Adelta_48  (S1_DL),internode5149[189],0.38749999999999724,214.0
S1_DL_Adelta_49  (S1_DL),node5150[237],0.45749999999999574,292.0
S1_DL_Adelta_5  (S1_DL),node5106[234],0.4649999999999956,302.0
S1_DL_Adelta_6  (S1_DL),node5107[174],0.45249999999999585,222.0
S1_DL_Adelta_7  (S1_DL),node5108[145],0.4499999999999959,187.0
S1_DL_Adelta_8  (S1_DL),node5109[207],0.45749999999999574,284.0
S1_DL_Adelta_9  (S1_DL),node5110[184],0.45249999999999585,254.0
