Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
S1_DR_Aalpha_0  (S1_DR),node4801[39],0.6324999999999921,11.125
S1_DR_Aalpha_1  (S1_DR),node4802[38],0.6399999999999919,11.375
S1_DR_Aalpha_10  (S1_DR),node4811[39],0.6099999999999925,15.5
S1_DR_Aalpha_11  (S1_DR),node4812[33],0.5499999999999938,12.625
S1_DR_Aalpha_12  (S1_DR),node4813[39],0.5724999999999933,16.625
S1_DR_Aalpha_13  (S1_DR),node4814[33],0.6324999999999921,13.5
S1_DR_Aalpha_14  (S1_DR),node4815[38],0.5749999999999933,17.125
S1_DR_Aalpha_15  (S1_DR),node4816[40],0.5849999999999931,11.6875
S1_DR_Aalpha_16  (S1_DR),node4817[41],0.5499999999999938,12.75
S1_DR_Aalpha_17  (S1_DR),node4818[43],0.6074999999999926,13.875
S1_DR_Aalpha_18  (S1_DR),node4819[45],0.5949999999999929,15.0
S1_DR_Aalpha_19  (S1_DR),node4820[39],0.6949999999999907,12.75
S1_DR_Aalpha_2  (S1_DR),node4803[36],0.6074999999999926,10.8125
S1_DR_Aalpha_20  (S1_DR),node4821[37],0.6274999999999922,12.375
S1_DR_Aalpha_21  (S1_DR),node4822[40],0.5574999999999937,14.625
S1_DR_Aalpha_22  (S1_DR),node4823[41],0.6124999999999925,15.125
S1_DR_Aalpha_23  (S1_DR),node4824[42],0.5774999999999932,16.0
S1_DR_Aalpha_24  (S1_DR),node4825[37],0.5574999999999937,13.875
S1_DR_Aalpha_25  (S1_DR),node4826[34],0.6749999999999912,13.0
S1_DR_Aalpha_26  (S1_DR),node4827[39],0.684999999999991,16.125
S1_DR_Aalpha_27  (S1_DR),node4828[34],0.6499999999999917,13.875
S1_DR_Aalpha_28  (S1_DR),node4829[41],0.5799999999999932,18.125
S1_DR_Aalpha_29  (S1_DR),node4830[35],0.5799999999999932,15.125
S1_DR_Aalpha_3  (S1_DR),node4804[44],0.6099999999999925,14.5
S1_DR_Aalpha_30  (S1_DR),node4831[41],0.6399999999999919,11.875
S1_DR_Aalpha_31  (S1_DR),node4832[47],0.6949999999999907,14.75
S1_DR_Aalpha_32  (S1_DR),node4833[60],0.7199999999999902,20.875
S1_DR_Aalpha_33  (S1_DR),node4834[36],0.6649999999999914,11.3125
S1_DR_Aalpha_34  (S1_DR),node4835[45],0.6699999999999913,15.5
S1_DR_Aalpha_35  (S1_DR),node4836[53],0.6649999999999914,19.5
S1_DR_Aalpha_36  (S1_DR),node4837[40],0.634999999999992,13.875
S1_DR_Aalpha_37  (S1_DR),node4838[37],0.5549999999999937,13.25
S1_DR_Aalpha_38  (S1_DR),node4839[43],0.5849999999999931,16.625
S1_DR_Aalpha_39  (S1_DR),node4840[36],0.5749999999999933,13.25
S1_DR_Aalpha_4  (S1_DR),node4805[40],0.5549999999999937,13.5
S1_DR_Aalpha_40  (S1_DR),node4841[36],0.6449999999999918,13.875
S1_DR_Aalpha_41  (S1_DR),node4842[37],0.5649999999999935,14.875
S1_DR_Aalpha_42  (S1_DR),node4843[39],0.5949999999999929,16.75
S1_DR_Aalpha_43  (S1_DR),node4844[41],0.6274999999999922,18.375
S1_DR_Aalpha_44  (S1_DR),node4845[32],0.5699999999999934,13.625
S1_DR_Aalpha_45  (S1_DR),node4846[38],0.6499999999999917,11.0625
S1_DR_Aalpha_46  (S1_DR),node4847[45],0.6224999999999923,14.125
S1_DR_Aalpha_47  (S1_DR),node4848[39],0.7424999999999897,11.9375
S1_DR_Aalpha_48  (S1_DR),node4849[41],0.5599999999999936,13.125
S1_DR_Aalpha_49  (S1_DR),node4850[41],0.5574999999999937,13.75
S1_DR_Aalpha_5  (S1_DR),node4806[38],0.684999999999991,12.875
S1_DR_Aalpha_6  (S1_DR),node4807[39],0.5599999999999936,13.875
S1_DR_Aalpha_7  (S1_DR),node4808[44],0.6024999999999927,16.75
S1_DR_Aalpha_8  (S1_DR),node4809[34],0.6774999999999911,12.25
S1_DR_Aalpha_9  (S1_DR),node4810[35],0.5599999999999936,13.0
