Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
S1_DR_Abeta_0  (S1_DR),node4851[50],0.5199999999999945,25.0
S1_DR_Abeta_1  (S1_DR),node4852[55],0.48499999999999516,29.5
S1_DR_Abeta_10  (S1_DR),node4861[53],0.5349999999999941,36.75
S1_DR_Abeta_11  (S1_DR),node4862[46],0.5624999999999936,31.5
S1_DR_Abeta_12  (S1_DR),node4863[54],0.5124999999999946,41.5
S1_DR_Abeta_13  (S1_DR),node4864[45],0.5849999999999931,32.75
S1_DR_Abeta_14  (S1_DR),node4865[50],0.6074999999999926,38.75
S1_DR_Abeta_15  (S1_DR),node4866[57],0.49999999999999484,30.0
S1_DR_Abeta_16  (S1_DR),node4867[92],0.49999999999999484,56.5
S1_DR_Abeta_17  (S1_DR),node4868[65],0.492499999999995,37.5
S1_DR_Abeta_18  (S1_DR),node4869[49],0.5074999999999947,27.0
S1_DR_Abeta_19  (S1_DR),node4870[50],0.4974999999999949,29.25
S1_DR_Abeta_2  (S1_DR),node4853[55],0.542499999999994,30.0
S1_DR_Abeta_20  (S1_DR),node4871[50],0.5349999999999941,30.0
S1_DR_Abeta_21  (S1_DR),node4872[51],0.5824999999999931,32.0
S1_DR_Abeta_22  (S1_DR),node4873[60],0.5599999999999936,41.25
S1_DR_Abeta_23  (S1_DR),node4874[43],0.47999999999999526,26.75
S1_DR_Abeta_24  (S1_DR),node4875[55],0.5249999999999944,38.5
S1_DR_Abeta_25  (S1_DR),node4876[43],0.5099999999999947,28.75
S1_DR_Abeta_26  (S1_DR),node4877[46],0.5174999999999945,31.75
S1_DR_Abeta_27  (S1_DR),node4878[52],0.5599999999999936,39.5
S1_DR_Abeta_28  (S1_DR),node4879[48],0.5374999999999941,36.75
S1_DR_Abeta_29  (S1_DR),node4880[50],0.5624999999999936,40.25
S1_DR_Abeta_3  (S1_DR),node4854[60],0.5024999999999948,35.5
S1_DR_Abeta_30  (S1_DR),node4881[56],0.48499999999999516,29.0
S1_DR_Abeta_31  (S1_DR),node4882[62],0.5674999999999935,34.0
S1_DR_Abeta_32  (S1_DR),node4883[59],0.492499999999995,33.0
S1_DR_Abeta_33  (S1_DR),node4884[57],0.4974999999999949,33.5
S1_DR_Abeta_34  (S1_DR),node4885[54],0.5274999999999943,31.75
S1_DR_Abeta_35  (S1_DR),node4886[54],0.6199999999999923,32.5
S1_DR_Abeta_36  (S1_DR),node4887[49],0.5024999999999948,29.75
S1_DR_Abeta_37  (S1_DR),node4888[48],0.5549999999999937,30.5
S1_DR_Abeta_38  (S1_DR),node4889[53],0.5024999999999948,35.75
S1_DR_Abeta_39  (S1_DR),node4890[62],0.5624999999999936,46.25
S1_DR_Abeta_4  (S1_DR),node4855[61],0.5049999999999948,37.5
S1_DR_Abeta_40  (S1_DR),node4891[43],0.4974999999999949,28.25
S1_DR_Abeta_41  (S1_DR),node4892[48],0.492499999999995,34.5
S1_DR_Abeta_42  (S1_DR),node4893[55],0.5224999999999944,42.5
S1_DR_Abeta_43  (S1_DR),node4894[66],0.5099999999999947,57.0
S1_DR_Abeta_44  (S1_DR),node4895[44],0.5799999999999932,33.75
S1_DR_Abeta_45  (S1_DR),node4896[59],0.5724999999999933,30.75
S1_DR_Abeta_46  (S1_DR),node4897[58],0.5824999999999931,31.25
S1_DR_Abeta_47  (S1_DR),node4898[53],0.542499999999994,29.0
S1_DR_Abeta_48  (S1_DR),node4899[55],0.492499999999995,31.75
S1_DR_Abeta_49  (S1_DR),node4900[62],0.5049999999999948,38.5
S1_DR_Abeta_5  (S1_DR),node4856[50],0.5049999999999948,30.25
S1_DR_Abeta_6  (S1_DR),node4857[58],0.542499999999994,37.0
S1_DR_Abeta_7  (S1_DR),node4858[55],0.5074999999999947,36.5
S1_DR_Abeta_8  (S1_DR),node4859[56],0.5049999999999948,38.5
S1_DR_Abeta_9  (S1_DR),node4860[53],0.5549999999999937,36.5
