Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
S1_DR_C_0  (S1_DR),section4951[1272],0.4024999999999969,4320.0
S1_DR_C_1  (S1_DR),section4952[1262],0.4024999999999969,5120.0
S1_DR_C_10  (S1_DR),section4961[1154],0.4124999999999967,7040.0
S1_DR_C_11  (S1_DR),section4962[1140],0.4024999999999969,7616.0
S1_DR_C_12  (S1_DR),section4963[1124],0.4024999999999969,6144.0
S1_DR_C_13  (S1_DR),section4964[1114],0.4024999999999969,5600.0
S1_DR_C_14  (S1_DR),section4965[1100],0.4024999999999969,5856.0
S1_DR_C_15  (S1_DR),section4966[1270],0.4024999999999969,4288.0
S1_DR_C_16  (S1_DR),section4967[1264],0.4024999999999969,4192.0
S1_DR_C_17  (S1_DR),section4968[1248],0.4024999999999969,4448.0
S1_DR_C_18  (S1_DR),section4969[1236],0.4024999999999969,4960.0
S1_DR_C_19  (S1_DR),section4970[1220],0.4024999999999969,4512.0
S1_DR_C_2  (S1_DR),section4953[1252],0.4024999999999969,4832.0
S1_DR_C_20  (S1_DR),section4971[1212],0.4024999999999969,5184.0
S1_DR_C_21  (S1_DR),section4972[1198],0.4024999999999969,4960.0
S1_DR_C_22  (S1_DR),section4973[1184],0.4024999999999969,5408.0
S1_DR_C_23  (S1_DR),section4974[1174],0.4024999999999969,5536.0
S1_DR_C_24  (S1_DR),section4975[1160],0.4024999999999969,5952.0
S1_DR_C_25  (S1_DR),section4976[1148],0.40999999999999676,6368.0
S1_DR_C_26  (S1_DR),section4977[1136],0.4024999999999969,5472.0
S1_DR_C_27  (S1_DR),section4978[1130],0.4024999999999969,6464.0
S1_DR_C_28  (S1_DR),section4979[1118],0.4024999999999969,6592.0
S1_DR_C_29  (S1_DR),section4980[1106],0.4024999999999969,7296.0
S1_DR_C_3  (S1_DR),section4954[1238],0.40999999999999676,5440.0
S1_DR_C_30  (S1_DR),section4981[1272],0.4024999999999969,4096.0
S1_DR_C_31  (S1_DR),section4982[1258],0.4024999999999969,3904.0
S1_DR_C_32  (S1_DR),section4983[1246],0.4024999999999969,4640.0
S1_DR_C_33  (S1_DR),section4984[1234],0.4024999999999969,4096.0
S1_DR_C_34  (S1_DR),section4985[1228],0.4024999999999969,4736.0
S1_DR_C_35  (S1_DR),section4986[1208],0.4024999999999969,3872.0
S1_DR_C_36  (S1_DR),section4987[1204],0.4074999999999968,5984.0
S1_DR_C_37  (S1_DR),section4988[1186],0.4024999999999969,5888.0
S1_DR_C_38  (S1_DR),section4989[1172],0.4024999999999969,5088.0
S1_DR_C_39  (S1_DR),section4990[1162],0.4024999999999969,5376.0
S1_DR_C_4  (S1_DR),section4955[1224],0.4024999999999969,4896.0
S1_DR_C_40  (S1_DR),section4991[1148],0.4024999999999969,5504.0
S1_DR_C_41  (S1_DR),section4992[1138],0.4174999999999966,7232.0
S1_DR_C_42  (S1_DR),section4993[1126],0.4024999999999969,7232.0
S1_DR_C_43  (S1_DR),section4994[1116],0.4024999999999969,6720.0
S1_DR_C_44  (S1_DR),section4995[1100],0.4024999999999969,5728.0
S1_DR_C_45  (S1_DR),section4996[1272],0.4024999999999969,3872.0
S1_DR_C_46  (S1_DR),section4997[1262],0.4024999999999969,5088.0
S1_DR_C_47  (S1_DR),section4998[1250],0.4024999999999969,4928.0
S1_DR_C_48  (S1_DR),section4999[1232],0.4024999999999969,4352.0
S1_DR_C_49  (S1_DR),section5000[1226],0.42499999999999644,5920.0
S1_DR_C_5  (S1_DR),section4956[1208],0.40999999999999676,5376.0
S1_DR_C_6  (S1_DR),section4957[1198],0.4024999999999969,4736.0
S1_DR_C_7  (S1_DR),section4958[1190],0.4024999999999969,5056.0
S1_DR_C_8  (S1_DR),section4959[1174],0.4024999999999969,6080.0
S1_DR_C_9  (S1_DR),section4960[1160],0.4024999999999969,5472.0
