Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
S1_VL_Adelta_0  (S1_VL),node5501[168],0.492499999999995,240.0
S1_VL_Adelta_1  (S1_VL),node5502[209],0.44749999999999596,306.0
S1_VL_Adelta_10  (S1_VL),node5511[239],0.4699999999999955,358.0
S1_VL_Adelta_11  (S1_VL),node5512[231],0.45249999999999585,352.0
S1_VL_Adelta_12  (S1_VL),node5513[173],0.5024999999999948,228.0
S1_VL_Adelta_13  (S1_VL),node5514[146],0.4599999999999957,198.0
S1_VL_Adelta_14  (S1_VL),node5515[162],0.47499999999999537,208.0
S1_VL_Adelta_15  (S1_VL),node5516[190],0.45249999999999585,258.0
S1_VL_Adelta_16  (S1_VL),node5517[149],0.444999999999996,199.0
S1_VL_Adelta_17  (S1_VL),node5518[181],0.44249999999999606,250.0
S1_VL_Adelta_18  (S1_VL),node5519[192],0.47999999999999526,248.0
S1_VL_Adelta_19  (S1_VL),node5520[187],0.43749999999999617,242.0
S1_VL_Adelta_2  (S1_VL),node5503[170],0.5474999999999939,244.0
S1_VL_Adelta_20  (S1_VL),node5521[194],0.47999999999999526,246.0
S1_VL_Adelta_21  (S1_VL),node5522[184],0.5124999999999946,244.0
S1_VL_Adelta_22  (S1_VL),node5523[207],0.44749999999999596,264.0
S1_VL_Adelta_23  (S1_VL),internode5524[187],0.397499999999997,232.0
S1_VL_Adelta_24  (S1_VL),node5525[210],0.4399999999999961,270.0
S1_VL_Adelta_25  (S1_VL),node5526[231],0.49499999999999494,288.0
S1_VL_Adelta_26  (S1_VL),node5527[163],0.4974999999999949,190.0
S1_VL_Adelta_27  (S1_VL),node5528[159],0.4724999999999954,185.0
S1_VL_Adelta_28  (S1_VL),node5529[157],0.45249999999999585,194.0
S1_VL_Adelta_29  (S1_VL),node5530[173],0.43749999999999617,206.0
S1_VL_Adelta_3  (S1_VL),node5504[208],0.47999999999999526,298.0
S1_VL_Adelta_30  (S1_VL),node5531[179],0.43749999999999617,218.0
S1_VL_Adelta_31  (S1_VL),node5532[157],0.492499999999995,178.0
S1_VL_Adelta_32  (S1_VL),internode5533[206],0.3949999999999971,238.0
S1_VL_Adelta_33  (S1_VL),node5534[170],0.45749999999999574,198.0
S1_VL_Adelta_34  (S1_VL),node5535[162],0.4824999999999952,182.0
S1_VL_Adelta_35  (S1_VL),node5536[142],0.45249999999999585,256.0
S1_VL_Adelta_36  (S1_VL),node5537[199],0.4649999999999956,358.0
S1_VL_Adelta_37  (S1_VL),node5538[189],0.5299999999999943,344.0
S1_VL_Adelta_38  (S1_VL),node5539[178],0.47499999999999537,332.0
S1_VL_Adelta_39  (S1_VL),node5540[159],0.4649999999999956,268.0
S1_VL_Adelta_4  (S1_VL),node5505[176],0.47499999999999537,248.0
S1_VL_Adelta_40  (S1_VL),node5541[166],0.43749999999999617,284.0
S1_VL_Adelta_41  (S1_VL),node5542[199],0.4599999999999957,338.0
S1_VL_Adelta_42  (S1_VL),node5543[186],0.4499999999999959,320.0
S1_VL_Adelta_43  (S1_VL),node5544[165],0.46749999999999553,272.0
S1_VL_Adelta_44  (S1_VL),internode5545[150],0.39999999999999697,250.0
S1_VL_Adelta_45  (S1_VL),node5546[142],0.4399999999999961,232.0
S1_VL_Adelta_46  (S1_VL),node5547[214],0.47999999999999526,346.0
S1_VL_Adelta_47  (S1_VL),node5548[196],0.4824999999999952,328.0
S1_VL_Adelta_48  (S1_VL),internode5549[173],0.39999999999999697,276.0
S1_VL_Adelta_49  (S1_VL),node5550[219],0.47999999999999526,368.0
S1_VL_Adelta_5  (S1_VL),node5506[223],0.4699999999999955,338.0
S1_VL_Adelta_6  (S1_VL),node5507[167],0.4549999999999958,248.0
S1_VL_Adelta_7  (S1_VL),node5508[142],0.4599999999999957,195.0
S1_VL_Adelta_8  (S1_VL),node5509[207],0.4649999999999956,320.0
S1_VL_Adelta_9  (S1_VL),node5510[186],0.44749999999999596,266.0
