Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
S1_VR_Aalpha_0  (S1_VR),node5201[34],0.589999999999993,13.625
S1_VR_Aalpha_1  (S1_VR),node5202[34],0.5674999999999935,13.5
S1_VR_Aalpha_10  (S1_VR),node5211[37],0.587499999999993,15.875
S1_VR_Aalpha_11  (S1_VR),node5212[31],0.589999999999993,13.375
S1_VR_Aalpha_12  (S1_VR),node5213[38],0.5924999999999929,16.875
S1_VR_Aalpha_13  (S1_VR),node5214[32],0.5674999999999935,13.75
S1_VR_Aalpha_14  (S1_VR),node5215[38],0.5599999999999936,16.625
S1_VR_Aalpha_15  (S1_VR),node5216[39],0.6249999999999922,11.625
S1_VR_Aalpha_16  (S1_VR),node5217[41],0.587499999999993,12.4375
S1_VR_Aalpha_17  (S1_VR),node5218[43],0.5599999999999936,13.25
S1_VR_Aalpha_18  (S1_VR),node5219[45],0.5799999999999932,14.125
S1_VR_Aalpha_19  (S1_VR),node5220[39],0.6099999999999925,12.3125
S1_VR_Aalpha_2  (S1_VR),node5203[32],0.7224999999999902,12.625
S1_VR_Aalpha_20  (S1_VR),node5221[38],0.6099999999999925,11.5
S1_VR_Aalpha_21  (S1_VR),node5222[41],0.5574999999999937,13.375
S1_VR_Aalpha_22  (S1_VR),node5223[43],0.5749999999999933,13.75
S1_VR_Aalpha_23  (S1_VR),node5224[43],0.5774999999999932,14.125
S1_VR_Aalpha_24  (S1_VR),node5225[39],0.6249999999999922,12.25
S1_VR_Aalpha_25  (S1_VR),node5226[37],0.6599999999999915,11.5625
S1_VR_Aalpha_26  (S1_VR),node5227[41],0.5774999999999932,13.75
S1_VR_Aalpha_27  (S1_VR),node5228[36],0.6024999999999927,12.0
S1_VR_Aalpha_28  (S1_VR),node5229[44],0.5974999999999928,15.0
S1_VR_Aalpha_29  (S1_VR),node5230[38],0.5924999999999929,12.75
S1_VR_Aalpha_3  (S1_VR),node5204[40],0.6324999999999921,16.5
S1_VR_Aalpha_30  (S1_VR),node5231[38],0.6499999999999917,12.625
S1_VR_Aalpha_31  (S1_VR),node5232[44],0.5949999999999929,15.625
S1_VR_Aalpha_32  (S1_VR),node5233[58],0.7399999999999898,21.0
S1_VR_Aalpha_33  (S1_VR),node5234[35],0.634999999999992,11.4375
S1_VR_Aalpha_34  (S1_VR),node5235[44],0.6024999999999927,15.25
S1_VR_Aalpha_35  (S1_VR),node5236[52],0.5849999999999931,19.125
S1_VR_Aalpha_36  (S1_VR),node5237[39],0.6074999999999926,13.75
S1_VR_Aalpha_37  (S1_VR),node5238[36],0.6799999999999911,12.75
S1_VR_Aalpha_38  (S1_VR),node5239[44],0.6224999999999923,15.875
S1_VR_Aalpha_39  (S1_VR),node5240[36],0.6724999999999912,13.0
S1_VR_Aalpha_4  (S1_VR),node5205[37],0.5999999999999928,15.25
S1_VR_Aalpha_40  (S1_VR),node5241[37],0.5574999999999937,13.5
S1_VR_Aalpha_41  (S1_VR),node5242[38],0.5924999999999929,13.75
S1_VR_Aalpha_42  (S1_VR),node5243[41],0.5824999999999931,15.0
S1_VR_Aalpha_43  (S1_VR),node5244[42],0.5949999999999929,16.375
S1_VR_Aalpha_44  (S1_VR),node5245[33],0.637499999999992,12.5
S1_VR_Aalpha_45  (S1_VR),node5246[35],0.5674999999999935,12.75
S1_VR_Aalpha_46  (S1_VR),node5247[40],0.6049999999999927,16.125
S1_VR_Aalpha_47  (S1_VR),node5248[35],0.5924999999999929,13.75
S1_VR_Aalpha_48  (S1_VR),node5249[38],0.7399999999999898,14.5
S1_VR_Aalpha_49  (S1_VR),node5250[38],0.6149999999999924,15.0
S1_VR_Aalpha_5  (S1_VR),node5206[36],0.6074999999999926,14.625
S1_VR_Aalpha_6  (S1_VR),node5207[37],0.5974999999999928,14.875
S1_VR_Aalpha_7  (S1_VR),node5208[41],0.5649999999999935,17.625
S1_VR_Aalpha_8  (S1_VR),node5209[32],0.5949999999999929,13.375
S1_VR_Aalpha_9  (S1_VR),node5210[33],0.589999999999993,13.75
