Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
S1_VR_Abeta_0  (S1_VR),node5251[45],0.5524999999999938,30.5
S1_VR_Abeta_1  (S1_VR),node5252[49],0.5449999999999939,33.5
S1_VR_Abeta_10  (S1_VR),node5261[51],0.5074999999999947,37.5
S1_VR_Abeta_11  (S1_VR),node5262[44],0.4874999999999951,32.0
S1_VR_Abeta_12  (S1_VR),node5263[53],0.5249999999999944,41.25
S1_VR_Abeta_13  (S1_VR),node5264[44],0.48999999999999505,32.5
S1_VR_Abeta_14  (S1_VR),node5265[50],0.5074999999999947,37.75
S1_VR_Abeta_15  (S1_VR),node5266[56],0.5224999999999944,29.75
S1_VR_Abeta_16  (S1_VR),node5267[90],0.4874999999999951,53.0
S1_VR_Abeta_17  (S1_VR),node5268[64],0.5074999999999947,34.5
S1_VR_Abeta_18  (S1_VR),node5269[49],0.5174999999999945,24.875
S1_VR_Abeta_19  (S1_VR),node5270[50],0.48499999999999516,26.5
S1_VR_Abeta_2  (S1_VR),node5253[49],0.4974999999999949,34.0
S1_VR_Abeta_20  (S1_VR),node5271[50],0.492499999999995,26.25
S1_VR_Abeta_21  (S1_VR),node5272[52],0.5199999999999945,27.5
S1_VR_Abeta_22  (S1_VR),node5273[62],0.587499999999993,34.5
S1_VR_Abeta_23  (S1_VR),node5274[44],0.539999999999994,23.75
S1_VR_Abeta_24  (S1_VR),node5275[57],0.5299999999999943,31.75
S1_VR_Abeta_25  (S1_VR),node5276[45],0.6249999999999922,24.25
S1_VR_Abeta_26  (S1_VR),node5277[50],0.49999999999999484,27.0
S1_VR_Abeta_27  (S1_VR),node5278[55],0.6124999999999925,31.0
S1_VR_Abeta_28  (S1_VR),node5279[52],0.5324999999999942,29.0
S1_VR_Abeta_29  (S1_VR),node5280[54],0.5374999999999941,30.25
S1_VR_Abeta_3  (S1_VR),node5254[54],0.5324999999999942,38.75
S1_VR_Abeta_30  (S1_VR),node5281[53],0.4874999999999951,30.5
S1_VR_Abeta_31  (S1_VR),node5282[58],0.5324999999999942,35.0
S1_VR_Abeta_32  (S1_VR),node5283[57],0.5124999999999946,34.0
S1_VR_Abeta_33  (S1_VR),node5284[55],0.4874999999999951,32.5
S1_VR_Abeta_34  (S1_VR),node5285[52],0.49499999999999494,30.25
S1_VR_Abeta_35  (S1_VR),node5286[53],0.48999999999999505,31.75
S1_VR_Abeta_36  (S1_VR),node5287[48],0.48499999999999516,28.5
S1_VR_Abeta_37  (S1_VR),node5288[48],0.48499999999999516,28.25
S1_VR_Abeta_38  (S1_VR),node5289[53],0.5249999999999944,31.75
S1_VR_Abeta_39  (S1_VR),node5290[62],0.5099999999999947,41.0
S1_VR_Abeta_4  (S1_VR),node5255[56],0.49999999999999484,42.0
S1_VR_Abeta_40  (S1_VR),node5291[44],0.492499999999995,27.0
S1_VR_Abeta_41  (S1_VR),node5292[49],0.49999999999999484,30.25
S1_VR_Abeta_42  (S1_VR),node5293[57],0.5024999999999948,37.0
S1_VR_Abeta_43  (S1_VR),node5294[68],0.5949999999999929,47.25
S1_VR_Abeta_44  (S1_VR),node5295[46],0.5124999999999946,28.75
S1_VR_Abeta_45  (S1_VR),node5296[53],0.5249999999999944,34.5
S1_VR_Abeta_46  (S1_VR),node5297[52],0.49499999999999494,35.75
S1_VR_Abeta_47  (S1_VR),node5298[49],0.5224999999999944,32.0
S1_VR_Abeta_48  (S1_VR),node5299[51],0.5924999999999929,33.75
S1_VR_Abeta_49  (S1_VR),node5300[57],0.5299999999999943,40.0
S1_VR_Abeta_5  (S1_VR),node5256[46],0.5299999999999943,32.25
S1_VR_Abeta_6  (S1_VR),node5257[54],0.5049999999999948,39.0
S1_VR_Abeta_7  (S1_VR),node5258[51],0.5049999999999948,37.25
S1_VR_Abeta_8  (S1_VR),node5259[52],0.5299999999999943,38.25
S1_VR_Abeta_9  (S1_VR),node5260[51],0.5174999999999945,38.25
