Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
S1_VR_Adelta_0  (S1_VR),node5301[166],0.5099999999999947,256.0
S1_VR_Adelta_1  (S1_VR),node5302[207],0.5474999999999939,354.0
S1_VR_Adelta_10  (S1_VR),node5311[225],0.492499999999995,428.0
S1_VR_Adelta_11  (S1_VR),internode5312[217],0.397499999999997,440.0
S1_VR_Adelta_12  (S1_VR),node5313[161],0.43749999999999617,306.0
S1_VR_Adelta_13  (S1_VR),node5314[133],0.5224999999999944,232.0
S1_VR_Adelta_14  (S1_VR),node5315[150],0.46749999999999553,282.0
S1_VR_Adelta_15  (S1_VR),internode5316[201],0.4024999999999969,244.0
S1_VR_Adelta_16  (S1_VR),node5317[155],0.5199999999999945,171.0
S1_VR_Adelta_17  (S1_VR),internode5318[190],0.3899999999999972,214.0
S1_VR_Adelta_18  (S1_VR),internode5319[204],0.3949999999999971,248.0
S1_VR_Adelta_19  (S1_VR),node5320[190],0.47999999999999526,236.0
S1_VR_Adelta_2  (S1_VR),node5303[169],0.4349999999999962,266.0
S1_VR_Adelta_20  (S1_VR),node5321[197],0.4824999999999952,258.0
S1_VR_Adelta_21  (S1_VR),node5322[188],0.46749999999999553,244.0
S1_VR_Adelta_22  (S1_VR),node5323[212],0.4649999999999956,286.0
S1_VR_Adelta_23  (S1_VR),internode5324[185],0.3949999999999971,228.0
S1_VR_Adelta_24  (S1_VR),internode5325[212],0.39999999999999697,282.0
S1_VR_Adelta_25  (S1_VR),node5326[232],0.4724999999999954,320.0
S1_VR_Adelta_26  (S1_VR),node5327[162],0.5499999999999938,200.0
S1_VR_Adelta_27  (S1_VR),node5328[156],0.4874999999999951,191.0
S1_VR_Adelta_28  (S1_VR),node5329[154],0.47999999999999526,194.0
S1_VR_Adelta_29  (S1_VR),internode5330[172],0.397499999999997,222.0
S1_VR_Adelta_3  (S1_VR),node5304[204],0.444999999999996,332.0
S1_VR_Adelta_30  (S1_VR),node5331[175],0.4774999999999953,220.0
S1_VR_Adelta_31  (S1_VR),node5332[151],0.44249999999999606,193.0
S1_VR_Adelta_32  (S1_VR),node5333[195],0.43749999999999617,266.0
S1_VR_Adelta_33  (S1_VR),node5334[163],0.4974999999999949,216.0
S1_VR_Adelta_34  (S1_VR),node5335[155],0.5124999999999946,197.0
S1_VR_Adelta_35  (S1_VR),node5336[152],0.5149999999999946,199.0
S1_VR_Adelta_36  (S1_VR),node5337[215],0.48499999999999516,310.0
S1_VR_Adelta_37  (S1_VR),node5338[205],0.4399999999999961,288.0
S1_VR_Adelta_38  (S1_VR),node5339[192],0.45749999999999574,270.0
S1_VR_Adelta_39  (S1_VR),node5340[169],0.43749999999999617,238.0
S1_VR_Adelta_4  (S1_VR),node5305[171],0.4649999999999956,282.0
S1_VR_Adelta_40  (S1_VR),node5341[175],0.4699999999999955,238.0
S1_VR_Adelta_41  (S1_VR),node5342[211],0.5024999999999948,302.0
S1_VR_Adelta_42  (S1_VR),node5343[195],0.46249999999999564,296.0
S1_VR_Adelta_43  (S1_VR),internode5344[172],0.39999999999999697,248.0
S1_VR_Adelta_44  (S1_VR),internode5345[154],0.38749999999999724,218.0
S1_VR_Adelta_45  (S1_VR),internode5346[148],0.38249999999999734,204.0
S1_VR_Adelta_46  (S1_VR),node5347[215],0.5099999999999947,342.0
S1_VR_Adelta_47  (S1_VR),node5348[196],0.4499999999999959,318.0
S1_VR_Adelta_48  (S1_VR),node5349[172],0.4599999999999957,280.0
S1_VR_Adelta_49  (S1_VR),node5350[221],0.5024999999999948,330.0
S1_VR_Adelta_5  (S1_VR),node5306[215],0.46249999999999564,364.0
S1_VR_Adelta_6  (S1_VR),node5307[162],0.45749999999999574,268.0
S1_VR_Adelta_7  (S1_VR),node5308[135],0.4649999999999956,214.0
S1_VR_Adelta_8  (S1_VR),node5309[194],0.48499999999999516,350.0
S1_VR_Adelta_9  (S1_VR),node5310[175],0.44749999999999596,312.0
