Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
S1_VR_C_0  (S1_VR),section5351[1130],0.4024999999999969,5664.0
S1_VR_C_1  (S1_VR),section5352[1130],0.40499999999999686,6336.0
S1_VR_C_10  (S1_VR),section5361[1104],0.41499999999999665,7424.0
S1_VR_C_11  (S1_VR),section5362[1094],0.4174999999999966,8448.0
S1_VR_C_12  (S1_VR),section5363[1094],0.4024999999999969,7104.0
S1_VR_C_13  (S1_VR),section5364[1096],0.4024999999999969,6144.0
S1_VR_C_14  (S1_VR),section5365[1096],0.4024999999999969,6912.0
S1_VR_C_15  (S1_VR),section5366[1238],0.4024999999999969,4704.0
S1_VR_C_16  (S1_VR),section5367[1242],0.4024999999999969,4192.0
S1_VR_C_17  (S1_VR),section5368[1236],0.4024999999999969,4224.0
S1_VR_C_18  (S1_VR),section5369[1238],0.4024999999999969,4768.0
S1_VR_C_19  (S1_VR),section5370[1226],0.4024999999999969,4000.0
S1_VR_C_2  (S1_VR),section5353[1128],0.4024999999999969,5536.0
S1_VR_C_20  (S1_VR),section5371[1224],0.4024999999999969,4320.0
S1_VR_C_21  (S1_VR),section5372[1226],0.4024999999999969,4192.0
S1_VR_C_22  (S1_VR),section5373[1230],0.4024999999999969,4992.0
S1_VR_C_23  (S1_VR),section5374[1212],0.4024999999999969,4640.0
S1_VR_C_24  (S1_VR),section5375[1212],0.40499999999999686,4960.0
S1_VR_C_25  (S1_VR),section5376[1218],0.40499999999999686,5632.0
S1_VR_C_26  (S1_VR),section5377[1218],0.4024999999999969,4416.0
S1_VR_C_27  (S1_VR),section5378[1200],0.4024999999999969,4544.0
S1_VR_C_28  (S1_VR),section5379[1206],0.4024999999999969,4576.0
S1_VR_C_29  (S1_VR),section5380[1202],0.4024999999999969,4608.0
S1_VR_C_3  (S1_VR),section5354[1128],0.4074999999999968,6272.0
S1_VR_C_30  (S1_VR),section5381[1206],0.4024999999999969,5216.0
S1_VR_C_31  (S1_VR),section5382[1188],0.4024999999999969,4672.0
S1_VR_C_32  (S1_VR),section5383[1192],0.4024999999999969,5664.0
S1_VR_C_33  (S1_VR),section5384[1190],0.4024999999999969,5088.0
S1_VR_C_34  (S1_VR),section5385[1188],0.444999999999996,4576.0
S1_VR_C_35  (S1_VR),section5386[1176],0.4024999999999969,4384.0
S1_VR_C_36  (S1_VR),section5387[1176],0.4024999999999969,5504.0
S1_VR_C_37  (S1_VR),section5388[1182],0.4024999999999969,5728.0
S1_VR_C_38  (S1_VR),section5389[1176],0.4024999999999969,4768.0
S1_VR_C_39  (S1_VR),section5390[1172],0.4024999999999969,5440.0
S1_VR_C_4  (S1_VR),section5355[1124],0.4024999999999969,6112.0
S1_VR_C_40  (S1_VR),section5391[1166],0.4024999999999969,5088.0
S1_VR_C_41  (S1_VR),section5392[1168],0.4024999999999969,5952.0
S1_VR_C_42  (S1_VR),section5393[1168],0.4024999999999969,5792.0
S1_VR_C_43  (S1_VR),section5394[1156],0.4024999999999969,5312.0
S1_VR_C_44  (S1_VR),section5395[1152],0.4024999999999969,4704.0
S1_VR_C_45  (S1_VR),section5396[1152],0.4024999999999969,4512.0
S1_VR_C_46  (S1_VR),section5397[1140],0.41499999999999665,6240.0
S1_VR_C_47  (S1_VR),section5398[1142],0.4024999999999969,5920.0
S1_VR_C_48  (S1_VR),section5399[1146],0.4024999999999969,5664.0
S1_VR_C_49  (S1_VR),section5400[1144],0.4174999999999966,5888.0
S1_VR_C_5  (S1_VR),section5356[1120],0.40499999999999686,7040.0
S1_VR_C_6  (S1_VR),section5357[1122],0.4024999999999969,6016.0
S1_VR_C_7  (S1_VR),section5358[1116],0.4024999999999969,5184.0
S1_VR_C_8  (S1_VR),section5359[1106],0.4024999999999969,6720.0
S1_VR_C_9  (S1_VR),section5360[1104],0.4024999999999969,6336.0
