Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
S2_DL_C_0  (S2_DL),section5951[994],0.4024999999999969,8192.0
S2_DL_C_1  (S2_DL),section5952[998],0.4024999999999969,9536.0
S2_DL_C_10  (S2_DL),section5961[976],0.4024999999999969,9920.0
S2_DL_C_11  (S2_DL),section5962[990],0.40999999999999676,9792.0
S2_DL_C_12  (S2_DL),section5963[1010],0.4024999999999969,8704.0
S2_DL_C_13  (S2_DL),section5964[1014],0.4024999999999969,6976.0
S2_DL_C_14  (S2_DL),section5965[1028],0.4024999999999969,7424.0
S2_DL_C_15  (S2_DL),section5966[1052],0.4024999999999969,7872.0
S2_DL_C_16  (S2_DL),section5967[1052],0.4024999999999969,5792.0
S2_DL_C_17  (S2_DL),section5968[1068],0.4024999999999969,6112.0
S2_DL_C_18  (S2_DL),section5969[1086],0.4499999999999959,7488.0
S2_DL_C_19  (S2_DL),section5970[1096],0.4024999999999969,6464.0
S2_DL_C_2  (S2_DL),section5953[1004],0.4024999999999969,8000.0
S2_DL_C_20  (S2_DL),section5971[980],0.4024999999999969,8896.0
S2_DL_C_21  (S2_DL),section5972[988],0.4024999999999969,7744.0
S2_DL_C_22  (S2_DL),section5973[1002],0.4024999999999969,8640.0
S2_DL_C_23  (S2_DL),section5974[1014],0.4024999999999969,8064.0
S2_DL_C_24  (S2_DL),section5975[1034],0.4024999999999969,7872.0
S2_DL_C_25  (S2_DL),section5976[1054],0.4024999999999969,8512.0
S2_DL_C_26  (S2_DL),section5977[1064],0.4024999999999969,6784.0
S2_DL_C_27  (S2_DL),section5978[1066],0.4024999999999969,5984.0
S2_DL_C_28  (S2_DL),section5979[1088],0.4499999999999959,5888.0
S2_DL_C_29  (S2_DL),section5980[1090],0.4024999999999969,5856.0
S2_DL_C_3  (S2_DL),section5954[1028],0.4024999999999969,9088.0
S2_DL_C_30  (S2_DL),section5981[990],0.4024999999999969,8128.0
S2_DL_C_31  (S2_DL),section5982[996],0.4024999999999969,7296.0
S2_DL_C_32  (S2_DL),section5983[1006],0.4024999999999969,9280.0
S2_DL_C_33  (S2_DL),section5984[1022],0.4024999999999969,7936.0
S2_DL_C_34  (S2_DL),section5985[1032],0.4024999999999969,6912.0
S2_DL_C_35  (S2_DL),section5986[1050],0.4024999999999969,6368.0
S2_DL_C_36  (S2_DL),section5987[1054],0.4024999999999969,7552.0
S2_DL_C_37  (S2_DL),section5988[1064],0.4024999999999969,6656.0
S2_DL_C_38  (S2_DL),section5989[1086],0.4024999999999969,6304.0
S2_DL_C_39  (S2_DL),section5990[1098],0.4024999999999969,6464.0
S2_DL_C_4  (S2_DL),section5955[1038],0.4024999999999969,7808.0
S2_DL_C_40  (S2_DL),section5991[976],0.4024999999999969,8832.0
S2_DL_C_41  (S2_DL),section5992[994],0.4024999999999969,9536.0
S2_DL_C_42  (S2_DL),section5993[1004],0.4024999999999969,8832.0
S2_DL_C_43  (S2_DL),section5994[1032],0.4024999999999969,8256.0
S2_DL_C_44  (S2_DL),section5995[1032],0.4024999999999969,7232.0
S2_DL_C_45  (S2_DL),section5996[1046],0.4024999999999969,6368.0
S2_DL_C_46  (S2_DL),section5997[1064],0.4174999999999966,8320.0
S2_DL_C_47  (S2_DL),section5998[1070],0.4024999999999969,6912.0
S2_DL_C_48  (S2_DL),section5999[1082],0.4024999999999969,6368.0
S2_DL_C_49  (S2_DL),section6000[1098],0.4024999999999969,7936.0
S2_DL_C_5  (S2_DL),section5956[1042],0.4024999999999969,7744.0
S2_DL_C_6  (S2_DL),section5957[1056],0.4024999999999969,7168.0
S2_DL_C_7  (S2_DL),section5958[1072],0.4024999999999969,5472.0
S2_DL_C_8  (S2_DL),section5959[1088],0.4024999999999969,7808.0
S2_DL_C_9  (S2_DL),section5960[1094],0.4024999999999969,6592.0
