Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
S2_DR_Adelta_0  (S2_DR),internode5701[146],0.39999999999999697,424.0
S2_DR_Adelta_1  (S2_DR),node5702[181],0.49499999999999494,592.0
S2_DR_Adelta_10  (S2_DR),node5711[197],0.5499999999999938,640.0
S2_DR_Adelta_11  (S2_DR),node5712[195],0.4649999999999956,648.0
S2_DR_Adelta_12  (S2_DR),node5713[148],0.48499999999999516,432.0
S2_DR_Adelta_13  (S2_DR),node5714[123],0.43749999999999617,310.0
S2_DR_Adelta_14  (S2_DR),node5715[139],0.5224999999999944,338.0
S2_DR_Adelta_15  (S2_DR),node5716[165],0.48499999999999516,416.0
S2_DR_Adelta_16  (S2_DR),node5717[132],0.45249999999999585,276.0
S2_DR_Adelta_17  (S2_DR),node5718[160],0.4549999999999958,358.0
S2_DR_Adelta_18  (S2_DR),node5719[174],0.47499999999999537,394.0
S2_DR_Adelta_19  (S2_DR),node5720[168],0.5149999999999946,340.0
S2_DR_Adelta_2  (S2_DR),internode5703[152],0.39999999999999697,412.0
S2_DR_Adelta_20  (S2_DR),node5721[155],0.44249999999999606,448.0
S2_DR_Adelta_21  (S2_DR),node5722[149],0.48999999999999505,468.0
S2_DR_Adelta_22  (S2_DR),node5723[171],0.4549999999999958,484.0
S2_DR_Adelta_23  (S2_DR),node5724[150],0.5149999999999946,394.0
S2_DR_Adelta_24  (S2_DR),node5725[177],0.45249999999999585,468.0
S2_DR_Adelta_25  (S2_DR),node5726[199],0.49499999999999494,516.0
S2_DR_Adelta_26  (S2_DR),node5727[140],0.5499999999999938,340.0
S2_DR_Adelta_27  (S2_DR),node5728[138],0.4699999999999955,326.0
S2_DR_Adelta_28  (S2_DR),node5729[138],0.4324999999999963,282.0
S2_DR_Adelta_29  (S2_DR),node5730[155],0.44249999999999606,322.0
S2_DR_Adelta_3  (S2_DR),node5704[183],0.4399999999999961,528.0
S2_DR_Adelta_30  (S2_DR),node5731[141],0.4499999999999959,420.0
S2_DR_Adelta_31  (S2_DR),node5732[124],0.5024999999999948,340.0
S2_DR_Adelta_32  (S2_DR),node5733[162],0.5099999999999947,456.0
S2_DR_Adelta_33  (S2_DR),node5734[139],0.48999999999999505,378.0
S2_DR_Adelta_34  (S2_DR),node5735[132],0.49999999999999484,334.0
S2_DR_Adelta_35  (S2_DR),node5736[134],0.5024999999999948,330.0
S2_DR_Adelta_36  (S2_DR),node5737[192],0.45249999999999585,492.0
S2_DR_Adelta_37  (S2_DR),internode5738[188],0.39249999999999713,452.0
S2_DR_Adelta_38  (S2_DR),node5739[177],0.5099999999999947,384.0
S2_DR_Adelta_39  (S2_DR),node5740[159],0.45749999999999574,344.0
S2_DR_Adelta_4  (S2_DR),node5705[156],0.46249999999999564,400.0
S2_DR_Adelta_40  (S2_DR),node5741[145],0.45249999999999585,440.0
S2_DR_Adelta_41  (S2_DR),node5742[177],0.4549999999999958,556.0
S2_DR_Adelta_42  (S2_DR),node5743[167],0.5524999999999938,488.0
S2_DR_Adelta_43  (S2_DR),node5744[150],0.48499999999999516,374.0
S2_DR_Adelta_44  (S2_DR),node5745[134],0.4549999999999958,330.0
S2_DR_Adelta_45  (S2_DR),node5746[130],0.45749999999999574,318.0
S2_DR_Adelta_46  (S2_DR),node5747[197],0.5124999999999946,476.0
S2_DR_Adelta_47  (S2_DR),internode5748[184],0.38749999999999724,416.0
S2_DR_Adelta_48  (S2_DR),node5749[161],0.44249999999999606,340.0
S2_DR_Adelta_49  (S2_DR),node5750[210],0.4349999999999962,468.0
S2_DR_Adelta_5  (S2_DR),node5706[200],0.4499999999999959,536.0
S2_DR_Adelta_6  (S2_DR),node5707[153],0.4599999999999957,380.0
S2_DR_Adelta_7  (S2_DR),node5708[130],0.45249999999999585,284.0
S2_DR_Adelta_8  (S2_DR),node5709[191],0.44749999999999596,408.0
S2_DR_Adelta_9  (S2_DR),node5710[174],0.5024999999999948,332.0
