Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
S2_VL_Aalpha_0  (S2_VL),node6201[24],0.6199999999999923,18.25
S2_VL_Aalpha_1  (S2_VL),node6202[24],0.5774999999999932,18.125
S2_VL_Aalpha_10  (S2_VL),node6211[31],0.5749999999999933,16.875
S2_VL_Aalpha_11  (S2_VL),node6212[26],0.5499999999999938,14.0
S2_VL_Aalpha_12  (S2_VL),node6213[32],0.5724999999999933,17.875
S2_VL_Aalpha_13  (S2_VL),node6214[26],0.5649999999999935,14.75
S2_VL_Aalpha_14  (S2_VL),node6215[31],0.5949999999999929,17.375
S2_VL_Aalpha_15  (S2_VL),node6216[28],0.8874999999999866,15.875
S2_VL_Aalpha_16  (S2_VL),node6217[29],0.72749999999999,16.625
S2_VL_Aalpha_17  (S2_VL),node6218[31],0.587499999999993,18.0
S2_VL_Aalpha_18  (S2_VL),node6219[32],0.5824999999999931,18.875
S2_VL_Aalpha_19  (S2_VL),node6220[29],0.6124999999999925,15.75
S2_VL_Aalpha_2  (S2_VL),node6203[23],0.5949999999999929,16.75
S2_VL_Aalpha_20  (S2_VL),node6221[27],0.5649999999999935,16.125
S2_VL_Aalpha_21  (S2_VL),node6222[30],0.6449999999999918,17.25
S2_VL_Aalpha_22  (S2_VL),node6223[31],0.589999999999993,17.75
S2_VL_Aalpha_23  (S2_VL),node6224[31],0.6074999999999926,18.625
S2_VL_Aalpha_24  (S2_VL),node6225[28],0.6099999999999925,16.375
S2_VL_Aalpha_25  (S2_VL),node6226[26],0.6674999999999913,15.75
S2_VL_Aalpha_26  (S2_VL),node6227[30],0.5674999999999935,18.25
S2_VL_Aalpha_27  (S2_VL),node6228[26],0.6924999999999908,16.0
S2_VL_Aalpha_28  (S2_VL),node6229[32],0.6049999999999927,19.375
S2_VL_Aalpha_29  (S2_VL),node6230[28],0.5724999999999933,16.75
S2_VL_Aalpha_3  (S2_VL),node6204[28],0.6199999999999923,21.875
S2_VL_Aalpha_30  (S2_VL),node6231[27],0.5699999999999934,17.25
S2_VL_Aalpha_31  (S2_VL),node6232[31],0.5849999999999931,21.125
S2_VL_Aalpha_32  (S2_VL),node6233[41],0.5574999999999937,27.0
S2_VL_Aalpha_33  (S2_VL),node6234[25],0.7224999999999902,15.5
S2_VL_Aalpha_34  (S2_VL),node6235[32],0.587499999999993,20.25
S2_VL_Aalpha_35  (S2_VL),node6236[37],0.5749999999999933,25.25
S2_VL_Aalpha_36  (S2_VL),node6237[28],0.5924999999999929,18.25
S2_VL_Aalpha_37  (S2_VL),node6238[26],0.7824999999999889,17.25
S2_VL_Aalpha_38  (S2_VL),node6239[31],0.6099999999999925,21.0
S2_VL_Aalpha_39  (S2_VL),node6240[26],0.9074999999999862,17.375
S2_VL_Aalpha_4  (S2_VL),node6205[26],0.634999999999992,20.375
S2_VL_Aalpha_40  (S2_VL),node6241[26],0.6099999999999925,18.625
S2_VL_Aalpha_41  (S2_VL),node6242[27],0.589999999999993,18.75
S2_VL_Aalpha_42  (S2_VL),node6243[29],0.6599999999999915,20.625
S2_VL_Aalpha_43  (S2_VL),node6244[30],0.6474999999999917,21.625
S2_VL_Aalpha_44  (S2_VL),node6245[24],0.5949999999999929,16.875
S2_VL_Aalpha_45  (S2_VL),node6246[25],0.6474999999999917,17.125
S2_VL_Aalpha_46  (S2_VL),node6247[29],0.6624999999999914,21.25
S2_VL_Aalpha_47  (S2_VL),node6248[25],0.6499999999999917,18.625
S2_VL_Aalpha_48  (S2_VL),node6249[27],0.6874999999999909,19.25
S2_VL_Aalpha_49  (S2_VL),node6250[28],0.6299999999999921,19.25
S2_VL_Aalpha_5  (S2_VL),node6206[29],0.589999999999993,15.25
S2_VL_Aalpha_6  (S2_VL),node6207[30],0.5974999999999928,15.75
S2_VL_Aalpha_7  (S2_VL),node6208[34],0.6274999999999922,17.5
S2_VL_Aalpha_8  (S2_VL),node6209[27],0.6224999999999923,13.875
S2_VL_Aalpha_9  (S2_VL),node6210[28],0.6674999999999913,14.375
