Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
S2_VL_C_0  (S2_VL),section6351[806],0.4024999999999969,4448.0
S2_VL_C_1  (S2_VL),section6352[804],0.4024999999999969,4928.0
S2_VL_C_10  (S2_VL),section6361[920],0.4224999999999965,4832.0
S2_VL_C_11  (S2_VL),section6362[912],0.4024999999999969,4352.0
S2_VL_C_12  (S2_VL),section6363[922],0.4024999999999969,3456.0
S2_VL_C_13  (S2_VL),section6364[914],0.4024999999999969,3392.0
S2_VL_C_14  (S2_VL),section6365[910],0.4024999999999969,3616.0
S2_VL_C_15  (S2_VL),section6366[906],0.4024999999999969,4192.0
S2_VL_C_16  (S2_VL),section6367[900],0.4024999999999969,3296.0
S2_VL_C_17  (S2_VL),section6368[906],0.4024999999999969,3808.0
S2_VL_C_18  (S2_VL),section6369[900],0.4024999999999969,4032.0
S2_VL_C_19  (S2_VL),section6370[902],0.4024999999999969,3808.0
S2_VL_C_2  (S2_VL),section6353[808],0.4024999999999969,4384.0
S2_VL_C_20  (S2_VL),section6371[892],0.4024999999999969,3872.0
S2_VL_C_21  (S2_VL),section6372[886],0.4024999999999969,4000.0
S2_VL_C_22  (S2_VL),section6373[888],0.4024999999999969,4384.0
S2_VL_C_23  (S2_VL),section6374[884],0.4024999999999969,3840.0
S2_VL_C_24  (S2_VL),section6375[886],0.4024999999999969,4128.0
S2_VL_C_25  (S2_VL),section6376[876],0.40499999999999686,4384.0
S2_VL_C_26  (S2_VL),section6377[884],0.4024999999999969,3616.0
S2_VL_C_27  (S2_VL),section6378[870],0.4024999999999969,3680.0
S2_VL_C_28  (S2_VL),section6379[870],0.4024999999999969,3616.0
S2_VL_C_29  (S2_VL),section6380[876],0.4024999999999969,3936.0
S2_VL_C_3  (S2_VL),section6354[812],0.4024999999999969,5184.0
S2_VL_C_30  (S2_VL),section6381[858],0.4024999999999969,4064.0
S2_VL_C_31  (S2_VL),section6382[862],0.4024999999999969,3680.0
S2_VL_C_32  (S2_VL),section6383[856],0.4024999999999969,4384.0
S2_VL_C_33  (S2_VL),section6384[862],0.4024999999999969,4064.0
S2_VL_C_34  (S2_VL),section6385[870],0.4024999999999969,3552.0
S2_VL_C_35  (S2_VL),section6386[846],0.4024999999999969,3712.0
S2_VL_C_36  (S2_VL),section6387[846],0.40499999999999686,4800.0
S2_VL_C_37  (S2_VL),section6388[860],0.4024999999999969,4640.0
S2_VL_C_38  (S2_VL),section6389[846],0.4024999999999969,4192.0
S2_VL_C_39  (S2_VL),section6390[860],0.4024999999999969,3776.0
S2_VL_C_4  (S2_VL),section6355[816],0.4024999999999969,4224.0
S2_VL_C_40  (S2_VL),section6391[842],0.4024999999999969,4320.0
S2_VL_C_41  (S2_VL),section6392[838],0.4024999999999969,4736.0
S2_VL_C_42  (S2_VL),section6393[844],0.4024999999999969,4608.0
S2_VL_C_43  (S2_VL),section6394[840],0.4024999999999969,4288.0
S2_VL_C_44  (S2_VL),section6395[846],0.4024999999999969,3776.0
S2_VL_C_45  (S2_VL),section6396[826],0.4024999999999969,3776.0
S2_VL_C_46  (S2_VL),section6397[830],0.4024999999999969,4832.0
S2_VL_C_47  (S2_VL),section6398[828],0.4024999999999969,4960.0
S2_VL_C_48  (S2_VL),section6399[822],0.4024999999999969,4480.0
S2_VL_C_49  (S2_VL),section6400[832],0.4174999999999966,4992.0
S2_VL_C_5  (S2_VL),section6356[924],0.4074999999999968,4256.0
S2_VL_C_6  (S2_VL),section6357[926],0.4024999999999969,3616.0
S2_VL_C_7  (S2_VL),section6358[930],0.4024999999999969,3456.0
S2_VL_C_8  (S2_VL),section6359[926],0.4024999999999969,3840.0
S2_VL_C_9  (S2_VL),section6360[936],0.4024999999999969,3712.0
