Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
T12_DL_Aalpha_0  (T12_DL),node201[10],0.6724999999999912,5.84375
T12_DL_Aalpha_1  (T12_DL),node202[10],0.6149999999999924,5.71875
T12_DL_Aalpha_10  (T12_DL),node211[12],0.6324999999999921,6.75
T12_DL_Aalpha_11  (T12_DL),node212[10],0.7199999999999902,5.09375
T12_DL_Aalpha_12  (T12_DL),node213[12],0.6999999999999906,7.875
T12_DL_Aalpha_13  (T12_DL),node214[10],0.7899999999999887,5.125
T12_DL_Aalpha_14  (T12_DL),node215[12],0.5974999999999928,6.9375
T12_DL_Aalpha_15  (T12_DL),node216[10],0.6149999999999924,5.75
T12_DL_Aalpha_16  (T12_DL),node217[11],0.6099999999999925,6.3125
T12_DL_Aalpha_17  (T12_DL),node218[11],0.589999999999993,7.5
T12_DL_Aalpha_18  (T12_DL),node219[12],0.6524999999999916,7.875
T12_DL_Aalpha_19  (T12_DL),node220[11],0.7399999999999898,5.8125
T12_DL_Aalpha_2  (T12_DL),node203[10],0.6749999999999912,4.8125
T12_DL_Aalpha_20  (T12_DL),node221[11],0.7024999999999906,5.5625
T12_DL_Aalpha_21  (T12_DL),node222[12],0.5849999999999931,6.8125
T12_DL_Aalpha_22  (T12_DL),node223[13],0.6024999999999927,7.5625
T12_DL_Aalpha_23  (T12_DL),node224[13],0.6224999999999923,7.4375
T12_DL_Aalpha_24  (T12_DL),node225[11],0.6499999999999917,5.875
T12_DL_Aalpha_25  (T12_DL),node226[10],0.7174999999999903,5.3125
T12_DL_Aalpha_26  (T12_DL),node227[12],0.6049999999999927,7.25
T12_DL_Aalpha_27  (T12_DL),node228[11],0.6449999999999918,5.5625
T12_DL_Aalpha_28  (T12_DL),node229[12],0.6549999999999916,8.3125
T12_DL_Aalpha_29  (T12_DL),node230[11],0.7024999999999906,6.09375
T12_DL_Aalpha_3  (T12_DL),node204[11],0.6124999999999925,7.5625
T12_DL_Aalpha_30  (T12_DL),node231[11],0.777499999999989,6.0
T12_DL_Aalpha_31  (T12_DL),node232[12],0.6924999999999908,8.375
T12_DL_Aalpha_32  (T12_DL),node233[16],0.7649999999999892,13.375
T12_DL_Aalpha_33  (T12_DL),node234[10],0.6224999999999923,5.15625
T12_DL_Aalpha_34  (T12_DL),node235[12],0.6924999999999908,8.1875
T12_DL_Aalpha_35  (T12_DL),node236[17],0.6424999999999919,9.9375
T12_DL_Aalpha_36  (T12_DL),node237[12],0.6499999999999917,6.15625
T12_DL_Aalpha_37  (T12_DL),node238[11],0.6449999999999918,5.71875
T12_DL_Aalpha_38  (T12_DL),node239[13],0.6449999999999918,8.125
T12_DL_Aalpha_39  (T12_DL),node240[11],0.7024999999999906,5.84375
T12_DL_Aalpha_4  (T12_DL),node205[11],0.6199999999999923,6.1875
T12_DL_Aalpha_40  (T12_DL),node241[11],0.6974999999999907,5.9375
T12_DL_Aalpha_41  (T12_DL),node242[11],0.6549999999999916,6.75
T12_DL_Aalpha_42  (T12_DL),node243[12],0.6149999999999924,7.375
T12_DL_Aalpha_43  (T12_DL),node244[12],0.6324999999999921,8.1875
T12_DL_Aalpha_44  (T12_DL),node245[10],0.6524999999999916,5.21875
T12_DL_Aalpha_45  (T12_DL),node246[10],0.6324999999999921,5.46875
T12_DL_Aalpha_46  (T12_DL),node247[12],0.5999999999999928,7.5
T12_DL_Aalpha_47  (T12_DL),node248[10],0.6099999999999925,5.6875
T12_DL_Aalpha_48  (T12_DL),node249[11],0.5949999999999929,6.4375
T12_DL_Aalpha_49  (T12_DL),node250[11],0.6124999999999925,6.4375
T12_DL_Aalpha_5  (T12_DL),node206[12],0.6274999999999922,5.65625
T12_DL_Aalpha_6  (T12_DL),node207[12],0.8999999999999864,6.15625
T12_DL_Aalpha_7  (T12_DL),node208[13],0.6574999999999915,7.8125
T12_DL_Aalpha_8  (T12_DL),node209[10],0.682499999999991,5.53125
T12_DL_Aalpha_9  (T12_DL),node210[11],0.6074999999999926,5.6875
