Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
T12_DL_Abeta_0  (T12_DL),node251[13],0.5699999999999934,16.375
T12_DL_Abeta_1  (T12_DL),node252[14],0.539999999999994,19.625
T12_DL_Abeta_10  (T12_DL),node261[17],0.5674999999999935,21.5
T12_DL_Abeta_11  (T12_DL),node262[14],0.6774999999999911,17.0
T12_DL_Abeta_12  (T12_DL),node263[16],0.6074999999999926,25.5
T12_DL_Abeta_13  (T12_DL),node264[13],0.5449999999999939,16.5
T12_DL_Abeta_14  (T12_DL),node265[16],0.5324999999999942,19.625
T12_DL_Abeta_15  (T12_DL),node266[14],0.5449999999999939,19.75
T12_DL_Abeta_16  (T12_DL),node267[23],0.5149999999999946,52.0
T12_DL_Abeta_17  (T12_DL),node268[16],0.5724999999999933,27.75
T12_DL_Abeta_18  (T12_DL),node269[13],0.5174999999999945,15.5
T12_DL_Abeta_19  (T12_DL),node270[13],0.5474999999999939,15.25
T12_DL_Abeta_2  (T12_DL),node253[14],0.587499999999993,18.125
T12_DL_Abeta_20  (T12_DL),node271[16],0.5074999999999947,14.25
T12_DL_Abeta_21  (T12_DL),node272[16],0.5174999999999945,16.5
T12_DL_Abeta_22  (T12_DL),node273[20],0.5699999999999934,24.875
T12_DL_Abeta_23  (T12_DL),node274[14],0.5349999999999941,12.875
T12_DL_Abeta_24  (T12_DL),node275[18],0.5549999999999937,21.875
T12_DL_Abeta_25  (T12_DL),node276[13],0.542499999999994,13.5
T12_DL_Abeta_26  (T12_DL),node277[14],0.5274999999999943,17.25
T12_DL_Abeta_27  (T12_DL),node278[15],0.6974999999999907,21.875
T12_DL_Abeta_28  (T12_DL),node279[14],0.5549999999999937,19.125
T12_DL_Abeta_29  (T12_DL),node280[14],0.542499999999994,20.75
T12_DL_Abeta_3  (T12_DL),node254[14],0.539999999999994,22.0
T12_DL_Abeta_30  (T12_DL),node281[15],0.5499999999999938,18.625
T12_DL_Abeta_31  (T12_DL),node282[16],0.5924999999999929,24.125
T12_DL_Abeta_32  (T12_DL),node283[15],0.5599999999999936,21.625
T12_DL_Abeta_33  (T12_DL),node284[14],0.5274999999999943,20.25
T12_DL_Abeta_34  (T12_DL),node285[13],0.5199999999999945,19.0
T12_DL_Abeta_35  (T12_DL),node286[18],0.5074999999999947,16.625
T12_DL_Abeta_36  (T12_DL),node287[16],0.5049999999999948,14.375
T12_DL_Abeta_37  (T12_DL),node288[16],0.5174999999999945,15.0
T12_DL_Abeta_38  (T12_DL),node289[17],0.5374999999999941,19.625
T12_DL_Abeta_39  (T12_DL),node290[19],0.5499999999999938,30.5
T12_DL_Abeta_4  (T12_DL),node255[17],0.5449999999999939,22.625
T12_DL_Abeta_40  (T12_DL),node291[13],0.5674999999999935,14.0
T12_DL_Abeta_41  (T12_DL),node292[15],0.5574999999999937,19.625
T12_DL_Abeta_42  (T12_DL),node293[17],0.5774999999999932,24.5
T12_DL_Abeta_43  (T12_DL),node294[18],0.587499999999993,36.75
T12_DL_Abeta_44  (T12_DL),node295[12],0.539999999999994,16.125
T12_DL_Abeta_45  (T12_DL),node296[14],0.5224999999999944,20.75
T12_DL_Abeta_46  (T12_DL),node297[15],0.637499999999992,20.25
T12_DL_Abeta_47  (T12_DL),node298[14],0.5299999999999943,17.625
T12_DL_Abeta_48  (T12_DL),node299[15],0.5249999999999944,19.25
T12_DL_Abeta_49  (T12_DL),node300[16],0.5574999999999937,23.25
T12_DL_Abeta_5  (T12_DL),node256[16],0.589999999999993,13.875
T12_DL_Abeta_6  (T12_DL),node257[20],0.5574999999999937,20.0
T12_DL_Abeta_7  (T12_DL),node258[18],0.5374999999999941,19.125
T12_DL_Abeta_8  (T12_DL),node259[18],0.5499999999999938,22.625
T12_DL_Abeta_9  (T12_DL),node260[17],0.5649999999999935,22.375
