Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
T12_DL_Adelta_0  (T12_DL),internode301[0],0.7924999999999887,236.0
T12_DL_Adelta_1  (T12_DL),internode302[0],0.8024999999999884,302.0
T12_DL_Adelta_10  (T12_DL),node311[2],0.962499999999985,342.0
T12_DL_Adelta_11  (T12_DL),internode312[0],0.7924999999999887,316.0
T12_DL_Adelta_12  (T12_DL),node313[56],0.4824999999999952,250.0
T12_DL_Adelta_13  (T12_DL),node314[40],0.46749999999999553,183.0
T12_DL_Adelta_14  (T12_DL),node315[39],0.4774999999999953,224.0
T12_DL_Adelta_15  (T12_DL),internode316[0],0.8274999999999879,272.0
T12_DL_Adelta_16  (T12_DL),node317[35],0.48999999999999505,206.0
T12_DL_Adelta_17  (T12_DL),node318[39],0.5299999999999943,236.0
T12_DL_Adelta_18  (T12_DL),internode319[0],0.7624999999999893,270.0
T12_DL_Adelta_19  (T12_DL),node320[43],0.4349999999999962,206.0
T12_DL_Adelta_2  (T12_DL),node303[2],0.8924999999999865,254.0
T12_DL_Adelta_20  (T12_DL),node321[69],0.4874999999999951,150.0
T12_DL_Adelta_21  (T12_DL),node322[61],0.46249999999999564,187.0
T12_DL_Adelta_22  (T12_DL),internode323[0],0.7674999999999892,264.0
T12_DL_Adelta_23  (T12_DL),node324[62],0.5274999999999943,208.0
T12_DL_Adelta_24  (T12_DL),internode325[0],0.8049999999999884,292.0
T12_DL_Adelta_25  (T12_DL),node326[56],0.4349999999999962,288.0
T12_DL_Adelta_26  (T12_DL),internode327[0],0.7649999999999892,222.0
T12_DL_Adelta_27  (T12_DL),node328[42],0.5499999999999938,189.0
T12_DL_Adelta_28  (T12_DL),node329[42],0.5049999999999948,216.0
T12_DL_Adelta_29  (T12_DL),node330[45],0.5299999999999943,210.0
T12_DL_Adelta_3  (T12_DL),node304[56],0.47999999999999526,252.0
T12_DL_Adelta_30  (T12_DL),node331[42],0.49999999999999484,224.0
T12_DL_Adelta_31  (T12_DL),node332[36],0.5049999999999948,195.0
T12_DL_Adelta_32  (T12_DL),internode333[0],0.774999999999989,274.0
T12_DL_Adelta_33  (T12_DL),node334[43],0.4699999999999955,165.0
T12_DL_Adelta_34  (T12_DL),node335[42],0.4974999999999949,167.0
T12_DL_Adelta_35  (T12_DL),node336[57],0.5299999999999943,134.0
T12_DL_Adelta_36  (T12_DL),node337[72],0.45749999999999574,204.0
T12_DL_Adelta_37  (T12_DL),node338[69],0.44749999999999596,208.0
T12_DL_Adelta_38  (T12_DL),internode339[0],0.777499999999989,272.0
T12_DL_Adelta_39  (T12_DL),internode340[0],0.7824999999999889,230.0
T12_DL_Adelta_4  (T12_DL),node305[43],0.5149999999999946,248.0
T12_DL_Adelta_40  (T12_DL),internode341[0],0.7799999999999889,250.0
T12_DL_Adelta_41  (T12_DL),internode342[0],0.777499999999989,284.0
T12_DL_Adelta_42  (T12_DL),internode343[0],0.8274999999999879,274.0
T12_DL_Adelta_43  (T12_DL),node344[47],0.5274999999999943,234.0
T12_DL_Adelta_44  (T12_DL),node345[41],0.4599999999999957,178.0
T12_DL_Adelta_45  (T12_DL),node346[40],0.47499999999999537,156.0
T12_DL_Adelta_46  (T12_DL),internode347[0],0.774999999999989,306.0
T12_DL_Adelta_47  (T12_DL),internode348[0],0.7799999999999889,276.0
T12_DL_Adelta_48  (T12_DL),internode349[0],0.7824999999999889,242.0
T12_DL_Adelta_49  (T12_DL),node350[54],0.4399999999999961,310.0
T12_DL_Adelta_5  (T12_DL),node306[75],0.4399999999999961,218.0
T12_DL_Adelta_6  (T12_DL),node307[64],0.44749999999999596,148.0
T12_DL_Adelta_7  (T12_DL),node308[42],0.48499999999999516,165.0
T12_DL_Adelta_8  (T12_DL),node309[64],0.44249999999999606,272.0
T12_DL_Adelta_9  (T12_DL),internode310[0],0.7424999999999897,224.0
