Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
T12_DL_C_0  (T12_DL),section351[0],1.5199999999999732,2320.0
T12_DL_C_1  (T12_DL),section352[0],1.6524999999999703,2816.0
T12_DL_C_10  (T12_DL),section361[0],1.6524999999999703,3520.0
T12_DL_C_11  (T12_DL),section362[0],1.6524999999999703,3008.0
T12_DL_C_12  (T12_DL),section363[0],1.6524999999999703,2944.0
T12_DL_C_13  (T12_DL),section364[0],1.6524999999999703,2352.0
T12_DL_C_14  (T12_DL),section365[0],1.6524999999999703,2720.0
T12_DL_C_15  (T12_DL),section366[0],1.6524999999999703,2944.0
T12_DL_C_16  (T12_DL),section367[0],1.6524999999999703,2352.0
T12_DL_C_17  (T12_DL),section368[0],1.6524999999999703,2736.0
T12_DL_C_18  (T12_DL),section369[0],1.6524999999999703,2704.0
T12_DL_C_19  (T12_DL),section370[0],1.6524999999999703,3120.0
T12_DL_C_2  (T12_DL),section353[0],1.6524999999999703,2624.0
T12_DL_C_20  (T12_DL),section371[403],1.6374999999999706,2128.0
T12_DL_C_21  (T12_DL),section372[0],1.6524999999999703,2768.0
T12_DL_C_22  (T12_DL),section373[0],1.524999999999973,2224.0
T12_DL_C_23  (T12_DL),section374[0],1.6524999999999703,2720.0
T12_DL_C_24  (T12_DL),section375[0],1.6524999999999703,3072.0
T12_DL_C_25  (T12_DL),section376[0],1.6499999999999704,3264.0
T12_DL_C_26  (T12_DL),section377[0],1.6524999999999703,2560.0
T12_DL_C_27  (T12_DL),section378[0],1.6499999999999704,2384.0
T12_DL_C_28  (T12_DL),section379[0],1.6499999999999704,2352.0
T12_DL_C_29  (T12_DL),section380[0],1.6524999999999703,2464.0
T12_DL_C_3  (T12_DL),section354[0],1.6524999999999703,3152.0
T12_DL_C_30  (T12_DL),section381[0],1.6524999999999703,2096.0
T12_DL_C_31  (T12_DL),section382[0],1.6499999999999704,920.0
T12_DL_C_32  (T12_DL),section383[0],1.6499999999999704,2640.0
T12_DL_C_33  (T12_DL),section384[0],1.6524999999999703,2624.0
T12_DL_C_34  (T12_DL),section385[0],1.6524999999999703,2576.0
T12_DL_C_35  (T12_DL),section386[0],1.6524999999999703,2320.0
T12_DL_C_36  (T12_DL),section387[410],4.872500000000102,2384.0
T12_DL_C_37  (T12_DL),section388[0],1.6524999999999703,2912.0
T12_DL_C_38  (T12_DL),section389[0],1.6524999999999703,2672.0
T12_DL_C_39  (T12_DL),section390[0],1.4524999999999746,1680.0
T12_DL_C_4  (T12_DL),section355[0],1.6524999999999703,2928.0
T12_DL_C_40  (T12_DL),section391[0],1.6524999999999703,2496.0
T12_DL_C_41  (T12_DL),section392[0],1.6524999999999703,2528.0
T12_DL_C_42  (T12_DL),section393[0],1.6524999999999703,2656.0
T12_DL_C_43  (T12_DL),section394[0],1.6524999999999703,2512.0
T12_DL_C_44  (T12_DL),section395[0],1.6524999999999703,2544.0
T12_DL_C_45  (T12_DL),section396[0],1.6524999999999703,2496.0
T12_DL_C_46  (T12_DL),section397[0],1.6524999999999703,2912.0
T12_DL_C_47  (T12_DL),section398[0],1.6524999999999703,2896.0
T12_DL_C_48  (T12_DL),section399[0],1.6524999999999703,2816.0
T12_DL_C_49  (T12_DL),section400[0],1.6499999999999704,3264.0
T12_DL_C_5  (T12_DL),section356[378],1.619999999999971,2656.0
T12_DL_C_6  (T12_DL),section357[351],7.184999999999642,2928.0
T12_DL_C_7  (T12_DL),section358[0],1.6499999999999704,2256.0
T12_DL_C_8  (T12_DL),section359[0],1.6499999999999704,2544.0
T12_DL_C_9  (T12_DL),section360[1],1.8724999999999656,832.0
