Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
T12_DR_Aalpha_0  (T12_DR),node1[12],0.6274999999999922,10.0
T12_DR_Aalpha_1  (T12_DR),node2[12],0.7424999999999897,10.3125
T12_DR_Aalpha_10  (T12_DR),node11[14],0.6299999999999921,11.8125
T12_DR_Aalpha_11  (T12_DR),node12[11],0.6874999999999909,8.9375
T12_DR_Aalpha_12  (T12_DR),node13[0],1.804999999999967,13.5
T12_DR_Aalpha_13  (T12_DR),node14[11],0.6224999999999923,9.4375
T12_DR_Aalpha_14  (T12_DR),node15[0],1.8349999999999664,13.25
T12_DR_Aalpha_15  (T12_DR),node16[12],0.6874999999999909,10.625
T12_DR_Aalpha_16  (T12_DR),node17[0],1.7799999999999676,11.5625
T12_DR_Aalpha_17  (T12_DR),node18[0],1.7399999999999685,13.0
T12_DR_Aalpha_18  (T12_DR),node19[0],1.7349999999999686,13.375
T12_DR_Aalpha_19  (T12_DR),node20[0],1.7849999999999675,11.1875
T12_DR_Aalpha_2  (T12_DR),node3[11],0.6199999999999923,8.875
T12_DR_Aalpha_20  (T12_DR),node21[11],0.8449999999999875,10.75
T12_DR_Aalpha_21  (T12_DR),node22[13],0.6874999999999909,11.5625
T12_DR_Aalpha_22  (T12_DR),node23[14],0.6174999999999924,12.4375
T12_DR_Aalpha_23  (T12_DR),node24[15],0.5749999999999933,13.0
T12_DR_Aalpha_24  (T12_DR),node25[13],0.6124999999999925,10.875
T12_DR_Aalpha_25  (T12_DR),node26[12],0.7224999999999902,9.6875
T12_DR_Aalpha_26  (T12_DR),node27[14],0.7574999999999894,12.75
T12_DR_Aalpha_27  (T12_DR),node28[12],0.6274999999999922,9.625
T12_DR_Aalpha_28  (T12_DR),node29[0],1.7524999999999682,14.125
T12_DR_Aalpha_29  (T12_DR),node30[12],0.7224999999999902,11.125
T12_DR_Aalpha_3  (T12_DR),node4[0],2.064999999999973,12.875
T12_DR_Aalpha_30  (T12_DR),node31[0],1.6774999999999698,11.0
T12_DR_Aalpha_31  (T12_DR),node32[0],1.764999999999968,13.25
T12_DR_Aalpha_32  (T12_DR),node33[0],1.8449999999999662,19.0
T12_DR_Aalpha_33  (T12_DR),node34[11],0.6899999999999908,9.25
T12_DR_Aalpha_34  (T12_DR),node35[0],1.7999999999999672,14.25
T12_DR_Aalpha_35  (T12_DR),node36[0],1.8249999999999666,19.5
T12_DR_Aalpha_36  (T12_DR),node37[13],0.5999999999999928,11.4375
T12_DR_Aalpha_37  (T12_DR),node38[12],0.6999999999999906,9.8125
T12_DR_Aalpha_38  (T12_DR),node39[0],1.7474999999999683,13.625
T12_DR_Aalpha_39  (T12_DR),node40[12],0.6049999999999927,9.9375
T12_DR_Aalpha_4  (T12_DR),node5[0],1.764999999999968,11.5
T12_DR_Aalpha_40  (T12_DR),node41[13],0.6599999999999915,10.875
T12_DR_Aalpha_41  (T12_DR),node42[13],0.6224999999999923,11.1875
T12_DR_Aalpha_42  (T12_DR),node43[15],0.6549999999999916,13.75
T12_DR_Aalpha_43  (T12_DR),node44[0],1.8349999999999664,13.25
T12_DR_Aalpha_44  (T12_DR),node45[11],0.6874999999999909,9.3125
T12_DR_Aalpha_45  (T12_DR),node46[12],0.6949999999999907,9.9375
T12_DR_Aalpha_46  (T12_DR),node47[0],1.762499999999968,13.375
T12_DR_Aalpha_47  (T12_DR),node48[0],1.9774999999999634,10.6875
T12_DR_Aalpha_48  (T12_DR),node49[0],1.7724999999999678,12.0625
T12_DR_Aalpha_49  (T12_DR),node50[0],1.5824999999999718,13.0
T12_DR_Aalpha_5  (T12_DR),node6[12],0.6099999999999925,11.0625
T12_DR_Aalpha_6  (T12_DR),node7[13],0.6149999999999924,11.1875
T12_DR_Aalpha_7  (T12_DR),node8[15],0.5849999999999931,14.5
T12_DR_Aalpha_8  (T12_DR),node9[11],0.6674999999999913,9.4375
T12_DR_Aalpha_9  (T12_DR),node10[12],0.6999999999999906,9.3125
