Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
T12_DR_Abeta_0  (T12_DR),node51[17],0.5224999999999944,30.0
T12_DR_Abeta_1  (T12_DR),node52[19],0.5624999999999936,37.5
T12_DR_Abeta_10  (T12_DR),node61[20],0.5049999999999948,32.75
T12_DR_Abeta_11  (T12_DR),node62[17],0.5249999999999944,29.25
T12_DR_Abeta_12  (T12_DR),node63[21],0.542499999999994,40.0
T12_DR_Abeta_13  (T12_DR),node64[18],0.5324999999999942,31.0
T12_DR_Abeta_14  (T12_DR),node65[20],0.5474999999999939,39.25
T12_DR_Abeta_15  (T12_DR),node66[20],0.6299999999999921,39.75
T12_DR_Abeta_16  (T12_DR),node67[0],1.709999999999969,72.0
T12_DR_Abeta_17  (T12_DR),node68[0],1.6124999999999712,50.5
T12_DR_Abeta_18  (T12_DR),node69[16],0.5849999999999931,32.75
T12_DR_Abeta_19  (T12_DR),node70[18],0.5749999999999933,34.5
T12_DR_Abeta_2  (T12_DR),node53[13],0.539999999999994,38.75
T12_DR_Abeta_20  (T12_DR),node71[17],0.5524999999999938,26.25
T12_DR_Abeta_21  (T12_DR),node72[18],0.5474999999999939,26.5
T12_DR_Abeta_22  (T12_DR),node73[21],0.5549999999999937,37.25
T12_DR_Abeta_23  (T12_DR),node74[16],0.5749999999999933,21.75
T12_DR_Abeta_24  (T12_DR),node75[20],0.542499999999994,36.25
T12_DR_Abeta_25  (T12_DR),node76[16],0.5724999999999933,24.125
T12_DR_Abeta_26  (T12_DR),node77[17],0.5274999999999943,29.0
T12_DR_Abeta_27  (T12_DR),node78[20],0.5224999999999944,35.0
T12_DR_Abeta_28  (T12_DR),node79[19],0.5149999999999946,33.25
T12_DR_Abeta_29  (T12_DR),node80[20],0.5249999999999944,37.25
T12_DR_Abeta_3  (T12_DR),node54[0],1.6374999999999706,43.25
T12_DR_Abeta_30  (T12_DR),node81[19],0.6549999999999916,35.5
T12_DR_Abeta_31  (T12_DR),node82[0],1.6474999999999704,42.5
T12_DR_Abeta_32  (T12_DR),node83[0],1.6349999999999707,43.25
T12_DR_Abeta_33  (T12_DR),node84[0],1.7474999999999683,41.0
T12_DR_Abeta_34  (T12_DR),node85[12],0.5524999999999938,39.75
T12_DR_Abeta_35  (T12_DR),node86[19],0.5524999999999938,32.0
T12_DR_Abeta_36  (T12_DR),node87[17],0.492499999999995,25.5
T12_DR_Abeta_37  (T12_DR),node88[17],0.6124999999999925,24.375
T12_DR_Abeta_38  (T12_DR),node89[19],0.5099999999999947,31.0
T12_DR_Abeta_39  (T12_DR),node90[22],0.5174999999999945,42.75
T12_DR_Abeta_4  (T12_DR),node55[0],1.7274999999999687,43.25
T12_DR_Abeta_40  (T12_DR),node91[16],0.5774999999999932,24.625
T12_DR_Abeta_41  (T12_DR),node92[18],0.5149999999999946,30.0
T12_DR_Abeta_42  (T12_DR),node93[21],0.5174999999999945,41.5
T12_DR_Abeta_43  (T12_DR),node94[0],1.6324999999999708,55.0
T12_DR_Abeta_44  (T12_DR),node95[17],0.5149999999999946,30.75
T12_DR_Abeta_45  (T12_DR),node96[20],0.5274999999999943,40.25
T12_DR_Abeta_46  (T12_DR),node97[20],0.539999999999994,40.0
T12_DR_Abeta_47  (T12_DR),node98[19],0.5674999999999935,35.5
T12_DR_Abeta_48  (T12_DR),node99[20],0.5474999999999939,40.0
T12_DR_Abeta_49  (T12_DR),node100[14],0.5174999999999945,52.0
T12_DR_Abeta_5  (T12_DR),node56[17],0.5099999999999947,27.0
T12_DR_Abeta_6  (T12_DR),node57[20],0.5074999999999947,32.75
T12_DR_Abeta_7  (T12_DR),node58[20],0.5449999999999939,33.75
T12_DR_Abeta_8  (T12_DR),node59[20],0.5374999999999941,35.0
T12_DR_Abeta_9  (T12_DR),node60[20],0.5324999999999942,30.75
