Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
T12_DR_Adelta_0  (T12_DR),internode101[0],0.7849999999999888,328.0
T12_DR_Adelta_1  (T12_DR),node102[5],0.45749999999999574,528.0
T12_DR_Adelta_10  (T12_DR),internode111[0],0.8024999999999884,436.0
T12_DR_Adelta_11  (T12_DR),node112[10],0.44749999999999596,310.0
T12_DR_Adelta_12  (T12_DR),internode113[0],0.7524999999999895,432.0
T12_DR_Adelta_13  (T12_DR),node114[7],0.4124999999999967,276.0
T12_DR_Adelta_14  (T12_DR),node115[2],0.8449999999999875,386.0
T12_DR_Adelta_15  (T12_DR),node116[1],0.824999999999988,388.0
T12_DR_Adelta_16  (T12_DR),node117[2],0.8774999999999868,288.0
T12_DR_Adelta_17  (T12_DR),internode118[0],0.7549999999999895,412.0
T12_DR_Adelta_18  (T12_DR),internode119[0],0.7399999999999898,416.0
T12_DR_Adelta_19  (T12_DR),internode120[0],0.777499999999989,368.0
T12_DR_Adelta_2  (T12_DR),node103[3],0.917499999999986,400.0
T12_DR_Adelta_20  (T12_DR),node121[70],0.5074999999999947,330.0
T12_DR_Adelta_21  (T12_DR),node122[56],0.492499999999995,318.0
T12_DR_Adelta_22  (T12_DR),node123[64],0.49999999999999484,432.0
T12_DR_Adelta_23  (T12_DR),node124[69],0.42999999999999633,324.0
T12_DR_Adelta_24  (T12_DR),node125[9],0.42499999999999644,320.0
T12_DR_Adelta_25  (T12_DR),node126[10],0.44249999999999606,456.0
T12_DR_Adelta_26  (T12_DR),node127[7],0.41999999999999654,316.0
T12_DR_Adelta_27  (T12_DR),internode128[0],0.8324999999999878,284.0
T12_DR_Adelta_28  (T12_DR),internode129[0],0.7724999999999891,292.0
T12_DR_Adelta_29  (T12_DR),internode130[0],0.7849999999999888,350.0
T12_DR_Adelta_3  (T12_DR),node104[2],0.9124999999999861,492.0
T12_DR_Adelta_30  (T12_DR),node131[2],0.8749999999999869,340.0
T12_DR_Adelta_31  (T12_DR),internode132[0],0.7949999999999886,268.0
T12_DR_Adelta_32  (T12_DR),node133[2],0.9074999999999862,368.0
T12_DR_Adelta_33  (T12_DR),internode134[0],0.8049999999999884,288.0
T12_DR_Adelta_34  (T12_DR),node135[7],0.4274999999999964,336.0
T12_DR_Adelta_35  (T12_DR),node136[7],0.41499999999999665,179.0
T12_DR_Adelta_36  (T12_DR),node137[81],0.492499999999995,314.0
T12_DR_Adelta_37  (T12_DR),node138[78],0.4499999999999959,306.0
T12_DR_Adelta_38  (T12_DR),node139[61],0.4699999999999955,416.0
T12_DR_Adelta_39  (T12_DR),node140[54],0.5999999999999928,344.0
T12_DR_Adelta_4  (T12_DR),internode105[0],0.7824999999999889,304.0
T12_DR_Adelta_40  (T12_DR),node141[59],0.46749999999999553,322.0
T12_DR_Adelta_41  (T12_DR),internode142[0],0.8049999999999884,480.0
T12_DR_Adelta_42  (T12_DR),node143[83],0.492499999999995,390.0
T12_DR_Adelta_43  (T12_DR),node144[2],0.9274999999999858,318.0
T12_DR_Adelta_44  (T12_DR),node145[7],0.43749999999999617,226.0
T12_DR_Adelta_45  (T12_DR),internode146[0],0.8024999999999884,296.0
T12_DR_Adelta_46  (T12_DR),internode147[0],0.7699999999999891,576.0
T12_DR_Adelta_47  (T12_DR),node148[2],0.8899999999999866,404.0
T12_DR_Adelta_48  (T12_DR),internode149[0],0.7974999999999886,408.0
T12_DR_Adelta_49  (T12_DR),node150[6],0.45749999999999574,320.0
T12_DR_Adelta_5  (T12_DR),node106[10],0.4324999999999963,452.0
T12_DR_Adelta_6  (T12_DR),node107[65],0.5299999999999943,272.0
T12_DR_Adelta_7  (T12_DR),node108[7],0.4399999999999961,160.0
T12_DR_Adelta_8  (T12_DR),node109[9],0.4399999999999961,380.0
T12_DR_Adelta_9  (T12_DR),internode110[0],0.8099999999999883,332.0
