Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
T12_DR_C_0  (T12_DR),section151[1],4.895000000000097,2592.0
T12_DR_C_1  (T12_DR),section152[0],6.78999999999972,6112.0
T12_DR_C_10  (T12_DR),section161[645],3.6475000000002202,7232.0
T12_DR_C_11  (T12_DR),section162[1],5.674999999999942,920.0
T12_DR_C_12  (T12_DR),section163[692],1.4174999999999753,4160.0
T12_DR_C_13  (T12_DR),section164[1],4.757500000000125,1560.0
T12_DR_C_14  (T12_DR),section165[758],1.5074999999999734,4544.0
T12_DR_C_15  (T12_DR),section166[1],5.005000000000075,2496.0
T12_DR_C_16  (T12_DR),section167[868],9.822500000000412,5504.0
T12_DR_C_17  (T12_DR),section168[1],5.78749999999992,5600.0
T12_DR_C_18  (T12_DR),section169[829],1.1574999999999809,6272.0
T12_DR_C_19  (T12_DR),section170[0],1.6524999999999703,5152.0
T12_DR_C_2  (T12_DR),section153[1],5.302500000000016,2032.0
T12_DR_C_20  (T12_DR),section171[579],1.67249999999997,4224.0
T12_DR_C_21  (T12_DR),section172[613],2.7425000000000788,4160.0
T12_DR_C_22  (T12_DR),section173[620],1.152499999999981,4896.0
T12_DR_C_23  (T12_DR),section174[613],4.282500000000219,4640.0
T12_DR_C_24  (T12_DR),section175[1],5.350000000000007,1632.0
T12_DR_C_25  (T12_DR),section176[646],1.5799999999999719,3968.0
T12_DR_C_26  (T12_DR),section177[1],6.367499999999804,3328.0
T12_DR_C_27  (T12_DR),section178[670],1.1899999999999802,4288.0
T12_DR_C_28  (T12_DR),section179[1],4.845000000000107,1712.0
T12_DR_C_29  (T12_DR),section180[755],1.6124999999999712,5664.0
T12_DR_C_3  (T12_DR),section154[827],1.432499999999975,6368.0
T12_DR_C_30  (T12_DR),section181[739],1.4599999999999744,5184.0
T12_DR_C_31  (T12_DR),section182[770],1.292499999999978,3712.0
T12_DR_C_32  (T12_DR),section183[1],4.78000000000012,4128.0
T12_DR_C_33  (T12_DR),section184[10],3.1175000000001374,5984.0
T12_DR_C_34  (T12_DR),section185[1],6.434999999999791,4032.0
T12_DR_C_35  (T12_DR),section186[1],5.03000000000007,480.0
T12_DR_C_36  (T12_DR),section187[1],5.527499999999971,1904.0
T12_DR_C_37  (T12_DR),section188[619],1.8499999999999661,5984.0
T12_DR_C_38  (T12_DR),section189[597],1.4199999999999753,4000.0
T12_DR_C_39  (T12_DR),section190[652],1.4399999999999749,4928.0
T12_DR_C_4  (T12_DR),section155[0],1.6524999999999703,5088.0
T12_DR_C_40  (T12_DR),section191[1],6.042499999999869,2752.0
T12_DR_C_41  (T12_DR),section192[683],7.489999999999581,6208.0
T12_DR_C_42  (T12_DR),section193[1],6.5174999999997745,1456.0
T12_DR_C_43  (T12_DR),section194[741],2.1324999999999834,5024.0
T12_DR_C_44  (T12_DR),section195[1],4.892500000000098,808.0
T12_DR_C_45  (T12_DR),section196[14],3.5200000000002003,6400.0
T12_DR_C_46  (T12_DR),section197[0],6.604999999999757,4960.0
T12_DR_C_47  (T12_DR),section198[0],1.6524999999999703,5248.0
T12_DR_C_48  (T12_DR),section199[13],3.705000000000229,4864.0
T12_DR_C_49  (T12_DR),section200[1],7.167499999999645,1600.0
T12_DR_C_5  (T12_DR),section156[588],2.9150000000001057,4064.0
T12_DR_C_6  (T12_DR),section157[1],4.805000000000115,4448.0
T12_DR_C_7  (T12_DR),section158[1],5.190000000000039,544.0
T12_DR_C_8  (T12_DR),section159[600],1.6124999999999712,4128.0
T12_DR_C_9  (T12_DR),section160[0],1.6524999999999703,4704.0
