Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
T12_VL_Aalpha_0  (T12_VL),node601[0],1.8649999999999658,9.25
T12_VL_Aalpha_1  (T12_VL),node602[0],1.7474999999999683,9.1875
T12_VL_Aalpha_10  (T12_VL),node611[0],1.7724999999999678,10.3125
T12_VL_Aalpha_11  (T12_VL),node612[0],1.6449999999999705,8.8125
T12_VL_Aalpha_12  (T12_VL),node613[0],1.8199999999999668,10.0625
T12_VL_Aalpha_13  (T12_VL),node614[0],1.712499999999969,8.625
T12_VL_Aalpha_14  (T12_VL),node615[0],1.857499999999966,9.625
T12_VL_Aalpha_15  (T12_VL),node616[0],1.7474999999999683,8.8125
T12_VL_Aalpha_16  (T12_VL),node617[0],1.7474999999999683,8.9375
T12_VL_Aalpha_17  (T12_VL),node618[0],1.8374999999999664,10.5
T12_VL_Aalpha_18  (T12_VL),node619[0],1.9124999999999648,10.1875
T12_VL_Aalpha_19  (T12_VL),node620[0],2.064999999999973,9.25
T12_VL_Aalpha_2  (T12_VL),node603[0],1.7449999999999684,7.9375
T12_VL_Aalpha_20  (T12_VL),node621[0],1.712499999999969,8.25
T12_VL_Aalpha_21  (T12_VL),node622[0],1.7349999999999686,9.875
T12_VL_Aalpha_22  (T12_VL),node623[0],1.759999999999968,10.3125
T12_VL_Aalpha_23  (T12_VL),node624[0],1.7674999999999679,10.375
T12_VL_Aalpha_24  (T12_VL),node625[0],1.8899999999999653,9.0
T12_VL_Aalpha_25  (T12_VL),node626[0],1.7224999999999688,8.3125
T12_VL_Aalpha_26  (T12_VL),node627[0],1.7224999999999688,9.0
T12_VL_Aalpha_27  (T12_VL),node628[0],1.7749999999999677,8.5
T12_VL_Aalpha_28  (T12_VL),node629[0],1.7924999999999673,10.6875
T12_VL_Aalpha_29  (T12_VL),node630[0],1.7424999999999684,8.5625
T12_VL_Aalpha_3  (T12_VL),node604[0],1.997499999999963,10.6875
T12_VL_Aalpha_30  (T12_VL),node631[0],1.7199999999999689,9.1875
T12_VL_Aalpha_31  (T12_VL),node632[0],1.7849999999999675,9.75
T12_VL_Aalpha_32  (T12_VL),node633[0],1.7249999999999688,12.875
T12_VL_Aalpha_33  (T12_VL),node634[9],0.6199999999999923,8.125
T12_VL_Aalpha_34  (T12_VL),node635[0],1.7799999999999676,11.625
T12_VL_Aalpha_35  (T12_VL),node636[0],2.072499999999974,11.4375
T12_VL_Aalpha_36  (T12_VL),node637[0],1.8724999999999656,9.1875
T12_VL_Aalpha_37  (T12_VL),node638[0],1.7874999999999674,8.75
T12_VL_Aalpha_38  (T12_VL),node639[0],1.7799999999999676,10.625
T12_VL_Aalpha_39  (T12_VL),node640[0],1.7949999999999673,8.5
T12_VL_Aalpha_4  (T12_VL),node605[0],1.7474999999999683,9.75
T12_VL_Aalpha_40  (T12_VL),node641[0],1.7674999999999679,8.875
T12_VL_Aalpha_41  (T12_VL),node642[0],1.7999999999999672,9.5625
T12_VL_Aalpha_42  (T12_VL),node643[0],1.7549999999999681,10.0625
T12_VL_Aalpha_43  (T12_VL),node644[0],1.9224999999999646,11.0625
T12_VL_Aalpha_44  (T12_VL),node645[0],1.6149999999999711,8.25
T12_VL_Aalpha_45  (T12_VL),node646[0],1.6574999999999702,8.375
T12_VL_Aalpha_46  (T12_VL),node647[0],1.7699999999999678,11.1875
T12_VL_Aalpha_47  (T12_VL),node648[0],1.9299999999999644,9.0625
T12_VL_Aalpha_48  (T12_VL),node649[0],1.9149999999999647,9.5
T12_VL_Aalpha_49  (T12_VL),node650[0],1.9224999999999646,9.5
T12_VL_Aalpha_5  (T12_VL),node606[0],1.7199999999999689,9.625
T12_VL_Aalpha_6  (T12_VL),node607[0],1.7449999999999684,9.5
T12_VL_Aalpha_7  (T12_VL),node608[0],1.8949999999999652,10.9375
T12_VL_Aalpha_8  (T12_VL),node609[0],1.6349999999999707,8.25
T12_VL_Aalpha_9  (T12_VL),node610[0],1.8649999999999658,8.3125
