Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
T12_VL_Abeta_0  (T12_VL),node651[12],0.5499999999999938,26.5
T12_VL_Abeta_1  (T12_VL),node652[0],1.622499999999971,30.0
T12_VL_Abeta_10  (T12_VL),node661[0],1.6524999999999703,31.25
T12_VL_Abeta_11  (T12_VL),node662[0],1.5799999999999719,28.25
T12_VL_Abeta_12  (T12_VL),node663[0],1.624999999999971,29.75
T12_VL_Abeta_13  (T12_VL),node664[0],1.6424999999999705,25.75
T12_VL_Abeta_14  (T12_VL),node665[0],1.5899999999999717,27.5
T12_VL_Abeta_15  (T12_VL),node666[0],1.7224999999999688,26.75
T12_VL_Abeta_16  (T12_VL),node667[0],1.6424999999999705,39.25
T12_VL_Abeta_17  (T12_VL),node668[0],1.619999999999971,36.0
T12_VL_Abeta_18  (T12_VL),node669[0],1.709999999999969,24.125
T12_VL_Abeta_19  (T12_VL),node670[0],1.5474999999999726,25.75
T12_VL_Abeta_2  (T12_VL),node653[0],1.6349999999999707,28.75
T12_VL_Abeta_20  (T12_VL),node671[0],1.6499999999999704,23.0
T12_VL_Abeta_21  (T12_VL),node672[0],1.5924999999999716,27.0
T12_VL_Abeta_22  (T12_VL),node673[0],1.6899999999999695,33.75
T12_VL_Abeta_23  (T12_VL),node674[12],0.5324999999999942,21.375
T12_VL_Abeta_24  (T12_VL),node675[0],1.569999999999972,29.5
T12_VL_Abeta_25  (T12_VL),node676[0],1.5349999999999728,22.25
T12_VL_Abeta_26  (T12_VL),node677[0],1.6099999999999712,22.625
T12_VL_Abeta_27  (T12_VL),node678[0],1.709999999999969,28.0
T12_VL_Abeta_28  (T12_VL),node679[0],1.5624999999999722,27.75
T12_VL_Abeta_29  (T12_VL),node680[0],1.5399999999999727,25.25
T12_VL_Abeta_3  (T12_VL),node654[0],1.6124999999999712,33.25
T12_VL_Abeta_30  (T12_VL),node681[0],1.617499999999971,27.75
T12_VL_Abeta_31  (T12_VL),node682[0],1.5624999999999722,27.25
T12_VL_Abeta_32  (T12_VL),node683[0],1.66999999999997,28.0
T12_VL_Abeta_33  (T12_VL),node684[0],1.6449999999999705,30.75
T12_VL_Abeta_34  (T12_VL),node685[0],1.66749999999997,31.5
T12_VL_Abeta_35  (T12_VL),node686[0],1.5324999999999729,25.75
T12_VL_Abeta_36  (T12_VL),node687[0],1.6749999999999698,24.5
T12_VL_Abeta_37  (T12_VL),node688[0],1.5574999999999724,25.25
T12_VL_Abeta_38  (T12_VL),node689[0],1.5999999999999714,28.25
T12_VL_Abeta_39  (T12_VL),node690[0],1.6449999999999705,31.5
T12_VL_Abeta_4  (T12_VL),node655[0],1.6299999999999708,32.75
T12_VL_Abeta_40  (T12_VL),node691[12],0.5624999999999936,22.125
T12_VL_Abeta_41  (T12_VL),node692[0],1.6499999999999704,27.5
T12_VL_Abeta_42  (T12_VL),node693[0],1.6524999999999703,30.5
T12_VL_Abeta_43  (T12_VL),node694[0],1.6849999999999696,40.5
T12_VL_Abeta_44  (T12_VL),node695[12],0.5174999999999945,26.25
T12_VL_Abeta_45  (T12_VL),node696[0],1.66749999999997,28.25
T12_VL_Abeta_46  (T12_VL),node697[0],1.7049999999999692,32.75
T12_VL_Abeta_47  (T12_VL),node698[0],1.762499999999968,27.75
T12_VL_Abeta_48  (T12_VL),node699[0],1.712499999999969,28.5
T12_VL_Abeta_49  (T12_VL),node700[0],1.577499999999972,31.5
T12_VL_Abeta_5  (T12_VL),node656[0],1.5549999999999724,28.5
T12_VL_Abeta_6  (T12_VL),node657[0],1.717499999999969,31.0
T12_VL_Abeta_7  (T12_VL),node658[0],1.569999999999972,30.75
T12_VL_Abeta_8  (T12_VL),node659[0],1.577499999999972,29.25
T12_VL_Abeta_9  (T12_VL),node660[0],1.5899999999999717,27.0
