Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
T12_VL_Adelta_0  (T12_VL),internode701[0],0.8749999999999869,236.0
T12_VL_Adelta_1  (T12_VL),internode702[0],0.7524999999999895,222.0
T12_VL_Adelta_10  (T12_VL),internode711[0],0.777499999999989,250.0
T12_VL_Adelta_11  (T12_VL),internode712[0],0.7899999999999887,258.0
T12_VL_Adelta_12  (T12_VL),internode713[0],0.7649999999999892,176.0
T12_VL_Adelta_13  (T12_VL),internode714[0],0.7999999999999885,163.0
T12_VL_Adelta_14  (T12_VL),internode715[0],0.7524999999999895,156.0
T12_VL_Adelta_15  (T12_VL),node716[2],0.9949999999999843,182.0
T12_VL_Adelta_16  (T12_VL),internode717[0],0.7724999999999891,140.0
T12_VL_Adelta_17  (T12_VL),internode718[0],0.7549999999999895,210.0
T12_VL_Adelta_18  (T12_VL),internode719[0],0.774999999999989,191.0
T12_VL_Adelta_19  (T12_VL),node720[2],0.9674999999999849,186.0
T12_VL_Adelta_2  (T12_VL),internode703[0],0.7849999999999888,186.0
T12_VL_Adelta_20  (T12_VL),internode721[2],0.8799999999999868,159.0
T12_VL_Adelta_21  (T12_VL),internode722[0],0.7699999999999891,187.0
T12_VL_Adelta_22  (T12_VL),internode723[0],0.7424999999999897,220.0
T12_VL_Adelta_23  (T12_VL),internode724[0],0.822499999999988,186.0
T12_VL_Adelta_24  (T12_VL),internode725[0],0.774999999999989,198.0
T12_VL_Adelta_25  (T12_VL),internode726[0],0.7324999999999899,206.0
T12_VL_Adelta_26  (T12_VL),internode727[0],0.8399999999999876,136.0
T12_VL_Adelta_27  (T12_VL),node728[2],0.8999999999999864,156.0
T12_VL_Adelta_28  (T12_VL),internode729[0],0.7999999999999885,166.0
T12_VL_Adelta_29  (T12_VL),internode730[0],0.7674999999999892,154.0
T12_VL_Adelta_3  (T12_VL),internode704[0],0.8424999999999876,248.0
T12_VL_Adelta_30  (T12_VL),node731[2],0.8999999999999864,181.0
T12_VL_Adelta_31  (T12_VL),internode732[0],0.7474999999999896,140.0
T12_VL_Adelta_32  (T12_VL),internode733[0],0.777499999999989,176.0
T12_VL_Adelta_33  (T12_VL),internode734[0],0.7949999999999886,185.0
T12_VL_Adelta_34  (T12_VL),internode735[0],0.7599999999999894,212.0
T12_VL_Adelta_35  (T12_VL),internode736[0],0.7874999999999888,138.0
T12_VL_Adelta_36  (T12_VL),internode737[0],0.822499999999988,198.0
T12_VL_Adelta_37  (T12_VL),node738[2],0.8824999999999867,200.0
T12_VL_Adelta_38  (T12_VL),internode739[0],0.7874999999999888,195.0
T12_VL_Adelta_39  (T12_VL),internode740[0],0.7574999999999894,160.0
T12_VL_Adelta_4  (T12_VL),internode705[0],0.7674999999999892,194.0
T12_VL_Adelta_40  (T12_VL),internode741[0],0.7624999999999893,169.0
T12_VL_Adelta_41  (T12_VL),internode742[0],0.7599999999999894,226.0
T12_VL_Adelta_42  (T12_VL),internode743[0],0.7699999999999891,195.0
T12_VL_Adelta_43  (T12_VL),internode744[0],0.7924999999999887,197.0
T12_VL_Adelta_44  (T12_VL),internode745[0],0.7424999999999897,204.0
T12_VL_Adelta_45  (T12_VL),internode746[0],0.7574999999999894,152.0
T12_VL_Adelta_46  (T12_VL),internode747[0],0.8324999999999878,294.0
T12_VL_Adelta_47  (T12_VL),internode748[0],0.7549999999999895,216.0
T12_VL_Adelta_48  (T12_VL),internode749[0],0.7724999999999891,180.0
T12_VL_Adelta_49  (T12_VL),internode750[0],0.7449999999999897,220.0
T12_VL_Adelta_5  (T12_VL),node706[2],0.8949999999999865,266.0
T12_VL_Adelta_6  (T12_VL),internode707[0],0.8349999999999878,179.0
T12_VL_Adelta_7  (T12_VL),internode708[0],0.7949999999999886,172.0
T12_VL_Adelta_8  (T12_VL),internode709[0],0.7849999999999888,192.0
T12_VL_Adelta_9  (T12_VL),internode710[0],0.7724999999999891,170.0
