Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
T12_VL_C_0  (T12_VL),section751[0],1.6524999999999703,2016.0
T12_VL_C_1  (T12_VL),section752[4],2.3250000000000135,2272.0
T12_VL_C_10  (T12_VL),section761[0],1.6524999999999703,2656.0
T12_VL_C_11  (T12_VL),section762[3],2.2850000000000072,2208.0
T12_VL_C_12  (T12_VL),section763[0],1.6524999999999703,1952.0
T12_VL_C_13  (T12_VL),section764[0],1.5974999999999715,2032.0
T12_VL_C_14  (T12_VL),section765[0],1.6524999999999703,1808.0
T12_VL_C_15  (T12_VL),section766[0],1.4949999999999737,1696.0
T12_VL_C_16  (T12_VL),section767[0],1.6524999999999703,1368.0
T12_VL_C_17  (T12_VL),section768[0],1.6499999999999704,2240.0
T12_VL_C_18  (T12_VL),section769[0],1.5099999999999734,1776.0
T12_VL_C_19  (T12_VL),section770[0],1.6524999999999703,1856.0
T12_VL_C_2  (T12_VL),section753[2],2.282500000000007,1280.0
T12_VL_C_20  (T12_VL),section771[7],2.7725000000000835,1272.0
T12_VL_C_21  (T12_VL),section772[0],1.5049999999999735,2080.0
T12_VL_C_22  (T12_VL),section773[0],1.6524999999999703,2288.0
T12_VL_C_23  (T12_VL),section774[7],2.5750000000000526,2256.0
T12_VL_C_24  (T12_VL),section775[0],1.6524999999999703,2368.0
T12_VL_C_25  (T12_VL),section776[0],1.6449999999999705,1904.0
T12_VL_C_26  (T12_VL),section777[7],2.700000000000072,1112.0
T12_VL_C_27  (T12_VL),section778[0],1.6499999999999704,1904.0
T12_VL_C_28  (T12_VL),section779[0],1.6524999999999703,2096.0
T12_VL_C_29  (T12_VL),section780[0],1.3699999999999763,1328.0
T12_VL_C_3  (T12_VL),section754[3],2.052499999999971,2112.0
T12_VL_C_30  (T12_VL),section781[0],1.6149999999999711,2128.0
T12_VL_C_31  (T12_VL),section782[0],1.4624999999999744,1632.0
T12_VL_C_32  (T12_VL),section783[0],1.6524999999999703,2016.0
T12_VL_C_33  (T12_VL),section784[0],1.6524999999999703,2128.0
T12_VL_C_34  (T12_VL),section785[0],1.6474999999999704,2000.0
T12_VL_C_35  (T12_VL),section786[0],1.6499999999999704,1872.0
T12_VL_C_36  (T12_VL),section787[0],1.6499999999999704,1968.0
T12_VL_C_37  (T12_VL),section788[0],1.6524999999999703,2320.0
T12_VL_C_38  (T12_VL),section789[0],1.6524999999999703,1904.0
T12_VL_C_39  (T12_VL),section790[0],1.6524999999999703,1904.0
T12_VL_C_4  (T12_VL),section755[0],1.5574999999999724,2352.0
T12_VL_C_40  (T12_VL),section791[6],2.154999999999987,1520.0
T12_VL_C_41  (T12_VL),section792[0],1.6499999999999704,2384.0
T12_VL_C_42  (T12_VL),section793[0],1.6499999999999704,2160.0
T12_VL_C_43  (T12_VL),section794[0],1.6524999999999703,2288.0
T12_VL_C_44  (T12_VL),section795[0],1.6524999999999703,1872.0
T12_VL_C_45  (T12_VL),section796[4],2.149999999999986,1448.0
T12_VL_C_46  (T12_VL),section797[0],1.6524999999999703,2352.0
T12_VL_C_47  (T12_VL),section798[0],1.6499999999999704,2304.0
T12_VL_C_48  (T12_VL),section799[5],2.149999999999986,1696.0
T12_VL_C_49  (T12_VL),section800[0],1.6524999999999703,2688.0
T12_VL_C_5  (T12_VL),section756[0],1.6524999999999703,2416.0
T12_VL_C_6  (T12_VL),section757[0],1.6524999999999703,2304.0
T12_VL_C_7  (T12_VL),section758[0],1.6499999999999704,2032.0
T12_VL_C_8  (T12_VL),section759[6],2.2475000000000014,1504.0
T12_VL_C_9  (T12_VL),section760[0],1.6524999999999703,2000.0
