Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
T12_VR_Aalpha_0  (T12_VR),node401[11],0.6149999999999924,10.375
T12_VR_Aalpha_1  (T12_VR),node402[11],0.6074999999999926,10.4375
T12_VR_Aalpha_10  (T12_VR),node411[12],0.6524999999999916,12.875
T12_VR_Aalpha_11  (T12_VR),node412[10],0.6149999999999924,9.0625
T12_VR_Aalpha_12  (T12_VR),node413[13],0.6449999999999918,13.5
T12_VR_Aalpha_13  (T12_VR),node414[11],0.6924999999999908,9.25
T12_VR_Aalpha_14  (T12_VR),node415[12],0.6024999999999927,13.0
T12_VR_Aalpha_15  (T12_VR),node416[11],0.6799999999999911,10.875
T12_VR_Aalpha_16  (T12_VR),node417[12],0.6799999999999911,11.5625
T12_VR_Aalpha_17  (T12_VR),node418[12],0.7149999999999903,13.375
T12_VR_Aalpha_18  (T12_VR),node419[0],1.759999999999968,14.25
T12_VR_Aalpha_19  (T12_VR),node420[12],0.6599999999999915,10.9375
T12_VR_Aalpha_2  (T12_VR),node403[10],0.6124999999999925,9.0625
T12_VR_Aalpha_20  (T12_VR),node421[11],0.6624999999999914,10.25
T12_VR_Aalpha_21  (T12_VR),node422[12],0.6224999999999923,12.875
T12_VR_Aalpha_22  (T12_VR),node423[12],0.7199999999999902,13.625
T12_VR_Aalpha_23  (T12_VR),node424[13],0.6649999999999914,13.625
T12_VR_Aalpha_24  (T12_VR),node425[11],0.6399999999999919,10.9375
T12_VR_Aalpha_25  (T12_VR),node426[11],0.7399999999999898,9.625
T12_VR_Aalpha_26  (T12_VR),node427[12],0.6949999999999907,12.625
T12_VR_Aalpha_27  (T12_VR),node428[11],0.6299999999999921,9.875
T12_VR_Aalpha_28  (T12_VR),node429[0],1.7049999999999692,15.125
T12_VR_Aalpha_29  (T12_VR),node430[11],0.7174999999999903,10.9375
T12_VR_Aalpha_3  (T12_VR),node404[12],0.6874999999999909,13.625
T12_VR_Aalpha_30  (T12_VR),node431[0],1.762499999999968,12.0
T12_VR_Aalpha_31  (T12_VR),node432[0],1.7799999999999676,15.375
T12_VR_Aalpha_32  (T12_VR),node433[0],1.8749999999999656,22.125
T12_VR_Aalpha_33  (T12_VR),node434[10],0.6299999999999921,10.75
T12_VR_Aalpha_34  (T12_VR),node435[13],0.6449999999999918,16.375
T12_VR_Aalpha_35  (T12_VR),node436[28],1.8024999999999671,19.25
T12_VR_Aalpha_36  (T12_VR),node437[11],0.8449999999999875,12.375
T12_VR_Aalpha_37  (T12_VR),node438[11],0.6324999999999921,11.125
T12_VR_Aalpha_38  (T12_VR),node439[0],1.8399999999999663,14.875
T12_VR_Aalpha_39  (T12_VR),node440[11],0.637499999999992,10.9375
T12_VR_Aalpha_4  (T12_VR),node405[12],0.6299999999999921,11.75
T12_VR_Aalpha_40  (T12_VR),node441[11],0.6549999999999916,11.25
T12_VR_Aalpha_41  (T12_VR),node442[12],0.6524999999999916,12.1875
T12_VR_Aalpha_42  (T12_VR),node443[24],1.5499999999999725,14.125
T12_VR_Aalpha_43  (T12_VR),node444[26],1.7274999999999687,14.75
T12_VR_Aalpha_44  (T12_VR),node445[10],0.6149999999999924,9.5
T12_VR_Aalpha_45  (T12_VR),node446[11],0.6324999999999921,10.5
T12_VR_Aalpha_46  (T12_VR),node447[12],0.637499999999992,14.0
T12_VR_Aalpha_47  (T12_VR),node448[11],0.634999999999992,10.5
T12_VR_Aalpha_48  (T12_VR),node449[12],0.6224999999999923,11.9375
T12_VR_Aalpha_49  (T12_VR),node450[12],0.7024999999999906,12.0625
T12_VR_Aalpha_5  (T12_VR),node406[11],0.6299999999999921,11.0
T12_VR_Aalpha_6  (T12_VR),node407[12],0.7174999999999903,11.3125
T12_VR_Aalpha_7  (T12_VR),node408[0],1.764999999999968,14.625
T12_VR_Aalpha_8  (T12_VR),node409[11],0.6024999999999927,9.625
T12_VR_Aalpha_9  (T12_VR),node410[11],0.6724999999999912,10.0625
