Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
T12_VR_Abeta_0  (T12_VR),node451[14],0.5974999999999928,29.25
T12_VR_Abeta_1  (T12_VR),node452[15],0.5774999999999932,37.0
T12_VR_Abeta_10  (T12_VR),node461[17],0.5949999999999929,41.0
T12_VR_Abeta_11  (T12_VR),node462[14],0.5149999999999946,30.75
T12_VR_Abeta_12  (T12_VR),node463[17],0.5624999999999936,42.75
T12_VR_Abeta_13  (T12_VR),node464[14],0.5174999999999945,30.5
T12_VR_Abeta_14  (T12_VR),node465[16],0.5799999999999932,38.0
T12_VR_Abeta_15  (T12_VR),node466[16],0.5349999999999941,39.25
T12_VR_Abeta_16  (T12_VR),node467[0],1.712499999999969,85.5
T12_VR_Abeta_17  (T12_VR),node468[19],0.5274999999999943,53.5
T12_VR_Abeta_18  (T12_VR),node469[14],0.5474999999999939,29.0
T12_VR_Abeta_19  (T12_VR),node470[14],0.5474999999999939,30.5
T12_VR_Abeta_2  (T12_VR),node453[15],0.6499999999999917,35.5
T12_VR_Abeta_20  (T12_VR),node471[14],0.5599999999999936,31.5
T12_VR_Abeta_21  (T12_VR),node472[15],0.542499999999994,35.0
T12_VR_Abeta_22  (T12_VR),node473[17],0.6649999999999914,51.0
T12_VR_Abeta_23  (T12_VR),node474[13],0.5499999999999938,24.0
T12_VR_Abeta_24  (T12_VR),node475[16],0.5374999999999941,42.25
T12_VR_Abeta_25  (T12_VR),node476[13],0.6624999999999914,25.25
T12_VR_Abeta_26  (T12_VR),node477[14],0.5724999999999933,30.25
T12_VR_Abeta_27  (T12_VR),node478[16],0.5574999999999937,39.5
T12_VR_Abeta_28  (T12_VR),node479[15],0.542499999999994,35.5
T12_VR_Abeta_29  (T12_VR),node480[16],0.5449999999999939,38.25
T12_VR_Abeta_3  (T12_VR),node454[17],0.542499999999994,42.5
T12_VR_Abeta_30  (T12_VR),node481[15],0.539999999999994,37.5
T12_VR_Abeta_31  (T12_VR),node482[16],0.5374999999999941,48.5
T12_VR_Abeta_32  (T12_VR),node483[17],0.5724999999999933,43.5
T12_VR_Abeta_33  (T12_VR),node484[16],0.5524999999999938,42.75
T12_VR_Abeta_34  (T12_VR),node485[15],0.6649999999999914,38.75
T12_VR_Abeta_35  (T12_VR),node486[16],0.5574999999999937,39.25
T12_VR_Abeta_36  (T12_VR),node487[14],0.5124999999999946,31.75
T12_VR_Abeta_37  (T12_VR),node488[14],0.5674999999999935,31.25
T12_VR_Abeta_38  (T12_VR),node489[16],0.5649999999999935,38.25
T12_VR_Abeta_39  (T12_VR),node490[35],1.6349999999999707,53.5
T12_VR_Abeta_4  (T12_VR),node455[17],0.6774999999999911,46.25
T12_VR_Abeta_40  (T12_VR),node491[13],0.587499999999993,26.25
T12_VR_Abeta_41  (T12_VR),node492[15],0.5499999999999938,34.25
T12_VR_Abeta_42  (T12_VR),node493[17],0.5599999999999936,46.5
T12_VR_Abeta_43  (T12_VR),node494[0],1.624999999999971,65.0
T12_VR_Abeta_44  (T12_VR),node495[14],0.5299999999999943,28.75
T12_VR_Abeta_45  (T12_VR),node496[16],0.542499999999994,41.75
T12_VR_Abeta_46  (T12_VR),node497[16],0.5349999999999941,39.0
T12_VR_Abeta_47  (T12_VR),node498[16],0.5174999999999945,33.25
T12_VR_Abeta_48  (T12_VR),node499[16],0.6149999999999924,36.75
T12_VR_Abeta_49  (T12_VR),node500[18],0.5649999999999935,46.0
T12_VR_Abeta_5  (T12_VR),node456[15],0.5724999999999933,31.75
T12_VR_Abeta_6  (T12_VR),node457[17],0.5324999999999942,42.75
T12_VR_Abeta_7  (T12_VR),node458[16],0.5274999999999943,39.25
T12_VR_Abeta_8  (T12_VR),node459[16],0.6199999999999923,43.5
T12_VR_Abeta_9  (T12_VR),node460[16],0.5524999999999938,40.5
