Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
T12_VR_Adelta_0  (T12_VR),internode501[0],0.7724999999999891,456.0
T12_VR_Adelta_1  (T12_VR),node502[14],0.44249999999999606,584.0
T12_VR_Adelta_10  (T12_VR),node511[13],0.397499999999997,496.0
T12_VR_Adelta_11  (T12_VR),internode512[0],0.774999999999989,564.0
T12_VR_Adelta_12  (T12_VR),node513[2],0.8774999999999868,316.0
T12_VR_Adelta_13  (T12_VR),internode514[0],0.7849999999999888,266.0
T12_VR_Adelta_14  (T12_VR),internode515[0],0.7824999999999889,320.0
T12_VR_Adelta_15  (T12_VR),internode516[0],0.7649999999999892,528.0
T12_VR_Adelta_16  (T12_VR),internode517[0],0.7649999999999892,408.0
T12_VR_Adelta_17  (T12_VR),internode518[0],0.8274999999999879,516.0
T12_VR_Adelta_18  (T12_VR),node519[2],0.8649999999999871,420.0
T12_VR_Adelta_19  (T12_VR),node520[2],0.8574999999999873,386.0
T12_VR_Adelta_2  (T12_VR),node503[2],0.8799999999999868,388.0
T12_VR_Adelta_20  (T12_VR),internode521[0],0.7599999999999894,488.0
T12_VR_Adelta_21  (T12_VR),node522[13],0.444999999999996,444.0
T12_VR_Adelta_22  (T12_VR),internode523[0],0.7849999999999888,544.0
T12_VR_Adelta_23  (T12_VR),node524[1],0.7824999999999889,179.0
T12_VR_Adelta_24  (T12_VR),internode525[0],0.774999999999989,444.0
T12_VR_Adelta_25  (T12_VR),node526[2],0.46749999999999553,153.0
T12_VR_Adelta_26  (T12_VR),node527[1],0.8449999999999875,248.0
T12_VR_Adelta_27  (T12_VR),internode528[0],0.7799999999999889,384.0
T12_VR_Adelta_28  (T12_VR),internode529[0],0.7849999999999888,376.0
T12_VR_Adelta_29  (T12_VR),internode530[0],0.7824999999999889,372.0
T12_VR_Adelta_3  (T12_VR),internode504[0],0.7499999999999896,496.0
T12_VR_Adelta_30  (T12_VR),node531[2],0.8874999999999866,362.0
T12_VR_Adelta_31  (T12_VR),node532[1],0.8174999999999881,320.0
T12_VR_Adelta_32  (T12_VR),internode533[0],0.8424999999999876,536.0
T12_VR_Adelta_33  (T12_VR),internode534[0],0.7849999999999888,448.0
T12_VR_Adelta_34  (T12_VR),internode535[0],0.8149999999999882,480.0
T12_VR_Adelta_35  (T12_VR),node536[39],0.5074999999999947,460.0
T12_VR_Adelta_36  (T12_VR),internode537[0],0.7499999999999896,552.0
T12_VR_Adelta_37  (T12_VR),node538[1],0.8099999999999883,436.0
T12_VR_Adelta_38  (T12_VR),node539[2],0.9299999999999857,398.0
T12_VR_Adelta_39  (T12_VR),node540[0],0.7649999999999892,268.0
T12_VR_Adelta_4  (T12_VR),internode505[0],0.8049999999999884,382.0
T12_VR_Adelta_40  (T12_VR),internode541[0],0.8199999999999881,416.0
T12_VR_Adelta_41  (T12_VR),node542[15],0.4274999999999964,592.0
T12_VR_Adelta_42  (T12_VR),internode543[0],0.7549999999999895,552.0
T12_VR_Adelta_43  (T12_VR),node544[2],0.9324999999999857,456.0
T12_VR_Adelta_44  (T12_VR),internode545[0],0.7849999999999888,332.0
T12_VR_Adelta_45  (T12_VR),node546[7],0.48999999999999505,382.0
T12_VR_Adelta_46  (T12_VR),node547[0],0.8124999999999882,192.0
T12_VR_Adelta_47  (T12_VR),node548[13],0.4074999999999968,464.0
T12_VR_Adelta_48  (T12_VR),internode549[0],0.8424999999999876,468.0
T12_VR_Adelta_49  (T12_VR),node550[2],0.8524999999999874,516.0
T12_VR_Adelta_5  (T12_VR),node506[15],0.41499999999999665,564.0
T12_VR_Adelta_6  (T12_VR),node507[2],0.964999999999985,216.0
T12_VR_Adelta_7  (T12_VR),internode508[0],0.8074999999999883,346.0
T12_VR_Adelta_8  (T12_VR),internode509[0],0.7724999999999891,584.0
T12_VR_Adelta_9  (T12_VR),internode510[0],0.777499999999989,520.0
