Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
T12_VR_C_0  (T12_VR),section551[0],1.6524999999999703,4736.0
T12_VR_C_1  (T12_VR),section552[29],6.812499999999716,2944.0
T12_VR_C_10  (T12_VR),section561[58],1.7699999999999678,1216.0
T12_VR_C_11  (T12_VR),section562[0],1.6524999999999703,9152.0
T12_VR_C_12  (T12_VR),section563[1],3.237500000000156,4576.0
T12_VR_C_13  (T12_VR),section564[1],4.957500000000085,8192.0
T12_VR_C_14  (T12_VR),section565[1],3.1950000000001495,1256.0
T12_VR_C_15  (T12_VR),section566[33],5.919999999999893,4608.0
T12_VR_C_16  (T12_VR),section567[0],1.6524999999999703,2896.0
T12_VR_C_17  (T12_VR),section568[0],1.6524999999999703,3168.0
T12_VR_C_18  (T12_VR),section569[0],1.6499999999999704,8768.0
T12_VR_C_19  (T12_VR),section570[128],1.5974999999999715,10688.0
T12_VR_C_2  (T12_VR),section553[0],1.6524999999999703,7232.0
T12_VR_C_20  (T12_VR),section571[0],1.6524999999999703,4384.0
T12_VR_C_21  (T12_VR),section572[1],7.912499999999497,1000.0
T12_VR_C_22  (T12_VR),section573[6],2.2049999999999947,4960.0
T12_VR_C_23  (T12_VR),section574[8],1.762499999999968,448.0
T12_VR_C_24  (T12_VR),section575[936],1.6524999999999703,11520.0
T12_VR_C_25  (T12_VR),section576[0],4.312500000000213,308.0
T12_VR_C_26  (T12_VR),section577[1],3.4700000000001925,3360.0
T12_VR_C_27  (T12_VR),section578[0],1.6524999999999703,3840.0
T12_VR_C_28  (T12_VR),section579[0],1.6524999999999703,5536.0
T12_VR_C_29  (T12_VR),section580[0],1.66499999999997,5664.0
T12_VR_C_3  (T12_VR),section554[0],1.6524999999999703,7104.0
T12_VR_C_30  (T12_VR),section581[621],1.7999999999999672,10304.0
T12_VR_C_31  (T12_VR),section582[190],1.6899999999999695,8256.0
T12_VR_C_32  (T12_VR),section583[0],1.6524999999999703,3360.0
T12_VR_C_33  (T12_VR),section584[5],2.034999999999968,4064.0
T12_VR_C_34  (T12_VR),section585[1],5.342500000000008,1072.0
T12_VR_C_35  (T12_VR),section586[0],1.6524999999999703,3424.0
T12_VR_C_36  (T12_VR),section587[0],1.6499999999999704,4512.0
T12_VR_C_37  (T12_VR),section588[1],3.2925000000001647,584.0
T12_VR_C_38  (T12_VR),section589[1],3.3875000000001796,5184.0
T12_VR_C_39  (T12_VR),section590[6],1.8024999999999671,1056.0
T12_VR_C_4  (T12_VR),section555[0],1.714999999999969,11584.0
T12_VR_C_40  (T12_VR),section591[0],1.6524999999999703,5184.0
T12_VR_C_41  (T12_VR),section592[0],1.6524999999999703,3904.0
T12_VR_C_42  (T12_VR),section593[0],1.6524999999999703,4288.0
T12_VR_C_43  (T12_VR),section594[0],1.6524999999999703,3552.0
T12_VR_C_44  (T12_VR),section595[0],1.6524999999999703,7104.0
T12_VR_C_45  (T12_VR),section596[1],7.582499999999563,992.0
T12_VR_C_46  (T12_VR),section597[11],1.7399999999999685,500.0
T12_VR_C_47  (T12_VR),section598[1],8.514999999999743,1528.0
T12_VR_C_48  (T12_VR),section599[0],1.6524999999999703,3584.0
T12_VR_C_49  (T12_VR),section600[1],3.6675000000002234,3360.0
T12_VR_C_5  (T12_VR),section556[24],5.58499999999996,2496.0
T12_VR_C_6  (T12_VR),section557[0],1.1624999999999808,398.0
T12_VR_C_7  (T12_VR),section558[0],1.6624999999999701,3744.0
T12_VR_C_8  (T12_VR),section559[0],1.6524999999999703,6208.0
T12_VR_C_9  (T12_VR),section560[0],1.6524999999999703,4704.0
